,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-west-1,us-west-1,373,373,1.0
1,1,b,c,us-east-1,us-west-1,97,97,1.0
2,1,a,b,us-west-1,us-west-1,373,373,1.0
3,1,a,b,us-east-1,us-east-1,96,96,1.0
4,1,frontend,a,us-west-1,us-west-1,373,373,1.0
5,1,frontend,a,us-east-1,us-east-1,96,96,1.0
6,1,SOURCE,frontend,XXXX,us-west-1,373,469,0.7953091684434968
7,1,SOURCE,frontend,XXXX,us-east-1,96,469,0.2046908315565032
0,2,b,c,us-west-1,us-west-1,374,374,1.0
1,2,b,c,us-east-1,us-west-1,115,115,1.0
2,2,a,b,us-west-1,us-west-1,373,373,1.0
3,2,a,b,us-east-1,us-east-1,115,115,1.0
4,2,frontend,a,us-west-1,us-west-1,373,373,1.0
5,2,frontend,a,us-east-1,us-east-1,115,115,1.0
6,2,SOURCE,frontend,XXXX,us-west-1,373,488,0.764344262295082
7,2,SOURCE,frontend,XXXX,us-east-1,115,488,0.23565573770491804
0,3,b,c,us-west-1,us-west-1,369,369,1.0
1,3,b,c,us-east-1,us-west-1,119,119,1.0
2,3,a,b,us-west-1,us-west-1,368,368,1.0
3,3,a,b,us-east-1,us-east-1,119,119,1.0
4,3,frontend,a,us-west-1,us-west-1,368,368,1.0
5,3,frontend,a,us-east-1,us-east-1,119,119,1.0
6,3,SOURCE,frontend,XXXX,us-west-1,368,487,0.75564681724846
7,3,SOURCE,frontend,XXXX,us-east-1,119,487,0.24435318275154005
0,4,b,c,us-west-1,us-west-1,413,413,1.0
1,4,b,c,us-east-1,us-west-1,92,92,1.0
2,4,a,b,us-west-1,us-west-1,413,413,1.0
3,4,a,b,us-east-1,us-east-1,92,92,1.0
4,4,frontend,a,us-west-1,us-west-1,413,413,1.0
5,4,frontend,a,us-east-1,us-east-1,91,91,1.0
6,4,SOURCE,frontend,XXXX,us-west-1,413,504,0.8194444444444444
7,4,SOURCE,frontend,XXXX,us-east-1,91,504,0.18055555555555555
0,5,b,c,us-west-1,us-west-1,410,410,1.0
1,5,b,c,us-east-1,us-west-1,100,100,1.0
2,5,a,b,us-west-1,us-west-1,410,410,1.0
3,5,a,b,us-east-1,us-east-1,100,100,1.0
4,5,frontend,a,us-west-1,us-west-1,410,410,1.0
5,5,frontend,a,us-east-1,us-east-1,99,99,1.0
6,5,SOURCE,frontend,XXXX,us-west-1,410,509,0.8055009823182712
7,5,SOURCE,frontend,XXXX,us-east-1,99,509,0.1944990176817289
0,6,b,c,us-west-1,us-west-1,394,394,1.0
1,6,b,c,us-east-1,us-west-1,98,98,1.0
2,6,a,b,us-west-1,us-west-1,394,394,1.0
3,6,a,b,us-east-1,us-east-1,97,97,1.0
4,6,frontend,a,us-west-1,us-west-1,394,394,1.0
5,6,frontend,a,us-east-1,us-east-1,97,97,1.0
6,6,SOURCE,frontend,XXXX,us-west-1,394,491,0.8024439918533605
7,6,SOURCE,frontend,XXXX,us-east-1,97,491,0.1975560081466395
0,7,b,c,us-west-1,us-west-1,368,368,1.0
1,7,b,c,us-east-1,us-west-1,91,91,1.0
2,7,a,b,us-west-1,us-west-1,368,368,1.0
3,7,a,b,us-east-1,us-east-1,90,90,1.0
4,7,frontend,a,us-west-1,us-west-1,368,368,1.0
5,7,frontend,a,us-east-1,us-east-1,90,90,1.0
6,7,SOURCE,frontend,XXXX,us-west-1,368,458,0.8034934497816594
7,7,SOURCE,frontend,XXXX,us-east-1,90,458,0.1965065502183406
0,8,b,c,us-west-1,us-west-1,405,405,1.0
1,8,b,c,us-east-1,us-west-1,112,112,1.0
2,8,a,b,us-west-1,us-west-1,405,405,1.0
3,8,a,b,us-east-1,us-east-1,111,111,1.0
4,8,frontend,a,us-west-1,us-west-1,405,405,1.0
5,8,frontend,a,us-east-1,us-east-1,111,111,1.0
6,8,SOURCE,frontend,XXXX,us-west-1,405,516,0.7848837209302325
7,8,SOURCE,frontend,XXXX,us-east-1,111,516,0.21511627906976744
0,9,b,c,us-west-1,us-west-1,410,410,1.0
1,9,b,c,us-east-1,us-west-1,93,93,1.0
2,9,a,b,us-west-1,us-west-1,410,410,1.0
3,9,a,b,us-east-1,us-east-1,93,93,1.0
4,9,frontend,a,us-west-1,us-west-1,410,410,1.0
5,9,frontend,a,us-east-1,us-east-1,92,92,1.0
6,9,SOURCE,frontend,XXXX,us-west-1,410,502,0.8167330677290837
7,9,SOURCE,frontend,XXXX,us-east-1,92,502,0.18326693227091634
