counter,region,service,endpoint, rps
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-west-1,frontend,frontend@GET@/start,65
0,us-west-1,b,b@POST@/spreadb,176
0,us-west-1,a,a@POST@/spreada,172
0,us-west-1,c,c@POST@/spreadc,145
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-west-1,frontend,frontend@GET@/start,343
0,us-west-1,b,b@POST@/spreadb,392
0,us-west-1,a,a@POST@/spreada,454
0,us-west-1,c,c@POST@/spreadc,375
0,us-east-1,a,a@POST@/spreada,50
0,us-east-1,frontend,frontend@GET@/start,247
0,us-east-1,b,b@POST@/spreadb,64
0,us-west-1,frontend,frontend@GET@/start,441
0,us-west-1,b,b@POST@/spreadb,577
0,us-west-1,a,a@POST@/spreada,429
0,us-west-1,c,c@POST@/spreadc,821
0,us-east-1,a,a@POST@/spreada,251
0,us-east-1,frontend,frontend@GET@/start,424
0,us-east-1,b,b@POST@/spreadb,393
1,us-west-1,frontend,frontend@GET@/start,609
1,us-west-1,b,b@POST@/spreadb,370
1,us-west-1,a,a@POST@/spreada,598
1,us-west-1,c,c@POST@/spreadc,1138
1,us-east-1,a,a@POST@/spreada,472
1,us-east-1,frontend,frontend@GET@/start,472
1,us-east-1,b,b@POST@/spreadb,524
2,us-west-1,frontend,frontend@GET@/start,584
2,us-west-1,b,b@POST@/spreadb,591
2,us-west-1,a,a@POST@/spreada,575
2,us-west-1,c,c@POST@/spreadc,1361
2,us-east-1,a,a@POST@/spreada,375
2,us-east-1,frontend,frontend@GET@/start,667
2,us-east-1,b,b@POST@/spreadb,643
3,us-west-1,frontend,frontend@GET@/start,506
3,us-west-1,b,b@POST@/spreadb,450
3,us-west-1,a,a@POST@/spreada,445
3,us-west-1,c,c@POST@/spreadc,1130
3,us-east-1,a,a@POST@/spreada,642
3,us-east-1,frontend,frontend@GET@/start,530
3,us-east-1,b,b@POST@/spreadb,651
4,us-west-1,frontend,frontend@GET@/start,528
4,us-west-1,b,b@POST@/spreadb,470
4,us-west-1,a,a@POST@/spreada,475
4,us-west-1,c,c@POST@/spreadc,1023
4,us-east-1,a,a@POST@/spreada,562
4,us-east-1,frontend,frontend@GET@/start,509
4,us-east-1,b,b@POST@/spreadb,549
5,us-west-1,frontend,frontend@GET@/start,493
5,us-west-1,b,b@POST@/spreadb,471
5,us-west-1,a,a@POST@/spreada,475
5,us-west-1,c,c@POST@/spreadc,993
5,us-east-1,a,a@POST@/spreada,534
5,us-east-1,frontend,frontend@GET@/start,504
5,us-east-1,b,b@POST@/spreadb,516
6,us-west-1,frontend,frontend@GET@/start,488
