counter,region,service,endpoint, rps
0,us-west-1,b,b@POST@/spreadb,12
0,us-west-1,c,c@POST@/spreadc,11
0,us-west-1,a,a@POST@/spreada,131
0,us-west-1,b,b@POST@/spreadb,274
0,us-west-1,frontend,frontend@GET@/start,195
0,us-west-1,c,c@POST@/spreadc,273
0,us-west-1,a,a@POST@/spreada,345
0,us-west-1,b,b@POST@/spreadb,366
0,us-west-1,frontend,frontend@GET@/start,338
0,us-west-1,c,c@POST@/spreadc,370
0,us-west-1,a,a@POST@/spreada,313
0,us-west-1,b,b@POST@/spreadb,309
0,us-west-1,frontend,frontend@GET@/start,318
0,us-west-1,c,c@POST@/spreadc,307
0,us-west-1,a,a@POST@/spreada,297
0,us-west-1,b,b@POST@/spreadb,273
0,us-west-1,frontend,frontend@GET@/start,272
0,us-west-1,c,c@POST@/spreadc,274
0,us-west-1,a,a@POST@/spreada,302
0,us-west-1,b,b@POST@/spreadb,322
0,us-west-1,frontend,frontend@GET@/start,324
0,us-west-1,c,c@POST@/spreadc,322
0,us-west-1,a,a@POST@/spreada,290
0,us-west-1,b,b@POST@/spreadb,276
0,us-west-1,frontend,frontend@GET@/start,277
0,us-west-1,c,c@POST@/spreadc,275
0,us-west-1,a,a@POST@/spreada,264
0,us-west-1,b,b@POST@/spreadb,284
0,us-west-1,frontend,frontend@GET@/start,268
0,us-west-1,c,c@POST@/spreadc,280
0,us-west-1,a,a@POST@/spreada,303
0,us-west-1,b,b@POST@/spreadb,313
0,us-west-1,frontend,frontend@GET@/start,311
0,us-west-1,c,c@POST@/spreadc,315
0,us-west-1,a,a@POST@/spreada,323
0,us-west-1,b,b@POST@/spreadb,292
0,us-west-1,frontend,frontend@GET@/start,301
0,us-west-1,c,c@POST@/spreadc,291
0,us-west-1,a,a@POST@/spreada,269
0,us-west-1,b,b@POST@/spreadb,320
0,us-west-1,frontend,frontend@GET@/start,295
0,us-west-1,c,c@POST@/spreadc,322
0,us-west-1,a,a@POST@/spreada,317
0,us-west-1,b,b@POST@/spreadb,294
0,us-west-1,frontend,frontend@GET@/start,305
0,us-west-1,c,c@POST@/spreadc,295
0,us-west-1,a,a@POST@/spreada,298
0,us-west-1,b,b@POST@/spreadb,263
0,us-west-1,frontend,frontend@GET@/start,302
0,us-west-1,c,c@POST@/spreadc,263
0,us-west-1,a,a@POST@/spreada,279
0,us-west-1,b,b@POST@/spreadb,300
0,us-west-1,frontend,frontend@GET@/start,276
0,us-west-1,c,c@POST@/spreadc,300
0,us-west-1,a,a@POST@/spreada,295
0,us-west-1,b,b@POST@/spreadb,318
0,us-west-1,frontend,frontend@GET@/start,308
0,us-west-1,c,c@POST@/spreadc,318
0,us-west-1,a,a@POST@/spreada,314
0,us-west-1,b,b@POST@/spreadb,316
0,us-west-1,frontend,frontend@GET@/start,304
0,us-west-1,c,c@POST@/spreadc,316
0,us-west-1,a,a@POST@/spreada,298
0,us-west-1,b,b@POST@/spreadb,276
0,us-west-1,frontend,frontend@GET@/start,295
0,us-west-1,c,c@POST@/spreadc,276
0,us-west-1,a,a@POST@/spreada,301
0,us-west-1,b,b@POST@/spreadb,326
0,us-west-1,frontend,frontend@GET@/start,308
0,us-west-1,c,c@POST@/spreadc,324
0,us-west-1,a,a@POST@/spreada,331
0,us-west-1,b,b@POST@/spreadb,303
0,us-west-1,frontend,frontend@GET@/start,326
0,us-west-1,c,c@POST@/spreadc,304
0,us-west-1,a,a@POST@/spreada,290
