counter,region,service,endpoint, rps
0,us-west-1,c,c@POST@/spreadc,49
0,us-west-1,a,a@POST@/spreada,200
0,us-west-1,d,d@POST@/spreadd,175
0,us-west-1,b,b@POST@/spreadb,220
0,us-west-1,frontend,frontend@GET@/start,258
0,us-west-1,c,c@POST@/spreadc,361
0,us-west-1,a,a@POST@/spreada,339
0,us-west-1,d,d@POST@/spreadd,404
0,us-west-1,b,b@POST@/spreadb,354
0,us-west-1,frontend,frontend@GET@/start,354
0,us-west-1,c,c@POST@/spreadc,308
0,us-west-1,a,a@POST@/spreada,314
0,us-west-1,d,d@POST@/spreadd,307
0,us-west-1,b,b@POST@/spreadb,310
0,us-west-1,frontend,frontend@GET@/start,295
0,us-west-1,c,c@POST@/spreadc,303
0,us-west-1,a,a@POST@/spreada,271
0,us-west-1,d,d@POST@/spreadd,283
0,us-west-1,b,b@POST@/spreadb,280
0,us-west-1,frontend,frontend@GET@/start,285
0,us-west-1,c,c@POST@/spreadc,285
0,us-west-1,a,a@POST@/spreada,328
0,us-west-1,d,d@POST@/spreadd,319
0,us-west-1,b,b@POST@/spreadb,320
0,us-west-1,frontend,frontend@GET@/start,311
0,us-west-1,c,c@POST@/spreadc,310
0,us-west-1,a,a@POST@/spreada,275
0,us-west-1,d,d@POST@/spreadd,273
0,us-west-1,b,b@POST@/spreadb,273
0,us-west-1,frontend,frontend@GET@/start,282
0,us-west-1,c,c@POST@/spreadc,277
0,us-west-1,a,a@POST@/spreada,267
0,us-west-1,d,d@POST@/spreadd,273
0,us-west-1,b,b@POST@/spreadb,274
0,us-west-1,frontend,frontend@GET@/start,277
0,us-west-1,c,c@POST@/spreadc,293
0,us-west-1,a,a@POST@/spreada,316
0,us-west-1,d,d@POST@/spreadd,318
0,us-west-1,b,b@POST@/spreadb,318
0,us-west-1,frontend,frontend@GET@/start,313
0,us-west-1,c,c@POST@/spreadc,320
0,us-west-1,a,a@POST@/spreada,297
0,us-west-1,d,d@POST@/spreadd,294
0,us-west-1,b,b@POST@/spreadb,295
0,us-west-1,frontend,frontend@GET@/start,292
0,us-west-1,c,c@POST@/spreadc,283
0,us-west-1,a,a@POST@/spreada,299
0,us-west-1,d,d@POST@/spreadd,298
0,us-west-1,b,b@POST@/spreadb,298
0,us-west-1,frontend,frontend@GET@/start,310
