,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-east-1,us-east-1,100,102,0.9803921568627451
1,1,frontend,a,us-east-1,us-south-1,2,102,0.0196078431372549
2,1,frontend,a,us-south-1,us-south-1,90,90,1.0
3,1,c,d,us-east-1,us-east-1,100,100,1.0
4,1,c,d,us-south-1,us-south-1,92,92,1.0
5,1,a,b,us-east-1,us-east-1,100,100,1.0
6,1,a,b,us-south-1,us-south-1,92,92,1.0
7,1,b,c,us-east-1,us-east-1,100,100,1.0
8,1,b,c,us-south-1,us-south-1,92,92,1.0
9,1,SOURCE,frontend,XXXX,us-east-1,102,192,0.53125
10,1,SOURCE,frontend,XXXX,us-south-1,90,192,0.46875
0,2,frontend,a,us-east-1,us-east-1,100,109,0.9174311926605505
1,2,frontend,a,us-east-1,us-central-1,9,109,0.08256880733944955
2,2,frontend,a,us-south-1,us-south-1,100,105,0.9523809523809523
3,2,frontend,a,us-south-1,us-central-1,5,105,0.047619047619047616
4,2,c,d,us-east-1,us-east-1,100,100,1.0
5,2,c,d,us-south-1,us-south-1,100,100,1.0
6,2,c,d,us-central-1,us-central-1,14,14,1.0
7,2,a,b,us-east-1,us-east-1,100,100,1.0
8,2,a,b,us-south-1,us-south-1,100,100,1.0
9,2,a,b,us-central-1,us-central-1,14,14,1.0
10,2,b,c,us-east-1,us-east-1,100,100,1.0
11,2,b,c,us-south-1,us-south-1,100,100,1.0
12,2,b,c,us-central-1,us-central-1,14,14,1.0
13,2,SOURCE,frontend,XXXX,us-east-1,109,213,0.5117370892018779
14,2,SOURCE,frontend,XXXX,us-south-1,104,213,0.48826291079812206
0,3,frontend,a,us-east-1,us-east-1,95,95,1.0
1,3,frontend,a,us-south-1,us-south-1,100,108,0.9259259259259259
2,3,frontend,a,us-south-1,us-central-1,8,108,0.07407407407407407
3,3,frontend,a,us-central-1,us-central-1,30,30,1.0
4,3,c,d,us-east-1,us-east-1,95,95,1.0
5,3,c,d,us-south-1,us-south-1,100,100,1.0
6,3,c,d,us-central-1,us-central-1,37,37,1.0
7,3,a,b,us-east-1,us-east-1,95,95,1.0
8,3,a,b,us-south-1,us-south-1,100,100,1.0
9,3,a,b,us-central-1,us-central-1,37,37,1.0
10,3,b,c,us-east-1,us-east-1,95,95,1.0
11,3,b,c,us-south-1,us-south-1,100,100,1.0
12,3,b,c,us-central-1,us-central-1,37,37,1.0
13,3,SOURCE,frontend,XXXX,us-east-1,95,232,0.40948275862068967
14,3,SOURCE,frontend,XXXX,us-south-1,107,232,0.46120689655172414
15,3,SOURCE,frontend,XXXX,us-central-1,30,232,0.12931034482758622
0,4,frontend,a,us-east-1,us-east-1,95,95,1.0
1,4,frontend,a,us-south-1,us-south-1,100,108,0.9259259259259259
2,4,frontend,a,us-south-1,us-central-1,8,108,0.07407407407407407
3,4,frontend,a,us-central-1,us-central-1,30,30,1.0
4,4,c,d,us-east-1,us-east-1,95,95,1.0
5,4,c,d,us-south-1,us-south-1,100,100,1.0
6,4,c,d,us-central-1,us-central-1,37,37,1.0
7,4,a,b,us-east-1,us-east-1,95,95,1.0
8,4,a,b,us-south-1,us-south-1,100,100,1.0
9,4,a,b,us-central-1,us-central-1,37,37,1.0
10,4,b,c,us-east-1,us-east-1,95,95,1.0
11,4,b,c,us-south-1,us-south-1,100,100,1.0
12,4,b,c,us-central-1,us-central-1,37,37,1.0
13,4,SOURCE,frontend,XXXX,us-east-1,95,232,0.40948275862068967
14,4,SOURCE,frontend,XXXX,us-south-1,107,232,0.46120689655172414
15,4,SOURCE,frontend,XXXX,us-central-1,30,232,0.12931034482758622
0,5,frontend,a,us-east-1,us-east-1,108,108,1.0
1,5,frontend,a,us-south-1,us-east-1,5,127,0.03937007874015748
2,5,frontend,a,us-south-1,us-south-1,122,127,0.9606299212598425
3,5,frontend,a,us-central-1,us-west-1,106,228,0.4649122807017544
4,5,frontend,a,us-central-1,us-central-1,122,228,0.5350877192982456
5,5,c,d,us-east-1,us-east-1,112,112,1.0
6,5,c,d,us-west-1,us-west-1,106,106,1.0
7,5,c,d,us-south-1,us-south-1,122,122,1.0
8,5,c,d,us-central-1,us-central-1,122,122,1.0
9,5,a,b,us-east-1,us-east-1,112,112,1.0
10,5,a,b,us-west-1,us-west-1,106,106,1.0
11,5,a,b,us-south-1,us-south-1,122,122,1.0
12,5,a,b,us-central-1,us-central-1,122,122,1.0
13,5,b,c,us-east-1,us-east-1,112,112,1.0
14,5,b,c,us-west-1,us-west-1,106,106,1.0
15,5,b,c,us-south-1,us-south-1,122,122,1.0
16,5,b,c,us-central-1,us-central-1,122,122,1.0
17,5,SOURCE,frontend,XXXX,us-east-1,108,461,0.23427331887201736
18,5,SOURCE,frontend,XXXX,us-south-1,126,461,0.27331887201735355
19,5,SOURCE,frontend,XXXX,us-central-1,227,461,0.4924078091106291
0,6,frontend,a,us-east-1,us-east-1,89,89,1.0
1,6,frontend,a,us-south-1,us-east-1,5,114,0.043859649122807015
2,6,frontend,a,us-south-1,us-south-1,109,114,0.956140350877193
3,6,frontend,a,us-central-1,us-west-1,104,213,0.48826291079812206
4,6,frontend,a,us-central-1,us-central-1,109,213,0.5117370892018779
5,6,c,d,us-east-1,us-east-1,94,94,1.0
6,6,c,d,us-west-1,us-west-1,105,105,1.0
7,6,c,d,us-south-1,us-south-1,109,109,1.0
8,6,c,d,us-central-1,us-central-1,109,109,1.0
9,6,a,b,us-east-1,us-east-1,94,94,1.0
10,6,a,b,us-west-1,us-west-1,105,105,1.0
11,6,a,b,us-south-1,us-south-1,109,109,1.0
12,6,a,b,us-central-1,us-central-1,109,109,1.0
13,6,b,c,us-east-1,us-east-1,94,94,1.0
14,6,b,c,us-west-1,us-west-1,105,105,1.0
15,6,b,c,us-south-1,us-south-1,109,109,1.0
16,6,b,c,us-central-1,us-central-1,109,109,1.0
17,6,SOURCE,frontend,XXXX,us-east-1,89,415,0.21445783132530122
18,6,SOURCE,frontend,XXXX,us-south-1,113,415,0.27228915662650605
19,6,SOURCE,frontend,XXXX,us-central-1,213,415,0.5132530120481927
0,7,frontend,a,us-east-1,us-east-1,96,96,1.0
1,7,frontend,a,us-south-1,us-south-1,85,85,1.0
2,7,frontend,a,us-central-1,us-west-1,87,202,0.4306930693069307
3,7,frontend,a,us-central-1,us-south-1,15,202,0.07425742574257425
4,7,frontend,a,us-central-1,us-central-1,100,202,0.49504950495049505
5,7,c,d,us-east-1,us-east-1,97,97,1.0
6,7,c,d,us-west-1,us-west-1,87,87,1.0
7,7,c,d,us-south-1,us-south-1,100,100,1.0
8,7,c,d,us-central-1,us-central-1,100,100,1.0
