,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-central-1,us-south-1,86,186,0.46236559139784944
1,1,frontend,a,us-central-1,us-central-1,100,186,0.5376344086021505
2,1,c,d,us-south-1,us-south-1,86,86,1.0
3,1,c,d,us-central-1,us-central-1,100,100,1.0
4,1,a,b,us-south-1,us-south-1,86,86,1.0
5,1,a,b,us-central-1,us-central-1,100,100,1.0
6,1,b,c,us-south-1,us-south-1,86,86,1.0
7,1,b,c,us-central-1,us-central-1,100,100,1.0
8,1,SOURCE,frontend,XXXX,us-central-1,186,186,1.0
0,2,frontend,a,us-south-1,us-south-1,37,37,1.0
1,2,frontend,a,us-east-1,us-east-1,88,88,1.0
2,2,frontend,a,us-central-1,us-south-1,63,229,0.27510917030567683
3,2,frontend,a,us-central-1,us-central-1,100,229,0.4366812227074236
4,2,frontend,a,us-central-1,us-west-1,66,229,0.28820960698689957
5,2,c,d,us-south-1,us-south-1,100,100,1.0
6,2,c,d,us-east-1,us-east-1,88,88,1.0
7,2,c,d,us-central-1,us-central-1,100,100,1.0
8,2,c,d,us-west-1,us-west-1,66,66,1.0
9,2,a,b,us-south-1,us-south-1,100,100,1.0
10,2,a,b,us-east-1,us-east-1,88,88,1.0
11,2,a,b,us-central-1,us-central-1,100,100,1.0
12,2,a,b,us-west-1,us-west-1,66,66,1.0
13,2,b,c,us-south-1,us-south-1,100,100,1.0
14,2,b,c,us-east-1,us-east-1,88,88,1.0
15,2,b,c,us-central-1,us-central-1,100,100,1.0
16,2,b,c,us-west-1,us-west-1,66,66,1.0
17,2,SOURCE,frontend,XXXX,us-south-1,37,353,0.1048158640226629
18,2,SOURCE,frontend,XXXX,us-east-1,88,353,0.24929178470254956
19,2,SOURCE,frontend,XXXX,us-central-1,228,353,0.6458923512747875
0,3,frontend,a,us-south-1,us-south-1,109,113,0.9646017699115044
1,3,frontend,a,us-south-1,us-east-1,4,113,0.035398230088495575
2,3,frontend,a,us-east-1,us-east-1,102,102,1.0
3,3,frontend,a,us-central-1,us-east-1,2,220,0.00909090909090909
4,3,frontend,a,us-central-1,us-central-1,109,220,0.4954545454545455
5,3,frontend,a,us-central-1,us-west-1,109,220,0.4954545454545455
6,3,c,d,us-south-1,us-south-1,109,109,1.0
7,3,c,d,us-east-1,us-east-1,107,107,1.0
8,3,c,d,us-central-1,us-central-1,109,109,1.0
9,3,c,d,us-west-1,us-west-1,109,109,1.0
10,3,a,b,us-south-1,us-south-1,109,109,1.0
11,3,a,b,us-east-1,us-east-1,107,107,1.0
12,3,a,b,us-central-1,us-central-1,109,109,1.0
13,3,a,b,us-west-1,us-west-1,109,109,1.0
14,3,b,c,us-south-1,us-south-1,109,109,1.0
15,3,b,c,us-east-1,us-east-1,107,107,1.0
16,3,b,c,us-central-1,us-central-1,109,109,1.0
17,3,b,c,us-west-1,us-west-1,109,109,1.0
18,3,SOURCE,frontend,XXXX,us-south-1,112,433,0.2586605080831409
19,3,SOURCE,frontend,XXXX,us-east-1,102,433,0.23556581986143188
20,3,SOURCE,frontend,XXXX,us-central-1,219,433,0.5057736720554272
0,4,frontend,a,us-south-1,us-south-1,99,101,0.9801980198019802
1,4,frontend,a,us-south-1,us-west-1,2,101,0.019801980198019802
2,4,frontend,a,us-east-1,us-south-1,5,110,0.045454545454545456
3,4,frontend,a,us-east-1,us-east-1,103,110,0.9363636363636364
4,4,frontend,a,us-east-1,us-central-1,2,110,0.01818181818181818
5,4,frontend,a,us-central-1,us-central-1,102,203,0.5024630541871922
6,4,frontend,a,us-central-1,us-west-1,101,203,0.4975369458128079
7,4,c,d,us-south-1,us-south-1,103,103,1.0
8,4,c,d,us-east-1,us-east-1,103,103,1.0
9,4,c,d,us-central-1,us-central-1,103,103,1.0
10,4,c,d,us-west-1,us-west-1,103,103,1.0
11,4,a,b,us-south-1,us-south-1,103,103,1.0
12,4,a,b,us-east-1,us-east-1,103,103,1.0
13,4,a,b,us-central-1,us-central-1,103,103,1.0
14,4,a,b,us-west-1,us-west-1,103,103,1.0
15,4,b,c,us-south-1,us-south-1,103,103,1.0
16,4,b,c,us-east-1,us-east-1,103,103,1.0
17,4,b,c,us-central-1,us-central-1,103,103,1.0
18,4,b,c,us-west-1,us-west-1,103,103,1.0
19,4,SOURCE,frontend,XXXX,us-south-1,100,411,0.24330900243309003
