,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-east-1,us-east-1,1,2,0.5
1,1,b,c,us-east-1,us-west-1,1,2,0.5
2,1,b,c,us-west-1,us-east-1,1,267,0.003745318352059925
3,1,b,c,us-west-1,us-west-1,266,267,0.9962546816479401
4,1,frontend,a,us-west-1,us-east-1,1,267,0.003745318352059925
5,1,frontend,a,us-west-1,us-west-1,266,267,0.9962546816479401
6,1,c,d,us-east-1,us-east-1,1,2,0.5
7,1,c,d,us-east-1,us-west-1,1,2,0.5
8,1,c,d,us-west-1,us-east-1,1,267,0.003745318352059925
9,1,c,d,us-west-1,us-west-1,266,267,0.9962546816479401
10,1,a,b,us-east-1,us-east-1,1,2,0.5
11,1,a,b,us-east-1,us-west-1,1,2,0.5
12,1,a,b,us-west-1,us-east-1,1,267,0.003745318352059925
13,1,a,b,us-west-1,us-west-1,266,267,0.9962546816479401
14,1,SOURCE,frontend,XXXX,us-west-1,266,266,1.0
0,2,b,c,us-east-1,us-east-1,126,126,1.0
1,2,b,c,us-west-1,us-west-1,364,364,1.0
2,2,frontend,a,us-east-1,us-east-1,61,61,1.0
3,2,frontend,a,us-west-1,us-east-1,65,429,0.15151515151515152
4,2,frontend,a,us-west-1,us-west-1,364,429,0.8484848484848485
5,2,c,d,us-east-1,us-east-1,126,126,1.0
6,2,c,d,us-west-1,us-west-1,364,364,1.0
7,2,a,b,us-east-1,us-east-1,126,126,1.0
8,2,a,b,us-west-1,us-west-1,364,364,1.0
9,2,SOURCE,frontend,XXXX,us-east-1,61,489,0.12474437627811862
10,2,SOURCE,frontend,XXXX,us-west-1,428,489,0.8752556237218814
0,3,b,c,us-east-1,us-east-1,127,127,1.0
1,3,b,c,us-west-1,us-west-1,364,364,1.0
2,3,frontend,a,us-east-1,us-east-1,106,106,1.0
3,3,frontend,a,us-west-1,us-east-1,21,385,0.05454545454545454
4,3,frontend,a,us-west-1,us-west-1,364,385,0.9454545454545454
5,3,c,d,us-east-1,us-east-1,127,127,1.0
6,3,c,d,us-west-1,us-west-1,364,364,1.0
7,3,a,b,us-east-1,us-east-1,127,127,1.0
8,3,a,b,us-west-1,us-west-1,364,364,1.0
9,3,SOURCE,frontend,XXXX,us-east-1,106,490,0.2163265306122449
10,3,SOURCE,frontend,XXXX,us-west-1,384,490,0.7836734693877551
0,4,b,c,us-east-1,us-east-1,200,200,1.0
1,4,b,c,us-west-1,us-west-1,371,371,1.0
2,4,frontend,a,us-east-1,us-east-1,105,105,1.0
3,4,frontend,a,us-west-1,us-east-1,95,466,0.20386266094420602
4,4,frontend,a,us-west-1,us-west-1,371,466,0.796137339055794
5,4,c,d,us-east-1,us-east-1,200,200,1.0
6,4,c,d,us-west-1,us-west-1,371,371,1.0
7,4,a,b,us-east-1,us-east-1,200,200,1.0
8,4,a,b,us-west-1,us-west-1,371,371,1.0
9,4,SOURCE,frontend,XXXX,us-east-1,105,570,0.18421052631578946
10,4,SOURCE,frontend,XXXX,us-west-1,465,570,0.8157894736842105
0,5,b,c,us-east-1,us-east-1,107,107,1.0
1,5,b,c,us-west-1,us-west-1,363,363,1.0
2,5,frontend,a,us-east-1,us-east-1,104,104,1.0
3,5,frontend,a,us-west-1,us-east-1,3,366,0.00819672131147541
4,5,frontend,a,us-west-1,us-west-1,363,366,0.9918032786885246
5,5,c,d,us-east-1,us-east-1,107,107,1.0
6,5,c,d,us-west-1,us-west-1,363,363,1.0
7,5,a,b,us-east-1,us-east-1,107,107,1.0
8,5,a,b,us-west-1,us-west-1,363,363,1.0
9,5,SOURCE,frontend,XXXX,us-east-1,104,469,0.22174840085287847
10,5,SOURCE,frontend,XXXX,us-west-1,365,469,0.7782515991471215
0,6,b,c,us-east-1,us-east-1,156,156,1.0
1,6,b,c,us-west-1,us-west-1,366,366,1.0
2,6,frontend,a,us-east-1,us-east-1,116,116,1.0
3,6,frontend,a,us-west-1,us-east-1,40,406,0.09852216748768473
4,6,frontend,a,us-west-1,us-west-1,366,406,0.9014778325123153
5,6,c,d,us-east-1,us-east-1,156,156,1.0
6,6,c,d,us-west-1,us-west-1,366,366,1.0
7,6,a,b,us-east-1,us-east-1,156,156,1.0
8,6,a,b,us-west-1,us-west-1,366,366,1.0
9,6,SOURCE,frontend,XXXX,us-east-1,116,521,0.22264875239923224
10,6,SOURCE,frontend,XXXX,us-west-1,405,521,0.7773512476007678
0,7,b,c,us-east-1,us-east-1,144,144,1.0
1,7,b,c,us-west-1,us-west-1,365,365,1.0
2,7,frontend,a,us-east-1,us-east-1,116,116,1.0
3,7,frontend,a,us-west-1,us-east-1,28,393,0.07124681933842239
4,7,frontend,a,us-west-1,us-west-1,365,393,0.9287531806615776
5,7,c,d,us-east-1,us-east-1,144,144,1.0
6,7,c,d,us-west-1,us-west-1,365,365,1.0
7,7,a,b,us-east-1,us-east-1,144,144,1.0
8,7,a,b,us-west-1,us-west-1,365,365,1.0
9,7,SOURCE,frontend,XXXX,us-east-1,116,508,0.2283464566929134
10,7,SOURCE,frontend,XXXX,us-west-1,392,508,0.7716535433070866
0,8,b,c,us-east-1,us-east-1,120,120,1.0
1,8,b,c,us-west-1,us-west-1,364,364,1.0
2,8,frontend,a,us-east-1,us-east-1,92,92,1.0
3,8,frontend,a,us-west-1,us-east-1,28,392,0.07142857142857142
4,8,frontend,a,us-west-1,us-west-1,364,392,0.9285714285714286
5,8,c,d,us-east-1,us-east-1,120,120,1.0
6,8,c,d,us-west-1,us-west-1,364,364,1.0
7,8,a,b,us-east-1,us-east-1,120,120,1.0
8,8,a,b,us-west-1,us-west-1,364,364,1.0
9,8,SOURCE,frontend,XXXX,us-east-1,92,483,0.19047619047619047
10,8,SOURCE,frontend,XXXX,us-west-1,391,483,0.8095238095238095
0,9,b,c,us-east-1,us-east-1,151,151,1.0
1,9,b,c,us-west-1,us-west-1,366,366,1.0
2,9,frontend,a,us-east-1,us-east-1,97,97,1.0
3,9,frontend,a,us-west-1,us-east-1,54,420,0.12857142857142856
4,9,frontend,a,us-west-1,us-west-1,366,420,0.8714285714285714
5,9,c,d,us-east-1,us-east-1,151,151,1.0
6,9,c,d,us-west-1,us-west-1,366,366,1.0
7,9,a,b,us-east-1,us-east-1,151,151,1.0
8,9,a,b,us-west-1,us-west-1,366,366,1.0
9,9,SOURCE,frontend,XXXX,us-east-1,97,516,0.187984496124031
10,9,SOURCE,frontend,XXXX,us-west-1,419,516,0.812015503875969
0,10,b,c,us-east-1,us-east-1,95,95,1.0
1,10,b,c,us-west-1,us-west-1,363,363,1.0
2,10,frontend,a,us-east-1,us-east-1,89,89,1.0
3,10,frontend,a,us-west-1,us-east-1,6,369,0.016260162601626018
4,10,frontend,a,us-west-1,us-west-1,363,369,0.983739837398374
5,10,c,d,us-east-1,us-east-1,95,95,1.0
6,10,c,d,us-west-1,us-west-1,363,363,1.0
7,10,a,b,us-east-1,us-east-1,95,95,1.0
8,10,a,b,us-west-1,us-west-1,363,363,1.0
9,10,SOURCE,frontend,XXXX,us-east-1,89,457,0.19474835886214442
10,10,SOURCE,frontend,XXXX,us-west-1,368,457,0.8052516411378556
0,11,b,c,us-east-1,us-east-1,139,139,1.0
1,11,b,c,us-west-1,us-west-1,365,365,1.0
2,11,frontend,a,us-east-1,us-east-1,99,99,1.0
3,11,frontend,a,us-west-1,us-east-1,40,405,0.09876543209876543
4,11,frontend,a,us-west-1,us-west-1,365,405,0.9012345679012346
