,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,2,frontend,a,us-west-1,us-west-1,400,411,0.9732360097323601
1,2,frontend,a,us-west-1,us-east-1,11,411,0.0267639902676399
2,2,frontend,a,us-east-1,us-east-1,35,35,1.0
3,2,b,c,us-west-1,us-west-1,-1,-1,1.0
4,2,c,d,us-west-1,us-west-1,-1,-1,1.0
5,2,a,b,us-west-1,us-west-1,-1,-1,1.0
6,2,b,c,us-east-1,us-east-1,-1,-1,1.0
7,2,c,d,us-east-1,us-east-1,-1,-1,1.0
8,2,a,b,us-east-1,us-east-1,-1,-1,1.0
0,3,frontend,a,us-west-1,us-west-1,336,336,1.0
1,3,frontend,a,us-east-1,us-east-1,108,108,1.0
2,3,b,c,us-west-1,us-west-1,-1,-1,1.0
3,3,c,d,us-west-1,us-west-1,-1,-1,1.0
4,3,a,b,us-west-1,us-west-1,-1,-1,1.0
5,3,b,c,us-east-1,us-east-1,-1,-1,1.0
6,3,c,d,us-east-1,us-east-1,-1,-1,1.0
7,3,a,b,us-east-1,us-east-1,-1,-1,1.0
0,4,frontend,a,us-west-1,us-west-1,209,209,1.0
1,4,frontend,a,us-east-1,us-east-1,104,104,1.0
2,4,b,c,us-west-1,us-west-1,-1,-1,1.0
3,4,c,d,us-west-1,us-west-1,-1,-1,1.0
4,4,a,b,us-west-1,us-west-1,-1,-1,1.0
5,4,b,c,us-east-1,us-east-1,-1,-1,1.0
6,4,c,d,us-east-1,us-east-1,-1,-1,1.0
7,4,a,b,us-east-1,us-east-1,-1,-1,1.0
0,5,frontend,a,us-west-1,us-west-1,190,190,1.0
1,5,frontend,a,us-east-1,us-east-1,98,98,1.0
2,5,b,c,us-west-1,us-west-1,-1,-1,1.0
3,5,c,d,us-west-1,us-west-1,-1,-1,1.0
4,5,a,b,us-west-1,us-west-1,-1,-1,1.0
5,5,b,c,us-east-1,us-east-1,-1,-1,1.0
6,5,c,d,us-east-1,us-east-1,-1,-1,1.0
7,5,a,b,us-east-1,us-east-1,-1,-1,1.0
0,6,frontend,a,us-west-1,us-west-1,400,508,0.7874015748031497
1,6,frontend,a,us-west-1,us-east-1,108,508,0.2125984251968504
2,6,frontend,a,us-east-1,us-east-1,116,116,1.0
3,6,b,c,us-west-1,us-west-1,-1,-1,1.0
4,6,c,d,us-west-1,us-west-1,-1,-1,1.0
5,6,a,b,us-west-1,us-west-1,-1,-1,1.0
6,6,b,c,us-east-1,us-east-1,-1,-1,1.0
7,6,c,d,us-east-1,us-east-1,-1,-1,1.0
8,6,a,b,us-east-1,us-east-1,-1,-1,1.0
0,7,frontend,a,us-west-1,us-west-1,400,634,0.6309148264984227
1,7,frontend,a,us-west-1,us-east-1,234,634,0.36908517350157727
2,7,frontend,a,us-east-1,us-east-1,118,118,1.0
3,7,b,c,us-west-1,us-west-1,-1,-1,1.0
4,7,c,d,us-west-1,us-west-1,-1,-1,1.0
