,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-east-1,us-east-1,17,17,1.0
1,1,b,c,us-west-1,us-west-1,181,181,1.0
2,1,frontend,a,us-east-1,us-east-1,17,17,1.0
3,1,frontend,a,us-west-1,us-west-1,181,181,1.0
4,1,c,d,us-east-1,us-east-1,17,17,1.0
5,1,c,d,us-west-1,us-west-1,181,181,1.0
6,1,a,b,us-east-1,us-east-1,17,17,1.0
7,1,a,b,us-west-1,us-west-1,181,181,1.0
8,1,SOURCE,frontend,XXXX,us-east-1,17,198,0.08585858585858586
9,1,SOURCE,frontend,XXXX,us-west-1,181,198,0.9141414141414141
0,2,b,c,us-east-1,us-east-1,17,17,1.0
1,2,b,c,us-west-1,us-west-1,349,349,1.0
2,2,frontend,a,us-east-1,us-east-1,17,17,1.0
3,2,frontend,a,us-west-1,us-west-1,349,349,1.0
4,2,c,d,us-east-1,us-east-1,17,17,1.0
5,2,c,d,us-west-1,us-west-1,349,349,1.0
6,2,a,b,us-east-1,us-east-1,17,17,1.0
7,2,a,b,us-west-1,us-west-1,349,349,1.0
8,2,SOURCE,frontend,XXXX,us-east-1,17,366,0.04644808743169399
9,2,SOURCE,frontend,XXXX,us-west-1,349,366,0.953551912568306
0,3,b,c,us-east-1,us-east-1,121,121,1.0
1,3,b,c,us-west-1,us-west-1,364,364,1.0
2,3,frontend,a,us-east-1,us-east-1,113,113,1.0
3,3,frontend,a,us-west-1,us-east-1,8,372,0.021505376344086023
4,3,frontend,a,us-west-1,us-west-1,364,372,0.978494623655914
5,3,c,d,us-east-1,us-east-1,121,121,1.0
6,3,c,d,us-west-1,us-west-1,364,364,1.0
7,3,a,b,us-east-1,us-east-1,121,121,1.0
8,3,a,b,us-west-1,us-west-1,364,364,1.0
9,3,SOURCE,frontend,XXXX,us-east-1,113,484,0.2334710743801653
10,3,SOURCE,frontend,XXXX,us-west-1,371,484,0.7665289256198347
0,4,b,c,us-east-1,us-east-1,103,103,1.0
1,4,b,c,us-west-1,us-west-1,321,321,1.0
2,4,frontend,a,us-east-1,us-east-1,103,103,1.0
3,4,frontend,a,us-west-1,us-west-1,321,321,1.0
4,4,c,d,us-east-1,us-east-1,103,103,1.0
5,4,c,d,us-west-1,us-west-1,321,321,1.0
6,4,a,b,us-east-1,us-east-1,103,103,1.0
7,4,a,b,us-west-1,us-west-1,321,321,1.0
8,4,SOURCE,frontend,XXXX,us-east-1,103,424,0.2429245283018868
9,4,SOURCE,frontend,XXXX,us-west-1,321,424,0.7570754716981132
0,5,b,c,us-east-1,us-east-1,246,246,1.0
1,5,b,c,us-west-1,us-west-1,381,381,1.0
2,5,frontend,a,us-east-1,us-east-1,99,99,1.0
3,5,frontend,a,us-west-1,us-east-1,147,528,0.2784090909090909
4,5,frontend,a,us-west-1,us-west-1,381,528,0.7215909090909091
5,5,c,d,us-east-1,us-east-1,246,246,1.0
6,5,c,d,us-west-1,us-west-1,381,381,1.0
7,5,a,b,us-east-1,us-east-1,246,246,1.0
8,5,a,b,us-west-1,us-west-1,381,381,1.0
9,5,SOURCE,frontend,XXXX,us-east-1,99,626,0.15814696485623003
10,5,SOURCE,frontend,XXXX,us-west-1,527,626,0.84185303514377
0,6,b,c,us-east-1,us-east-1,329,329,1.0
1,6,b,c,us-west-1,us-west-1,412,412,1.0
2,6,frontend,a,us-east-1,us-east-1,111,111,1.0
3,6,frontend,a,us-west-1,us-east-1,218,630,0.346031746031746
4,6,frontend,a,us-west-1,us-west-1,412,630,0.653968253968254
