,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-west-1,us-west-1,18,18,1.0
1,1,frontend,a,us-west-1,us-west-1,18,18,1.0
2,1,c,d,us-west-1,us-west-1,18,18,1.0
3,1,a,b,us-west-1,us-west-1,18,18,1.0
4,1,SOURCE,frontend,XXXX,us-west-1,18,18,1.0
0,2,b,c,us-west-1,us-west-1,55,55,1.0
1,2,b,c,us-east-1,us-east-1,77,77,1.0
2,2,frontend,a,us-west-1,us-west-1,55,55,1.0
3,2,frontend,a,us-east-1,us-east-1,77,77,1.0
4,2,c,d,us-west-1,us-west-1,55,55,1.0
5,2,c,d,us-east-1,us-east-1,77,77,1.0
6,2,a,b,us-west-1,us-west-1,55,55,1.0
7,2,a,b,us-east-1,us-east-1,77,77,1.0
8,2,SOURCE,frontend,XXXX,us-west-1,55,132,0.4166666666666667
9,2,SOURCE,frontend,XXXX,us-east-1,77,132,0.5833333333333334
0,3,b,c,us-east-1,us-east-1,102,102,1.0
1,3,frontend,a,us-east-1,us-east-1,102,102,1.0
2,3,c,d,us-east-1,us-east-1,102,102,1.0
3,3,a,b,us-east-1,us-east-1,102,102,1.0
4,3,SOURCE,frontend,XXXX,us-east-1,102,102,1.0
0,4,b,c,us-east-1,us-east-1,106,106,1.0
1,4,frontend,a,us-east-1,us-east-1,106,106,1.0
2,4,c,d,us-east-1,us-east-1,106,106,1.0
3,4,a,b,us-east-1,us-east-1,106,106,1.0
4,4,SOURCE,frontend,XXXX,us-east-1,106,106,1.0
0,5,b,c,us-east-1,us-east-1,102,102,1.0
1,5,frontend,a,us-east-1,us-east-1,102,102,1.0
2,5,c,d,us-east-1,us-east-1,102,102,1.0
3,5,a,b,us-east-1,us-east-1,102,102,1.0
4,5,SOURCE,frontend,XXXX,us-east-1,102,102,1.0
0,6,b,c,us-east-1,us-east-1,121,121,1.0
1,6,frontend,a,us-east-1,us-east-1,121,121,1.0
2,6,c,d,us-east-1,us-east-1,121,121,1.0
3,6,a,b,us-east-1,us-east-1,121,121,1.0
4,6,SOURCE,frontend,XXXX,us-east-1,121,121,1.0
0,7,b,c,us-east-1,us-east-1,112,112,1.0
1,7,frontend,a,us-east-1,us-east-1,112,112,1.0
2,7,c,d,us-east-1,us-east-1,112,112,1.0
3,7,a,b,us-east-1,us-east-1,112,112,1.0
4,7,SOURCE,frontend,XXXX,us-east-1,112,112,1.0
0,8,b,c,us-east-1,us-east-1,89,89,1.0
1,8,frontend,a,us-east-1,us-east-1,89,89,1.0
