,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,2,frontend,a,us-west-1,us-west-1,300,332,0.9036144578313253
1,2,frontend,a,us-west-1,us-east-1,32,332,0.0963855421686747
2,2,frontend,a,us-east-1,us-east-1,6,6,1.0
3,2,b,c,us-west-1,us-west-1,-1,-1,1.0
4,2,c,d,us-west-1,us-west-1,-1,-1,1.0
5,2,a,b,us-west-1,us-west-1,-1,-1,1.0
6,2,b,c,us-east-1,us-east-1,-1,-1,1.0
7,2,c,d,us-east-1,us-east-1,-1,-1,1.0
8,2,a,b,us-east-1,us-east-1,-1,-1,1.0
0,3,frontend,a,us-west-1,us-west-1,300,440,0.6818181818181818
1,3,frontend,a,us-west-1,us-east-1,140,440,0.3181818181818182
2,3,frontend,a,us-east-1,us-east-1,110,110,1.0
3,3,b,c,us-west-1,us-west-1,-1,-1,1.0
4,3,c,d,us-west-1,us-west-1,-1,-1,1.0
5,3,a,b,us-west-1,us-west-1,-1,-1,1.0
6,3,b,c,us-east-1,us-east-1,-1,-1,1.0
7,3,c,d,us-east-1,us-east-1,-1,-1,1.0
8,3,a,b,us-east-1,us-east-1,-1,-1,1.0
0,4,frontend,a,us-west-1,us-west-1,316,439,0.7198177676537585
1,4,frontend,a,us-west-1,us-east-1,123,439,0.28018223234624146
2,4,frontend,a,us-east-1,us-east-1,105,105,1.0
3,4,b,c,us-west-1,us-west-1,-1,-1,1.0
4,4,c,d,us-west-1,us-west-1,-1,-1,1.0
5,4,a,b,us-west-1,us-west-1,-1,-1,1.0
6,4,b,c,us-east-1,us-east-1,-1,-1,1.0
7,4,c,d,us-east-1,us-east-1,-1,-1,1.0
8,4,a,b,us-east-1,us-east-1,-1,-1,1.0
0,5,frontend,a,us-west-1,us-west-1,311,420,0.7404761904761905
1,5,frontend,a,us-west-1,us-east-1,109,420,0.25952380952380955
2,5,frontend,a,us-east-1,us-east-1,102,102,1.0
3,5,b,c,us-west-1,us-west-1,-1,-1,1.0
4,5,c,d,us-west-1,us-west-1,-1,-1,1.0
5,5,a,b,us-west-1,us-west-1,-1,-1,1.0
6,5,b,c,us-east-1,us-east-1,-1,-1,1.0
7,5,c,d,us-east-1,us-east-1,-1,-1,1.0
8,5,a,b,us-east-1,us-east-1,-1,-1,1.0
0,6,frontend,a,us-west-1,us-west-1,300,363,0.8264462809917356
1,6,frontend,a,us-west-1,us-east-1,63,363,0.17355371900826447
2,6,frontend,a,us-east-1,us-east-1,107,107,1.0
3,6,b,c,us-west-1,us-west-1,-1,-1,1.0
4,6,c,d,us-west-1,us-west-1,-1,-1,1.0
5,6,a,b,us-west-1,us-west-1,-1,-1,1.0
6,6,b,c,us-east-1,us-east-1,-1,-1,1.0
7,6,c,d,us-east-1,us-east-1,-1,-1,1.0
8,6,a,b,us-east-1,us-east-1,-1,-1,1.0
0,7,frontend,a,us-west-1,us-west-1,300,410,0.7317073170731707
1,7,frontend,a,us-west-1,us-east-1,110,410,0.2682926829268293
2,7,frontend,a,us-east-1,us-east-1,122,122,1.0
3,7,b,c,us-west-1,us-west-1,-1,-1,1.0
4,7,c,d,us-west-1,us-west-1,-1,-1,1.0
5,7,a,b,us-west-1,us-west-1,-1,-1,1.0
6,7,b,c,us-east-1,us-east-1,-1,-1,1.0
7,7,c,d,us-east-1,us-east-1,-1,-1,1.0
8,7,a,b,us-east-1,us-east-1,-1,-1,1.0
0,8,frontend,a,us-west-1,us-west-1,300,400,0.75
1,8,frontend,a,us-west-1,us-east-1,100,400,0.25
2,8,frontend,a,us-east-1,us-east-1,98,98,1.0
3,8,b,c,us-west-1,us-west-1,-1,-1,1.0
4,8,c,d,us-west-1,us-west-1,-1,-1,1.0
5,8,a,b,us-west-1,us-west-1,-1,-1,1.0
6,8,b,c,us-east-1,us-east-1,-1,-1,1.0
7,8,c,d,us-east-1,us-east-1,-1,-1,1.0
8,8,a,b,us-east-1,us-east-1,-1,-1,1.0
0,9,frontend,a,us-west-1,us-west-1,300,412,0.7281553398058253
1,9,frontend,a,us-west-1,us-east-1,112,412,0.27184466019417475
2,9,frontend,a,us-east-1,us-east-1,101,101,1.0
3,9,b,c,us-west-1,us-west-1,-1,-1,1.0
4,9,c,d,us-west-1,us-west-1,-1,-1,1.0
5,9,a,b,us-west-1,us-west-1,-1,-1,1.0
6,9,b,c,us-east-1,us-east-1,-1,-1,1.0
7,9,c,d,us-east-1,us-east-1,-1,-1,1.0
8,9,a,b,us-east-1,us-east-1,-1,-1,1.0
0,10,frontend,a,us-west-1,us-west-1,300,363,0.8264462809917356
1,10,frontend,a,us-west-1,us-east-1,63,363,0.17355371900826447
2,10,frontend,a,us-east-1,us-east-1,93,93,1.0
3,10,b,c,us-west-1,us-west-1,-1,-1,1.0
4,10,c,d,us-west-1,us-west-1,-1,-1,1.0
5,10,a,b,us-west-1,us-west-1,-1,-1,1.0
6,10,b,c,us-east-1,us-east-1,-1,-1,1.0
7,10,c,d,us-east-1,us-east-1,-1,-1,1.0
8,10,a,b,us-east-1,us-east-1,-1,-1,1.0
0,11,frontend,a,us-west-1,us-west-1,300,402,0.746268656716418
1,11,frontend,a,us-west-1,us-east-1,102,402,0.2537313432835821
2,11,frontend,a,us-east-1,us-east-1,89,89,1.0
3,11,b,c,us-west-1,us-west-1,-1,-1,1.0
4,11,c,d,us-west-1,us-west-1,-1,-1,1.0
5,11,a,b,us-west-1,us-west-1,-1,-1,1.0
6,11,b,c,us-east-1,us-east-1,-1,-1,1.0
7,11,c,d,us-east-1,us-east-1,-1,-1,1.0
8,11,a,b,us-east-1,us-east-1,-1,-1,1.0
0,12,frontend,a,us-west-1,us-west-1,300,421,0.7125890736342043
1,12,frontend,a,us-west-1,us-east-1,121,421,0.28741092636579574
2,12,frontend,a,us-east-1,us-east-1,104,104,1.0
3,12,b,c,us-west-1,us-west-1,-1,-1,1.0
4,12,c,d,us-west-1,us-west-1,-1,-1,1.0
5,12,a,b,us-west-1,us-west-1,-1,-1,1.0
6,12,b,c,us-east-1,us-east-1,-1,-1,1.0
7,12,c,d,us-east-1,us-east-1,-1,-1,1.0
8,12,a,b,us-east-1,us-east-1,-1,-1,1.0
0,13,frontend,a,us-west-1,us-west-1,300,392,0.7653061224489796
1,13,frontend,a,us-west-1,us-east-1,92,392,0.23469387755102042
2,13,frontend,a,us-east-1,us-east-1,97,97,1.0
3,13,b,c,us-west-1,us-west-1,-1,-1,1.0
4,13,c,d,us-west-1,us-west-1,-1,-1,1.0
5,13,a,b,us-west-1,us-west-1,-1,-1,1.0
6,13,b,c,us-east-1,us-east-1,-1,-1,1.0
7,13,c,d,us-east-1,us-east-1,-1,-1,1.0
8,13,a,b,us-east-1,us-east-1,-1,-1,1.0
0,14,frontend,a,us-west-1,us-west-1,300,436,0.6880733944954128
1,14,frontend,a,us-west-1,us-east-1,136,436,0.3119266055045872
2,14,frontend,a,us-east-1,us-east-1,108,108,1.0
3,14,b,c,us-west-1,us-west-1,-1,-1,1.0
4,14,c,d,us-west-1,us-west-1,-1,-1,1.0
5,14,a,b,us-west-1,us-west-1,-1,-1,1.0
6,14,b,c,us-east-1,us-east-1,-1,-1,1.0
7,14,c,d,us-east-1,us-east-1,-1,-1,1.0
8,14,a,b,us-east-1,us-east-1,-1,-1,1.0
0,15,frontend,a,us-west-1,us-west-1,300,362,0.8287292817679558
1,15,frontend,a,us-west-1,us-east-1,62,362,0.1712707182320442
2,15,frontend,a,us-east-1,us-east-1,86,86,1.0
3,15,b,c,us-west-1,us-west-1,-1,-1,1.0
4,15,c,d,us-west-1,us-west-1,-1,-1,1.0
5,15,a,b,us-west-1,us-west-1,-1,-1,1.0
6,15,b,c,us-east-1,us-east-1,-1,-1,1.0
7,15,c,d,us-east-1,us-east-1,-1,-1,1.0
8,15,a,b,us-east-1,us-east-1,-1,-1,1.0
0,16,frontend,a,us-west-1,us-west-1,300,371,0.8086253369272237
1,16,frontend,a,us-west-1,us-east-1,71,371,0.19137466307277629
2,16,frontend,a,us-east-1,us-east-1,93,93,1.0
3,16,b,c,us-west-1,us-west-1,-1,-1,1.0
4,16,c,d,us-west-1,us-west-1,-1,-1,1.0
5,16,a,b,us-west-1,us-west-1,-1,-1,1.0
6,16,b,c,us-east-1,us-east-1,-1,-1,1.0
7,16,c,d,us-east-1,us-east-1,-1,-1,1.0
8,16,a,b,us-east-1,us-east-1,-1,-1,1.0
0,17,frontend,a,us-west-1,us-west-1,300,374,0.8021390374331551
1,17,frontend,a,us-west-1,us-east-1,74,374,0.19786096256684493
2,17,frontend,a,us-east-1,us-east-1,99,99,1.0
3,17,b,c,us-west-1,us-west-1,-1,-1,1.0
4,17,c,d,us-west-1,us-west-1,-1,-1,1.0
5,17,a,b,us-west-1,us-west-1,-1,-1,1.0
6,17,b,c,us-east-1,us-east-1,-1,-1,1.0
7,17,c,d,us-east-1,us-east-1,-1,-1,1.0
