,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-west-1,us-west-1,348,348,1.0
1,1,b,c,us-east-1,us-east-1,1,1,1.0
2,1,frontend,a,us-west-1,us-west-1,348,349,0.997134670487106
3,1,frontend,a,us-west-1,us-east-1,1,349,0.0028653295128939827
4,1,c,d,us-west-1,us-west-1,348,348,1.0
5,1,c,d,us-east-1,us-east-1,1,1,1.0
6,1,a,b,us-west-1,us-west-1,348,348,1.0
7,1,a,b,us-east-1,us-east-1,1,1,1.0
8,1,SOURCE,frontend,XXXX,us-west-1,348,348,1.0
0,2,b,c,us-west-1,us-west-1,348,348,1.0
1,2,b,c,us-east-1,us-east-1,93,93,1.0
2,2,frontend,a,us-west-1,us-west-1,348,348,1.0
3,2,frontend,a,us-east-1,us-east-1,93,93,1.0
4,2,c,d,us-west-1,us-west-1,348,348,1.0
5,2,c,d,us-east-1,us-east-1,93,93,1.0
6,2,a,b,us-west-1,us-west-1,348,348,1.0
7,2,a,b,us-east-1,us-east-1,93,93,1.0
8,2,SOURCE,frontend,XXXX,us-west-1,348,441,0.7891156462585034
9,2,SOURCE,frontend,XXXX,us-east-1,93,441,0.2108843537414966
0,3,b,c,us-west-1,us-west-1,342,342,1.0
1,3,b,c,us-east-1,us-east-1,106,106,1.0
2,3,frontend,a,us-west-1,us-west-1,342,342,1.0
3,3,frontend,a,us-east-1,us-east-1,105,105,1.0
4,3,c,d,us-west-1,us-west-1,342,342,1.0
5,3,c,d,us-east-1,us-east-1,106,106,1.0
6,3,a,b,us-west-1,us-west-1,342,342,1.0
7,3,a,b,us-east-1,us-east-1,106,106,1.0
8,3,SOURCE,frontend,XXXX,us-west-1,342,447,0.7651006711409396
9,3,SOURCE,frontend,XXXX,us-east-1,105,447,0.2348993288590604
0,4,b,c,us-west-1,us-west-1,375,375,1.0
1,4,b,c,us-east-1,us-east-1,225,225,1.0
2,4,frontend,a,us-west-1,us-west-1,375,493,0.7606490872210954
3,4,frontend,a,us-west-1,us-east-1,118,493,0.23935091277890466
4,4,frontend,a,us-east-1,us-east-1,107,107,1.0
5,4,c,d,us-west-1,us-west-1,375,375,1.0
6,4,c,d,us-east-1,us-east-1,225,225,1.0
7,4,a,b,us-west-1,us-west-1,375,375,1.0
8,4,a,b,us-east-1,us-east-1,225,225,1.0
9,4,SOURCE,frontend,XXXX,us-west-1,492,599,0.8213689482470785
10,4,SOURCE,frontend,XXXX,us-east-1,107,599,0.17863105175292154
0,5,b,c,us-west-1,us-west-1,366,366,1.0
1,5,b,c,us-east-1,us-east-1,156,156,1.0
2,5,frontend,a,us-west-1,us-west-1,366,425,0.8611764705882353
3,5,frontend,a,us-west-1,us-east-1,59,425,0.1388235294117647
4,5,frontend,a,us-east-1,us-east-1,97,97,1.0
5,5,c,d,us-west-1,us-west-1,366,366,1.0
6,5,c,d,us-east-1,us-east-1,156,156,1.0
7,5,a,b,us-west-1,us-west-1,366,366,1.0
8,5,a,b,us-east-1,us-east-1,156,156,1.0
9,5,SOURCE,frontend,XXXX,us-west-1,424,521,0.8138195777351248
10,5,SOURCE,frontend,XXXX,us-east-1,97,521,0.18618042226487524
0,6,b,c,us-west-1,us-west-1,365,365,1.0
1,6,b,c,us-east-1,us-east-1,135,135,1.0
2,6,frontend,a,us-west-1,us-west-1,365,370,0.9864864864864865
3,6,frontend,a,us-west-1,us-east-1,5,370,0.013513513513513514
4,6,frontend,a,us-east-1,us-east-1,130,130,1.0
5,6,c,d,us-west-1,us-west-1,365,365,1.0
6,6,c,d,us-east-1,us-east-1,135,135,1.0
7,6,a,b,us-west-1,us-west-1,365,365,1.0
8,6,a,b,us-east-1,us-east-1,135,135,1.0
9,6,SOURCE,frontend,XXXX,us-west-1,369,499,0.7394789579158316
10,6,SOURCE,frontend,XXXX,us-east-1,130,499,0.2605210420841683
0,7,b,c,us-west-1,us-west-1,365,365,1.0
1,7,b,c,us-east-1,us-east-1,136,136,1.0
2,7,frontend,a,us-west-1,us-west-1,365,394,0.9263959390862944
3,7,frontend,a,us-west-1,us-east-1,29,394,0.07360406091370558
4,7,frontend,a,us-east-1,us-east-1,107,107,1.0
5,7,c,d,us-west-1,us-west-1,365,365,1.0
6,7,c,d,us-east-1,us-east-1,136,136,1.0
7,7,a,b,us-west-1,us-west-1,365,365,1.0
8,7,a,b,us-east-1,us-east-1,136,136,1.0
9,7,SOURCE,frontend,XXXX,us-west-1,393,500,0.786
10,7,SOURCE,frontend,XXXX,us-east-1,107,500,0.214
0,8,b,c,us-west-1,us-west-1,363,363,1.0
1,8,b,c,us-east-1,us-east-1,96,96,1.0
2,8,frontend,a,us-west-1,us-west-1,363,392,0.9260204081632653
3,8,frontend,a,us-west-1,us-east-1,29,392,0.07397959183673469
4,8,frontend,a,us-east-1,us-east-1,67,67,1.0
5,8,c,d,us-west-1,us-west-1,363,363,1.0
6,8,c,d,us-east-1,us-east-1,96,96,1.0
7,8,a,b,us-west-1,us-west-1,363,363,1.0
8,8,a,b,us-east-1,us-east-1,96,96,1.0
9,8,SOURCE,frontend,XXXX,us-west-1,391,458,0.8537117903930131
10,8,SOURCE,frontend,XXXX,us-east-1,67,458,0.1462882096069869
0,9,b,c,us-west-1,us-west-1,363,363,1.0
1,9,b,c,us-east-1,us-east-1,82,82,1.0
2,9,frontend,a,us-west-1,us-west-1,363,395,0.9189873417721519
3,9,frontend,a,us-west-1,us-east-1,32,395,0.0810126582278481
4,9,frontend,a,us-east-1,us-east-1,50,50,1.0
5,9,c,d,us-west-1,us-west-1,363,363,1.0
6,9,c,d,us-east-1,us-east-1,82,82,1.0
7,9,a,b,us-west-1,us-west-1,363,363,1.0
8,9,a,b,us-east-1,us-east-1,82,82,1.0
9,9,SOURCE,frontend,XXXX,us-west-1,394,444,0.8873873873873874
10,9,SOURCE,frontend,XXXX,us-east-1,50,444,0.11261261261261261
0,10,b,c,us-west-1,us-west-1,352,352,1.0
1,10,b,c,us-east-1,us-east-1,40,40,1.0
2,10,frontend,a,us-west-1,us-west-1,352,352,1.0
3,10,frontend,a,us-east-1,us-east-1,40,40,1.0
4,10,c,d,us-west-1,us-west-1,352,352,1.0
5,10,c,d,us-east-1,us-east-1,40,40,1.0
6,10,a,b,us-west-1,us-west-1,352,352,1.0
7,10,a,b,us-east-1,us-east-1,40,40,1.0
8,10,SOURCE,frontend,XXXX,us-west-1,352,392,0.8979591836734694
9,10,SOURCE,frontend,XXXX,us-east-1,40,392,0.10204081632653061
0,11,b,c,us-west-1,us-west-1,363,363,1.0
1,11,b,c,us-east-1,us-east-1,48,48,1.0
2,11,frontend,a,us-west-1,us-west-1,363,371,0.9784366576819407
3,11,frontend,a,us-west-1,us-east-1,8,371,0.0215633423180593
4,11,frontend,a,us-east-1,us-east-1,40,40,1.0
5,11,c,d,us-west-1,us-west-1,363,363,1.0
6,11,c,d,us-east-1,us-east-1,48,48,1.0
7,11,a,b,us-west-1,us-west-1,363,363,1.0
8,11,a,b,us-east-1,us-east-1,48,48,1.0
9,11,SOURCE,frontend,XXXX,us-west-1,370,410,0.9024390243902439
10,11,SOURCE,frontend,XXXX,us-east-1,40,410,0.0975609756097561
0,12,b,c,us-west-1,us-west-1,363,363,1.0
1,12,b,c,us-east-1,us-east-1,57,57,1.0
2,12,frontend,a,us-west-1,us-west-1,363,388,0.9355670103092784
