counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,106
0,us-west-1,b,b@POST@/spreadb,146
0,us-west-1,frontend,frontend@GET@/start,289
0,us-west-1,d,d@POST@/spreadd,179
0,us-west-1,a,a@POST@/spreada,219
0,us-west-1,c,c@POST@/spreadc,214
0,us-west-1,b,b@POST@/spreadb,292
0,us-west-1,frontend,frontend@GET@/start,377
0,us-west-1,d,d@POST@/spreadd,265
0,us-west-1,a,a@POST@/spreada,419
0,us-west-1,c,c@POST@/spreadc,268
0,us-west-1,b,b@POST@/spreadb,508
0,us-west-1,frontend,frontend@GET@/start,499
0,us-west-1,d,d@POST@/spreadd,406
0,us-west-1,a,a@POST@/spreada,143
0,us-west-1,c,c@POST@/spreadc,260
0,us-west-1,b,b@POST@/spreadb,506
0,us-west-1,frontend,frontend@GET@/start,351
0,us-west-1,d,d@POST@/spreadd,348
0,us-west-1,a,a@POST@/spreada,295
0,us-west-1,c,c@POST@/spreadc,495
0,us-west-1,b,b@POST@/spreadb,492
0,us-west-1,frontend,frontend@GET@/start,571
0,us-west-1,d,d@POST@/spreadd,581
0,us-west-1,a,a@POST@/spreada,381
0,us-west-1,c,c@POST@/spreadc,373
0,us-west-1,b,b@POST@/spreadb,700
0,us-west-1,frontend,frontend@GET@/start,738
0,us-west-1,d,d@POST@/spreadd,829
0,us-west-1,a,a@POST@/spreada,400
0,us-west-1,c,c@POST@/spreadc,731
0,us-west-1,b,b@POST@/spreadb,719
0,us-west-1,frontend,frontend@GET@/start,610
0,us-west-1,d,d@POST@/spreadd,575
0,us-west-1,a,a@POST@/spreada,172
0,us-west-1,c,c@POST@/spreadc,696
0,us-west-1,b,b@POST@/spreadb,491
0,us-west-1,frontend,frontend@GET@/start,667
0,us-west-1,d,d@POST@/spreadd,684
0,us-west-1,a,a@POST@/spreada,279
0,us-west-1,c,c@POST@/spreadc,465
0,us-west-1,b,b@POST@/spreadb,698
0,us-west-1,frontend,frontend@GET@/start,578
0,us-west-1,d,d@POST@/spreadd,678
0,us-west-1,a,a@POST@/spreada,424
0,us-west-1,c,c@POST@/spreadc,784
0,us-west-1,b,b@POST@/spreadb,762
0,us-west-1,frontend,frontend@GET@/start,744
0,us-west-1,d,d@POST@/spreadd,611
0,us-west-1,a,a@POST@/spreada,426
0,us-west-1,c,c@POST@/spreadc,746
0,us-west-1,b,b@POST@/spreadb,677
0,us-west-1,frontend,frontend@GET@/start,695
0,us-west-1,d,d@POST@/spreadd,782
0,us-west-1,a,a@POST@/spreada,326
0,us-west-1,c,c@POST@/spreadc,680
0,us-west-1,b,b@POST@/spreadb,680
0,us-west-1,frontend,frontend@GET@/start,672
0,us-west-1,d,d@POST@/spreadd,778
0,us-west-1,a,a@POST@/spreada,374
0,us-west-1,c,c@POST@/spreadc,723
0,us-west-1,b,b@POST@/spreadb,680
0,us-west-1,frontend,frontend@GET@/start,660
0,us-west-1,d,d@POST@/spreadd,659
0,us-west-1,a,a@POST@/spreada,661
0,us-west-1,c,c@POST@/spreadc,648
0,us-west-1,b,b@POST@/spreadb,667
0,us-west-1,frontend,frontend@GET@/start,675
0,us-west-1,d,d@POST@/spreadd,659
0,us-west-1,a,a@POST@/spreada,590
0,us-west-1,c,c@POST@/spreadc,676
0,us-west-1,b,b@POST@/spreadb,599
0,us-west-1,frontend,frontend@GET@/start,605
0,us-west-1,d,d@POST@/spreadd,681
0,us-west-1,a,a@POST@/spreada,619
0,us-west-1,c,c@POST@/spreadc,594
0,us-west-1,b,b@POST@/spreadb,608
0,us-west-1,frontend,frontend@GET@/start,589
0,us-west-1,d,d@POST@/spreadd,619
0,us-west-1,a,a@POST@/spreada,559
0,us-west-1,c,c@POST@/spreadc,613
0,us-west-1,b,b@POST@/spreadb,564
0,us-west-1,frontend,frontend@GET@/start,560
0,us-west-1,d,d@POST@/spreadd,553
0,us-west-1,a,a@POST@/spreada,590
0,us-west-1,c,c@POST@/spreadc,565
0,us-west-1,b,b@POST@/spreadb,582
0,us-west-1,frontend,frontend@GET@/start,598
0,us-west-1,d,d@POST@/spreadd,553
0,us-west-1,a,a@POST@/spreada,599
0,us-west-1,c,c@POST@/spreadc,573
0,us-west-1,b,b@POST@/spreadb,603
0,us-west-1,frontend,frontend@GET@/start,613
0,us-west-1,d,d@POST@/spreadd,595
0,us-west-1,a,a@POST@/spreada,602
0,us-west-1,c,c@POST@/spreadc,629
0,us-west-1,b,b@POST@/spreadb,613
0,us-west-1,frontend,frontend@GET@/start,582
0,us-west-1,d,d@POST@/spreadd,618
0,us-west-1,a,a@POST@/spreada,573
0,us-west-1,c,c@POST@/spreadc,571
0,us-west-1,b,b@POST@/spreadb,580
0,us-west-1,frontend,frontend@GET@/start,587
0,us-west-1,d,d@POST@/spreadd,580
0,us-west-1,a,a@POST@/spreada,603
0,us-west-1,c,c@POST@/spreadc,598
0,us-west-1,b,b@POST@/spreadb,602
0,us-west-1,frontend,frontend@GET@/start,604
0,us-west-1,d,d@POST@/spreadd,580
0,us-west-1,a,a@POST@/spreada,645
0,us-west-1,c,c@POST@/spreadc,599
0,us-west-1,b,b@POST@/spreadb,637
0,us-west-1,frontend,frontend@GET@/start,650
0,us-west-1,d,d@POST@/spreadd,610
0,us-west-1,a,a@POST@/spreada,609
0,us-west-1,c,c@POST@/spreadc,655
0,us-west-1,b,b@POST@/spreadb,614
0,us-west-1,frontend,frontend@GET@/start,594
0,us-west-1,d,d@POST@/spreadd,635
0,us-west-1,a,a@POST@/spreada,625
0,us-west-1,c,c@POST@/spreadc,594
0,us-west-1,b,b@POST@/spreadb,621
0,us-west-1,frontend,frontend@GET@/start,630
0,us-west-1,d,d@POST@/spreadd,594
0,us-west-1,a,a@POST@/spreada,570
0,us-west-1,c,c@POST@/spreadc,629
0,us-west-1,b,b@POST@/spreadb,572
0,us-west-1,frontend,frontend@GET@/start,578
0,us-west-1,d,d@POST@/spreadd,635
0,us-west-1,a,a@POST@/spreada,586
0,us-west-1,c,c@POST@/spreadc,573
0,us-west-1,b,b@POST@/spreadb,578
0,us-west-1,frontend,frontend@GET@/start,564
0,us-west-1,d,d@POST@/spreadd,583
0,us-west-1,a,a@POST@/spreada,547
0,us-west-1,c,c@POST@/spreadc,570
0,us-west-1,b,b@POST@/spreadb,578
0,us-west-1,frontend,frontend@GET@/start,568
0,us-west-1,d,d@POST@/spreadd,557
0,us-west-1,a,a@POST@/spreada,606
0,us-west-1,c,c@POST@/spreadc,560
0,us-west-1,b,b@POST@/spreadb,1169
0,us-west-1,frontend,frontend@GET@/start,600
0,us-west-1,d,d@POST@/spreadd,579
0,us-west-1,a,a@POST@/spreada,611
0,us-west-1,c,c@POST@/spreadc,610
0,us-west-1,b,b@POST@/spreadb,600
0,us-west-1,frontend,frontend@GET@/start,613
0,us-west-1,d,d@POST@/spreadd,606
0,us-west-1,a,a@POST@/spreada,594
0,us-west-1,c,c@POST@/spreadc,603
0,us-west-1,b,b@POST@/spreadb,598
0,us-west-1,frontend,frontend@GET@/start,608
0,us-west-1,d,d@POST@/spreadd,602
0,us-west-1,a,a@POST@/spreada,591
0,us-west-1,c,c@POST@/spreadc,611
0,us-west-1,b,b@POST@/spreadb,590
0,us-west-1,frontend,frontend@GET@/start,583
0,us-west-1,d,d@POST@/spreadd,599
0,us-west-1,a,a@POST@/spreada,594
0,us-west-1,c,c@POST@/spreadc,577
0,us-west-1,b,b@POST@/spreadb,597
0,us-west-1,frontend,frontend@GET@/start,592
0,us-west-1,d,d@POST@/spreadd,577
0,us-west-1,a,a@POST@/spreada,538
0,us-west-1,c,c@POST@/spreadc,593
0,us-west-1,b,b@POST@/spreadb,529
0,us-west-1,frontend,frontend@GET@/start,592
0,us-west-1,d,d@POST@/spreadd,598
0,us-west-1,a,a@POST@/spreada,538
0,us-west-1,c,c@POST@/spreadc,504
0,us-west-1,b,b@POST@/spreadb,548
0,us-west-1,frontend,frontend@GET@/start,1084
0,us-west-1,d,d@POST@/spreadd,530
0,us-west-1,a,a@POST@/spreada,637
0,us-west-1,c,c@POST@/spreadc,573
0,us-west-1,b,b@POST@/spreadb,633
0,us-west-1,frontend,frontend@GET@/start,646
0,us-west-1,d,d@POST@/spreadd,545
0,us-west-1,a,a@POST@/spreada,634
0,us-west-1,c,c@POST@/spreadc,651
0,us-west-1,b,b@POST@/spreadb,631
0,us-west-1,frontend,frontend@GET@/start,635
0,us-west-1,d,d@POST@/spreadd,632
0,us-west-1,a,a@POST@/spreada,616
0,us-west-1,c,c@POST@/spreadc,632
0,us-west-1,b,b@POST@/spreadb,597
0,us-west-1,frontend,frontend@GET@/start,596
0,us-west-1,d,d@POST@/spreadd,622
0,us-west-1,a,a@POST@/spreada,555
0,us-west-1,c,c@POST@/spreadc,568
0,us-west-1,b,b@POST@/spreadb,556
0,us-west-1,frontend,frontend@GET@/start,599
0,us-west-1,d,d@POST@/spreadd,574
0,us-west-1,a,a@POST@/spreada,611
0,us-west-1,c,c@POST@/spreadc,521
0,us-west-1,b,b@POST@/spreadb,607
0,us-west-1,frontend,frontend@GET@/start,599
0,us-west-1,d,d@POST@/spreadd,536
0,us-west-1,a,a@POST@/spreada,533
0,us-west-1,c,c@POST@/spreadc,558
0,us-west-1,b,b@POST@/spreadb,544
0,us-west-1,frontend,frontend@GET@/start,544
0,us-west-1,d,d@POST@/spreadd,555
0,us-west-1,a,a@POST@/spreada,563
0,us-west-1,c,c@POST@/spreadc,566
0,us-west-1,b,b@POST@/spreadb,544
0,us-west-1,frontend,frontend@GET@/start,572
0,us-west-1,d,d@POST@/spreadd,602
0,us-west-1,a,a@POST@/spreada,595
0,us-west-1,c,c@POST@/spreadc,589
0,us-west-1,b,b@POST@/spreadb,554
0,us-west-1,frontend,frontend@GET@/start,572
0,us-west-1,d,d@POST@/spreadd,533
0,us-west-1,a,a@POST@/spreada,572
0,us-west-1,c,c@POST@/spreadc,560
0,us-west-1,b,b@POST@/spreadb,536
0,us-west-1,frontend,frontend@GET@/start,563
0,us-west-1,d,d@POST@/spreadd,414
0,us-west-1,a,a@POST@/spreada,218
0,us-west-1,c,c@POST@/spreadc,472
0,us-west-1,b,b@POST@/spreadb,565
0,us-west-1,frontend,frontend@GET@/start,554
0,us-west-1,d,d@POST@/spreadd,597
0,us-west-1,a,a@POST@/spreada,286
0,us-west-1,c,c@POST@/spreadc,621
0,us-west-1,b,b@POST@/spreadb,511
0,us-west-1,frontend,frontend@GET@/start,493
0,us-west-1,d,d@POST@/spreadd,500
0,us-west-1,a,a@POST@/spreada,321
0,us-west-1,c,c@POST@/spreadc,487
0,us-west-1,b,b@POST@/spreadb,547
0,us-west-1,frontend,frontend@GET@/start,588
0,us-west-1,d,d@POST@/spreadd,511
0,us-west-1,a,a@POST@/spreada,425
0,us-west-1,c,c@POST@/spreadc,586
0,us-west-1,b,b@POST@/spreadb,466
0,us-west-1,frontend,frontend@GET@/start,488
0,us-west-1,d,d@POST@/spreadd,492
0,us-west-1,a,a@POST@/spreada,205
0,us-west-1,c,c@POST@/spreadc,324
0,us-west-1,b,b@POST@/spreadb,553
0,us-west-1,frontend,frontend@GET@/start,582
0,us-west-1,d,d@POST@/spreadd,592
0,us-west-1,a,a@POST@/spreada,403
0,us-west-1,c,c@POST@/spreadc,623
0,us-west-1,b,b@POST@/spreadb,543
0,us-west-1,frontend,frontend@GET@/start,447
0,us-west-1,d,d@POST@/spreadd,477
0,us-west-1,a,a@POST@/spreada,243
0,us-west-1,c,c@POST@/spreadc,532
0,us-west-1,b,b@POST@/spreadb,336
0,us-west-1,frontend,frontend@GET@/start,576
0,us-west-1,d,d@POST@/spreadd,597
0,us-west-1,a,a@POST@/spreada,332
0,us-west-1,c,c@POST@/spreadc,326
