,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,2,frontend,a,us-east-1,us-east-1,104,104,1.0
1,2,frontend,a,us-west-1,us-west-1,310,405,0.7654320987654321
2,2,frontend,a,us-west-1,us-east-1,95,405,0.2345679012345679
3,2,b,c,us-east-1,us-east-1,-1,-1,1.0
4,2,c,d,us-east-1,us-east-1,-1,-1,1.0
5,2,a,b,us-east-1,us-east-1,-1,-1,1.0
6,2,b,c,us-west-1,us-west-1,-1,-1,1.0
7,2,c,d,us-west-1,us-west-1,-1,-1,1.0
8,2,a,b,us-west-1,us-west-1,-1,-1,1.0
0,3,frontend,a,us-east-1,us-east-1,102,102,1.0
1,3,frontend,a,us-west-1,us-west-1,310,315,0.9841269841269841
2,3,frontend,a,us-west-1,us-east-1,5,315,0.015873015873015872
3,3,b,c,us-east-1,us-east-1,-1,-1,1.0
4,3,c,d,us-east-1,us-east-1,-1,-1,1.0
5,3,a,b,us-east-1,us-east-1,-1,-1,1.0
6,3,b,c,us-west-1,us-west-1,-1,-1,1.0
7,3,c,d,us-west-1,us-west-1,-1,-1,1.0
8,3,a,b,us-west-1,us-west-1,-1,-1,1.0
0,4,frontend,a,us-east-1,us-east-1,106,106,1.0
1,4,frontend,a,us-west-1,us-west-1,446,701,0.6362339514978602
2,4,frontend,a,us-west-1,us-east-1,255,701,0.3637660485021398
3,4,b,c,us-east-1,us-east-1,-1,-1,1.0
4,4,c,d,us-east-1,us-east-1,-1,-1,1.0
5,4,a,b,us-east-1,us-east-1,-1,-1,1.0
6,4,b,c,us-west-1,us-west-1,-1,-1,1.0
7,4,c,d,us-west-1,us-west-1,-1,-1,1.0
8,4,a,b,us-west-1,us-west-1,-1,-1,1.0
0,7,frontend,a,us-east-1,us-east-1,104,104,1.0
1,7,frontend,a,us-west-1,us-west-1,310,508,0.610236220472441
2,7,frontend,a,us-west-1,us-east-1,198,508,0.38976377952755903
3,7,b,c,us-east-1,us-east-1,-1,-1,1.0
4,7,c,d,us-east-1,us-east-1,-1,-1,1.0
5,7,a,b,us-east-1,us-east-1,-1,-1,1.0
6,7,b,c,us-west-1,us-west-1,-1,-1,1.0
7,7,c,d,us-west-1,us-west-1,-1,-1,1.0
8,7,a,b,us-west-1,us-west-1,-1,-1,1.0
0,8,frontend,a,us-east-1,us-east-1,88,88,1.0
1,8,frontend,a,us-west-1,us-west-1,310,456,0.6798245614035088
2,8,frontend,a,us-west-1,us-east-1,146,456,0.3201754385964912
3,8,b,c,us-east-1,us-east-1,-1,-1,1.0
4,8,c,d,us-east-1,us-east-1,-1,-1,1.0
5,8,a,b,us-east-1,us-east-1,-1,-1,1.0
6,8,b,c,us-west-1,us-west-1,-1,-1,1.0
7,8,c,d,us-west-1,us-west-1,-1,-1,1.0
8,8,a,b,us-west-1,us-west-1,-1,-1,1.0
0,10,frontend,a,us-east-1,us-east-1,82,82,1.0
1,10,frontend,a,us-west-1,us-west-1,310,500,0.62
2,10,frontend,a,us-west-1,us-east-1,190,500,0.38
3,10,b,c,us-east-1,us-east-1,-1,-1,1.0
4,10,c,d,us-east-1,us-east-1,-1,-1,1.0
5,10,a,b,us-east-1,us-east-1,-1,-1,1.0
6,10,b,c,us-west-1,us-west-1,-1,-1,1.0
7,10,c,d,us-west-1,us-west-1,-1,-1,1.0
8,10,a,b,us-west-1,us-west-1,-1,-1,1.0
0,12,frontend,a,us-east-1,us-east-1,99,99,1.0
1,12,frontend,a,us-west-1,us-west-1,310,447,0.6935123042505593
2,12,frontend,a,us-west-1,us-east-1,137,447,0.30648769574944074
3,12,b,c,us-east-1,us-east-1,-1,-1,1.0
4,12,c,d,us-east-1,us-east-1,-1,-1,1.0
5,12,a,b,us-east-1,us-east-1,-1,-1,1.0
6,12,b,c,us-west-1,us-west-1,-1,-1,1.0
7,12,c,d,us-west-1,us-west-1,-1,-1,1.0
8,12,a,b,us-west-1,us-west-1,-1,-1,1.0
0,13,frontend,a,us-east-1,us-east-1,108,108,1.0
1,13,frontend,a,us-west-1,us-west-1,310,477,0.649895178197065
2,13,frontend,a,us-west-1,us-east-1,167,477,0.350104821802935
3,13,b,c,us-east-1,us-east-1,-1,-1,1.0
4,13,c,d,us-east-1,us-east-1,-1,-1,1.0
5,13,a,b,us-east-1,us-east-1,-1,-1,1.0
6,13,b,c,us-west-1,us-west-1,-1,-1,1.0
7,13,c,d,us-west-1,us-west-1,-1,-1,1.0
8,13,a,b,us-west-1,us-west-1,-1,-1,1.0
