,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-east-1,us-east-1,81,81,1.0
1,1,b,c,us-west-1,us-west-1,205,205,1.0
2,1,frontend,a,us-west-1,us-east-1,81,286,0.28321678321678323
3,1,frontend,a,us-west-1,us-west-1,205,286,0.7167832167832168
4,1,c,d,us-east-1,us-east-1,81,81,1.0
5,1,c,d,us-west-1,us-west-1,205,205,1.0
6,1,a,b,us-east-1,us-east-1,81,81,1.0
7,1,a,b,us-west-1,us-west-1,205,205,1.0
8,1,SOURCE,frontend,XXXX,us-west-1,285,285,1.0
0,2,b,c,us-east-1,us-east-1,172,172,1.0
1,2,b,c,us-west-1,us-west-1,226,226,1.0
2,2,frontend,a,us-east-1,us-east-1,112,112,1.0
3,2,frontend,a,us-west-1,us-east-1,60,286,0.2097902097902098
4,2,frontend,a,us-west-1,us-west-1,226,286,0.7902097902097902
5,2,c,d,us-east-1,us-east-1,172,172,1.0
6,2,c,d,us-west-1,us-west-1,226,226,1.0
7,2,a,b,us-east-1,us-east-1,172,172,1.0
8,2,a,b,us-west-1,us-west-1,226,226,1.0
9,2,SOURCE,frontend,XXXX,us-east-1,112,397,0.28211586901763225
10,2,SOURCE,frontend,XXXX,us-west-1,285,397,0.7178841309823678
0,3,b,c,us-east-1,us-east-1,250,250,1.0
1,3,b,c,us-west-1,us-west-1,274,274,1.0
2,3,frontend,a,us-east-1,us-east-1,104,104,1.0
3,3,frontend,a,us-west-1,us-east-1,146,420,0.3476190476190476
4,3,frontend,a,us-west-1,us-west-1,274,420,0.6523809523809524
5,3,c,d,us-east-1,us-east-1,250,250,1.0
6,3,c,d,us-west-1,us-west-1,274,274,1.0
7,3,a,b,us-east-1,us-east-1,250,250,1.0
8,3,a,b,us-west-1,us-west-1,274,274,1.0
9,3,SOURCE,frontend,XXXX,us-east-1,104,523,0.1988527724665392
10,3,SOURCE,frontend,XXXX,us-west-1,419,523,0.8011472275334608
0,4,b,c,us-east-1,us-east-1,328,328,1.0
1,4,b,c,us-west-1,us-west-1,340,340,1.0
2,4,frontend,a,us-east-1,us-east-1,101,101,1.0
3,4,frontend,a,us-west-1,us-east-1,227,567,0.400352733686067
4,4,frontend,a,us-west-1,us-west-1,340,567,0.599647266313933
5,4,c,d,us-east-1,us-east-1,328,328,1.0
6,4,c,d,us-west-1,us-west-1,340,340,1.0
7,4,a,b,us-east-1,us-east-1,328,328,1.0
8,4,a,b,us-west-1,us-west-1,340,340,1.0
9,4,SOURCE,frontend,XXXX,us-east-1,101,667,0.15142428785607195
10,4,SOURCE,frontend,XXXX,us-west-1,566,667,0.848575712143928
0,5,b,c,us-east-1,us-east-1,224,224,1.0
1,5,b,c,us-west-1,us-west-1,255,255,1.0
2,5,frontend,a,us-east-1,us-east-1,108,108,1.0
3,5,frontend,a,us-west-1,us-east-1,116,371,0.31266846361185985
4,5,frontend,a,us-west-1,us-west-1,255,371,0.6873315363881402
5,5,c,d,us-east-1,us-east-1,224,224,1.0
6,5,c,d,us-west-1,us-west-1,255,255,1.0
7,5,a,b,us-east-1,us-east-1,224,224,1.0
8,5,a,b,us-west-1,us-west-1,255,255,1.0
9,5,SOURCE,frontend,XXXX,us-east-1,108,478,0.22594142259414227
10,5,SOURCE,frontend,XXXX,us-west-1,370,478,0.7740585774058577
0,6,b,c,us-east-1,us-east-1,233,233,1.0
1,6,b,c,us-west-1,us-west-1,262,262,1.0
2,6,frontend,a,us-east-1,us-east-1,126,126,1.0
3,6,frontend,a,us-west-1,us-east-1,107,369,0.2899728997289973
4,6,frontend,a,us-west-1,us-west-1,262,369,0.7100271002710027
5,6,c,d,us-east-1,us-east-1,233,233,1.0
6,6,c,d,us-west-1,us-west-1,262,262,1.0
7,6,a,b,us-east-1,us-east-1,233,233,1.0
8,6,a,b,us-west-1,us-west-1,262,262,1.0
9,6,SOURCE,frontend,XXXX,us-east-1,126,494,0.2550607287449393
10,6,SOURCE,frontend,XXXX,us-west-1,368,494,0.7449392712550608
0,7,b,c,us-east-1,us-east-1,242,242,1.0
1,7,b,c,us-west-1,us-west-1,268,268,1.0
2,7,frontend,a,us-east-1,us-east-1,95,95,1.0
3,7,frontend,a,us-west-1,us-east-1,147,415,0.3542168674698795
4,7,frontend,a,us-west-1,us-west-1,268,415,0.6457831325301204
5,7,c,d,us-east-1,us-east-1,242,242,1.0
6,7,c,d,us-west-1,us-west-1,268,268,1.0
7,7,a,b,us-east-1,us-east-1,242,242,1.0
8,7,a,b,us-west-1,us-west-1,268,268,1.0
9,7,SOURCE,frontend,XXXX,us-east-1,95,509,0.18664047151277013
10,7,SOURCE,frontend,XXXX,us-west-1,414,509,0.8133595284872298
0,8,b,c,us-east-1,us-east-1,241,241,1.0
1,8,b,c,us-west-1,us-west-1,268,268,1.0
2,8,frontend,a,us-east-1,us-east-1,99,99,1.0
3,8,frontend,a,us-west-1,us-east-1,142,410,0.3463414634146341
4,8,frontend,a,us-west-1,us-west-1,268,410,0.6536585365853659
5,8,c,d,us-east-1,us-east-1,241,241,1.0
6,8,c,d,us-west-1,us-west-1,268,268,1.0
7,8,a,b,us-east-1,us-east-1,241,241,1.0
8,8,a,b,us-west-1,us-west-1,268,268,1.0
9,8,SOURCE,frontend,XXXX,us-east-1,99,508,0.19488188976377951
10,8,SOURCE,frontend,XXXX,us-west-1,409,508,0.8051181102362205
0,9,b,c,us-east-1,us-east-1,230,230,1.0
1,9,b,c,us-west-1,us-west-1,259,259,1.0
2,9,frontend,a,us-east-1,us-east-1,94,94,1.0
3,9,frontend,a,us-west-1,us-east-1,136,395,0.34430379746835443
4,9,frontend,a,us-west-1,us-west-1,259,395,0.6556962025316456
5,9,c,d,us-east-1,us-east-1,230,230,1.0
6,9,c,d,us-west-1,us-west-1,259,259,1.0
7,9,a,b,us-east-1,us-east-1,230,230,1.0
8,9,a,b,us-west-1,us-west-1,259,259,1.0
9,9,SOURCE,frontend,XXXX,us-east-1,94,488,0.19262295081967212
10,9,SOURCE,frontend,XXXX,us-west-1,394,488,0.8073770491803278
0,10,b,c,us-east-1,us-east-1,212,212,1.0
1,10,b,c,us-west-1,us-west-1,247,247,1.0
2,10,frontend,a,us-east-1,us-east-1,89,89,1.0
3,10,frontend,a,us-west-1,us-east-1,123,370,0.3324324324324324
4,10,frontend,a,us-west-1,us-west-1,247,370,0.6675675675675675
5,10,c,d,us-east-1,us-east-1,212,212,1.0
6,10,c,d,us-west-1,us-west-1,247,247,1.0
7,10,a,b,us-east-1,us-east-1,212,212,1.0
8,10,a,b,us-west-1,us-west-1,247,247,1.0
9,10,SOURCE,frontend,XXXX,us-east-1,89,458,0.1943231441048035
10,10,SOURCE,frontend,XXXX,us-west-1,369,458,0.8056768558951966
0,11,b,c,us-east-1,us-east-1,246,246,1.0
1,11,b,c,us-west-1,us-west-1,271,271,1.0
2,11,frontend,a,us-east-1,us-east-1,105,105,1.0
3,11,frontend,a,us-west-1,us-east-1,141,412,0.3422330097087379
4,11,frontend,a,us-west-1,us-west-1,271,412,0.6577669902912622
5,11,c,d,us-east-1,us-east-1,246,246,1.0
6,11,c,d,us-west-1,us-west-1,271,271,1.0
7,11,a,b,us-east-1,us-east-1,246,246,1.0
8,11,a,b,us-west-1,us-west-1,271,271,1.0
9,11,SOURCE,frontend,XXXX,us-east-1,105,516,0.20348837209302326
10,11,SOURCE,frontend,XXXX,us-west-1,411,516,0.7965116279069767
0,12,b,c,us-east-1,us-east-1,239,239,1.0
1,12,b,c,us-west-1,us-west-1,266,266,1.0
2,12,frontend,a,us-east-1,us-east-1,96,96,1.0
3,12,frontend,a,us-west-1,us-east-1,143,409,0.34963325183374083
4,12,frontend,a,us-west-1,us-west-1,266,409,0.6503667481662592
5,12,c,d,us-east-1,us-east-1,239,239,1.0
6,12,c,d,us-west-1,us-west-1,266,266,1.0
7,12,a,b,us-east-1,us-east-1,239,239,1.0
8,12,a,b,us-west-1,us-west-1,266,266,1.0
9,12,SOURCE,frontend,XXXX,us-east-1,96,504,0.19047619047619047
10,12,SOURCE,frontend,XXXX,us-west-1,408,504,0.8095238095238095
0,13,b,c,us-east-1,us-east-1,247,247,1.0
1,13,b,c,us-west-1,us-west-1,271,271,1.0
2,13,frontend,a,us-east-1,us-east-1,110,110,1.0
3,13,frontend,a,us-west-1,us-east-1,137,408,0.33578431372549017
4,13,frontend,a,us-west-1,us-west-1,271,408,0.6642156862745098
5,13,c,d,us-east-1,us-east-1,247,247,1.0
6,13,c,d,us-west-1,us-west-1,271,271,1.0
7,13,a,b,us-east-1,us-east-1,247,247,1.0
8,13,a,b,us-west-1,us-west-1,271,271,1.0
9,13,SOURCE,frontend,XXXX,us-east-1,110,517,0.2127659574468085
10,13,SOURCE,frontend,XXXX,us-west-1,407,517,0.7872340425531915
0,14,b,c,us-east-1,us-east-1,238,238,1.0
1,14,b,c,us-west-1,us-west-1,265,265,1.0
2,14,frontend,a,us-east-1,us-east-1,85,85,1.0
3,14,frontend,a,us-west-1,us-east-1,153,418,0.3660287081339713
4,14,frontend,a,us-west-1,us-west-1,265,418,0.6339712918660287
5,14,c,d,us-east-1,us-east-1,238,238,1.0
6,14,c,d,us-west-1,us-west-1,265,265,1.0
7,14,a,b,us-east-1,us-east-1,238,238,1.0
8,14,a,b,us-west-1,us-west-1,265,265,1.0
9,14,SOURCE,frontend,XXXX,us-east-1,85,502,0.1693227091633466
10,14,SOURCE,frontend,XXXX,us-west-1,417,502,0.8306772908366534
0,15,b,c,us-east-1,us-east-1,218,218,1.0
1,15,b,c,us-west-1,us-west-1,252,252,1.0
2,15,frontend,a,us-east-1,us-east-1,92,92,1.0
3,15,frontend,a,us-west-1,us-east-1,126,378,0.3333333333333333
4,15,frontend,a,us-west-1,us-west-1,252,378,0.6666666666666666
5,15,c,d,us-east-1,us-east-1,218,218,1.0
6,15,c,d,us-west-1,us-west-1,252,252,1.0
7,15,a,b,us-east-1,us-east-1,218,218,1.0
8,15,a,b,us-west-1,us-west-1,252,252,1.0
9,15,SOURCE,frontend,XXXX,us-east-1,92,469,0.19616204690831557
10,15,SOURCE,frontend,XXXX,us-west-1,377,469,0.8038379530916845
0,16,b,c,us-east-1,us-east-1,222,222,1.0
1,16,b,c,us-west-1,us-west-1,254,254,1.0
2,16,frontend,a,us-east-1,us-east-1,99,99,1.0
3,16,frontend,a,us-west-1,us-east-1,123,377,0.32625994694960214
4,16,frontend,a,us-west-1,us-west-1,254,377,0.6737400530503979
5,16,c,d,us-east-1,us-east-1,222,222,1.0
6,16,c,d,us-west-1,us-west-1,254,254,1.0
7,16,a,b,us-east-1,us-east-1,222,222,1.0
8,16,a,b,us-west-1,us-west-1,254,254,1.0
9,16,SOURCE,frontend,XXXX,us-east-1,99,475,0.20842105263157895
10,16,SOURCE,frontend,XXXX,us-west-1,376,475,0.791578947368421
0,17,b,c,us-east-1,us-east-1,221,221,1.0
1,17,b,c,us-west-1,us-west-1,254,254,1.0
2,17,frontend,a,us-east-1,us-east-1,102,102,1.0
3,17,frontend,a,us-west-1,us-east-1,119,373,0.3190348525469169
4,17,frontend,a,us-west-1,us-west-1,254,373,0.6809651474530831
5,17,c,d,us-east-1,us-east-1,221,221,1.0
6,17,c,d,us-west-1,us-west-1,254,254,1.0
