,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-west-1,us-west-1,160,161,0.9937888198757764
1,1,b,c,us-west-1,us-east-1,1,161,0.006211180124223602
2,1,b,c,us-east-1,us-west-1,1,2,0.5
3,1,b,c,us-east-1,us-east-1,1,2,0.5
4,1,frontend,a,us-west-1,us-west-1,160,161,0.9937888198757764
5,1,frontend,a,us-west-1,us-east-1,1,161,0.006211180124223602
6,1,c,d,us-west-1,us-west-1,160,161,0.9937888198757764
7,1,c,d,us-west-1,us-east-1,1,161,0.006211180124223602
8,1,c,d,us-east-1,us-west-1,1,2,0.5
9,1,c,d,us-east-1,us-east-1,1,2,0.5
10,1,a,b,us-west-1,us-west-1,160,161,0.9937888198757764
11,1,a,b,us-west-1,us-east-1,1,161,0.006211180124223602
12,1,a,b,us-east-1,us-west-1,1,2,0.5
13,1,a,b,us-east-1,us-east-1,1,2,0.5
14,1,SOURCE,frontend,XXXX,us-west-1,160,160,1.0
0,2,b,c,us-west-1,us-west-1,212,212,1.0
1,2,b,c,us-east-1,us-east-1,130,130,1.0
2,2,frontend,a,us-west-1,us-west-1,212,281,0.7544483985765125
3,2,frontend,a,us-west-1,us-east-1,69,281,0.24555160142348753
4,2,frontend,a,us-east-1,us-east-1,61,61,1.0
5,2,c,d,us-west-1,us-west-1,212,212,1.0
6,2,c,d,us-east-1,us-east-1,130,130,1.0
7,2,a,b,us-west-1,us-west-1,212,212,1.0
8,2,a,b,us-east-1,us-east-1,130,130,1.0
9,2,SOURCE,frontend,XXXX,us-west-1,280,341,0.8211143695014663
10,2,SOURCE,frontend,XXXX,us-east-1,61,341,0.17888563049853373
0,3,b,c,us-west-1,us-west-1,260,260,1.0
1,3,b,c,us-east-1,us-east-1,230,230,1.0
2,3,frontend,a,us-west-1,us-west-1,260,383,0.6788511749347258
3,3,frontend,a,us-west-1,us-east-1,123,383,0.32114882506527415
4,3,frontend,a,us-east-1,us-east-1,107,107,1.0
5,3,c,d,us-west-1,us-west-1,260,260,1.0
6,3,c,d,us-east-1,us-east-1,230,230,1.0
7,3,a,b,us-west-1,us-west-1,260,260,1.0
8,3,a,b,us-east-1,us-east-1,230,230,1.0
9,3,SOURCE,frontend,XXXX,us-west-1,382,489,0.7811860940695297
10,3,SOURCE,frontend,XXXX,us-east-1,107,489,0.21881390593047034
0,4,b,c,us-west-1,us-west-1,256,256,1.0
1,4,b,c,us-east-1,us-east-1,225,225,1.0
2,4,frontend,a,us-west-1,us-west-1,256,377,0.6790450928381963
3,4,frontend,a,us-west-1,us-east-1,121,377,0.3209549071618037
4,4,frontend,a,us-east-1,us-east-1,104,104,1.0
5,4,c,d,us-west-1,us-west-1,256,256,1.0
6,4,c,d,us-east-1,us-east-1,225,225,1.0
7,4,a,b,us-west-1,us-west-1,256,256,1.0
8,4,a,b,us-east-1,us-east-1,225,225,1.0
9,4,SOURCE,frontend,XXXX,us-west-1,376,480,0.7833333333333333
10,4,SOURCE,frontend,XXXX,us-east-1,104,480,0.21666666666666667
0,5,b,c,us-west-1,us-west-1,223,223,1.0
1,5,b,c,us-east-1,us-east-1,164,164,1.0
2,5,frontend,a,us-west-1,us-west-1,223,283,0.7879858657243817
3,5,frontend,a,us-west-1,us-east-1,60,283,0.21201413427561838
4,5,frontend,a,us-east-1,us-east-1,104,104,1.0
5,5,c,d,us-west-1,us-west-1,223,223,1.0
6,5,c,d,us-east-1,us-east-1,164,164,1.0
7,5,a,b,us-west-1,us-west-1,223,223,1.0
8,5,a,b,us-east-1,us-east-1,164,164,1.0
9,5,SOURCE,frontend,XXXX,us-west-1,282,386,0.7305699481865285
