counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,10
0,us-west-1,c,c@POST@/spreadc,5
0,us-west-1,b,b@POST@/spreadb,4
0,us-west-1,frontend,frontend@GET@/start,218
0,us-west-1,a,a@POST@/spreada,107
0,us-west-1,d,d@POST@/spreadd,25
0,us-west-1,c,c@POST@/spreadc,32
0,us-west-1,b,b@POST@/spreadb,38
0,us-west-1,frontend,frontend@GET@/start,24
0,us-west-1,a,a@POST@/spreada,35
0,us-west-1,d,d@POST@/spreadd,47
0,us-west-1,c,c@POST@/spreadc,137
0,us-west-1,b,b@POST@/spreadb,181
0,us-west-1,frontend,frontend@GET@/start,64
0,us-west-1,a,a@POST@/spreada,19
0,us-west-1,d,d@POST@/spreadd,169
0,us-west-1,c,c@POST@/spreadc,200
0,us-west-1,b,b@POST@/spreadb,104
0,us-west-1,frontend,frontend@GET@/start,840
0,us-west-1,a,a@POST@/spreada,593
0,us-west-1,d,d@POST@/spreadd,953
0,us-west-1,c,c@POST@/spreadc,676
0,us-west-1,b,b@POST@/spreadb,342
0,us-west-1,frontend,frontend@GET@/start,557
0,us-west-1,a,a@POST@/spreada,226
0,us-west-1,d,d@POST@/spreadd,606
0,us-west-1,c,c@POST@/spreadc,153
0,us-west-1,b,b@POST@/spreadb,270
0,us-west-1,frontend,frontend@GET@/start,300
0,us-west-1,a,a@POST@/spreada,213
0,us-west-1,d,d@POST@/spreadd,300
0,us-west-1,c,c@POST@/spreadc,230
0,us-west-1,b,b@POST@/spreadb,86
0,us-west-1,frontend,frontend@GET@/start,300
0,us-west-1,a,a@POST@/spreada,159
0,us-west-1,d,d@POST@/spreadd,300
0,us-west-1,c,c@POST@/spreadc,99
0,us-west-1,b,b@POST@/spreadb,270
0,us-west-1,frontend,frontend@GET@/start,300
0,us-west-1,a,a@POST@/spreada,207
0,us-west-1,d,d@POST@/spreadd,300
0,us-west-1,c,c@POST@/spreadc,235
0,us-west-1,b,b@POST@/spreadb,78
0,us-west-1,frontend,frontend@GET@/start,300
0,us-west-1,a,a@POST@/spreada,195
0,us-west-1,d,d@POST@/spreadd,300
