counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,21
0,us-west-1,frontend,frontend@GET@/start,67
0,us-west-1,b,b@POST@/spreadb,66
0,us-west-1,c,c@POST@/spreadc,95
0,us-west-1,d,d@POST@/spreadd,101
0,us-west-1,a,a@POST@/spreada,113
0,us-west-1,frontend,frontend@GET@/start,104
0,us-west-1,b,b@POST@/spreadb,105
0,us-west-1,c,c@POST@/spreadc,104
0,us-west-1,d,d@POST@/spreadd,103
0,us-west-1,a,a@POST@/spreada,104
0,us-west-1,frontend,frontend@GET@/start,105
0,us-west-1,b,b@POST@/spreadb,105
0,us-west-1,c,c@POST@/spreadc,107
0,us-west-1,d,d@POST@/spreadd,108
0,us-west-1,a,a@POST@/spreada,98
0,us-west-1,frontend,frontend@GET@/start,104
0,us-west-1,b,b@POST@/spreadb,102
0,us-west-1,c,c@POST@/spreadc,96
0,us-west-1,d,d@POST@/spreadd,95
0,us-west-1,a,a@POST@/spreada,110
0,us-west-1,frontend,frontend@GET@/start,120
0,us-west-1,b,b@POST@/spreadb,121
0,us-west-1,c,c@POST@/spreadc,132
0,us-west-1,d,d@POST@/spreadd,133
0,us-west-1,a,a@POST@/spreada,123
0,us-west-1,frontend,frontend@GET@/start,112
0,us-west-1,b,b@POST@/spreadb,113
0,us-west-1,c,c@POST@/spreadc,107
0,us-west-1,d,d@POST@/spreadd,102
0,us-west-1,a,a@POST@/spreada,91
0,us-west-1,frontend,frontend@GET@/start,91
0,us-west-1,b,b@POST@/spreadb,91
0,us-west-1,c,c@POST@/spreadc,90
0,us-west-1,d,d@POST@/spreadd,90
0,us-west-1,a,a@POST@/spreada,96
0,us-west-1,frontend,frontend@GET@/start,101
0,us-west-1,b,b@POST@/spreadb,101
0,us-west-1,c,c@POST@/spreadc,97
0,us-west-1,d,d@POST@/spreadd,99
0,us-west-1,a,a@POST@/spreada,100
0,us-west-1,frontend,frontend@GET@/start,86
0,us-west-1,b,b@POST@/spreadb,86
0,us-west-1,c,c@POST@/spreadc,84
0,us-west-1,d,d@POST@/spreadd,83
0,us-west-1,a,a@POST@/spreada,92
0,us-west-1,frontend,frontend@GET@/start,105
0,us-west-1,b,b@POST@/spreadb,103
0,us-west-1,c,c@POST@/spreadc,108
0,us-west-1,d,d@POST@/spreadd,109
0,us-west-1,a,a@POST@/spreada,110
0,us-west-1,frontend,frontend@GET@/start,100
0,us-west-1,b,b@POST@/spreadb,102
0,us-west-1,c,c@POST@/spreadc,100
0,us-west-1,d,d@POST@/spreadd,98
0,us-west-1,a,a@POST@/spreada,90
0,us-west-1,frontend,frontend@GET@/start,104
0,us-west-1,b,b@POST@/spreadb,104
0,us-west-1,c,c@POST@/spreadc,102
0,us-west-1,d,d@POST@/spreadd,105
0,us-west-1,a,a@POST@/spreada,106
0,us-west-1,frontend,frontend@GET@/start,91
0,us-west-1,b,b@POST@/spreadb,89
0,us-west-1,c,c@POST@/spreadc,86
0,us-west-1,d,d@POST@/spreadd,85
0,us-west-1,a,a@POST@/spreada,88
0,us-west-1,frontend,frontend@GET@/start,87
0,us-west-1,b,b@POST@/spreadb,88
0,us-west-1,c,c@POST@/spreadc,95
0,us-west-1,d,d@POST@/spreadd,96
0,us-west-1,a,a@POST@/spreada,92
0,us-west-1,frontend,frontend@GET@/start,102
0,us-west-1,b,b@POST@/spreadb,103
0,us-west-1,c,c@POST@/spreadc,106
0,us-west-1,d,d@POST@/spreadd,103
0,us-west-1,a,a@POST@/spreada,101
0,us-west-1,frontend,frontend@GET@/start,107
0,us-west-1,b,b@POST@/spreadb,107
0,us-west-1,c,c@POST@/spreadc,100
0,us-west-1,d,d@POST@/spreadd,101
0,us-west-1,a,a@POST@/spreada,101
0,us-west-1,frontend,frontend@GET@/start,84
0,us-west-1,b,b@POST@/spreadb,84
0,us-west-1,c,c@POST@/spreadc,96
0,us-west-1,d,d@POST@/spreadd,96
0,us-west-1,a,a@POST@/spreada,91
0,us-west-1,frontend,frontend@GET@/start,110
0,us-west-1,b,b@POST@/spreadb,109
0,us-west-1,c,c@POST@/spreadc,97
0,us-west-1,d,d@POST@/spreadd,98
0,us-west-1,a,a@POST@/spreada,107
0,us-west-1,frontend,frontend@GET@/start,96
0,us-west-1,b,b@POST@/spreadb,97
0,us-west-1,c,c@POST@/spreadc,100
0,us-west-1,d,d@POST@/spreadd,101
0,us-west-1,a,a@POST@/spreada,95
0,us-west-1,frontend,frontend@GET@/start,86
0,us-west-1,b,b@POST@/spreadb,86
0,us-west-1,c,c@POST@/spreadc,85
0,us-west-1,d,d@POST@/spreadd,84
0,us-west-1,a,a@POST@/spreada,86
0,us-west-1,frontend,frontend@GET@/start,94
0,us-west-1,b,b@POST@/spreadb,94
0,us-west-1,c,c@POST@/spreadc,92
0,us-west-1,d,d@POST@/spreadd,90
0,us-west-1,a,a@POST@/spreada,92
0,us-west-1,frontend,frontend@GET@/start,99
