,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-west-1,us-west-1,199,311,0.639871382636656
1,1,frontend,a,us-west-1,us-east-1,1,311,0.003215434083601286
2,1,frontend,a,us-west-1,us-central-1,111,311,0.35691318327974275
3,1,SOURCE,frontend,XXXX,us-west-1,309,309,1.0
0,2,frontend,a,us-west-1,us-west-1,199,311,0.639871382636656
1,2,frontend,a,us-west-1,us-east-1,1,311,0.003215434083601286
2,2,frontend,a,us-west-1,us-central-1,111,311,0.35691318327974275
3,2,frontend,a,us-south-1,us-east-1,1,180,0.005555555555555556
4,2,frontend,a,us-south-1,us-central-1,1,180,0.005555555555555556
5,2,frontend,a,us-south-1,us-south-1,178,180,0.9888888888888889
6,2,SOURCE,frontend,XXXX,us-west-1,309,487,0.6344969199178645
7,2,SOURCE,frontend,XXXX,us-south-1,178,487,0.3655030800821355
0,3,frontend,a,us-west-1,us-west-1,207,320,0.646875
1,3,frontend,a,us-west-1,us-central-1,113,320,0.353125
2,3,frontend,a,us-central-1,us-central-1,29,29,1.0
3,3,frontend,a,us-south-1,us-east-1,124,325,0.38153846153846155
4,3,frontend,a,us-south-1,us-south-1,201,325,0.6184615384615385
5,3,SOURCE,frontend,XXXX,us-west-1,319,672,0.47470238095238093
6,3,SOURCE,frontend,XXXX,us-central-1,29,672,0.043154761904761904
7,3,SOURCE,frontend,XXXX,us-south-1,324,672,0.48214285714285715
0,4,frontend,a,us-west-1,us-west-1,211,310,0.6806451612903226
1,4,frontend,a,us-west-1,us-central-1,99,310,0.3193548387096774
2,4,frontend,a,us-east-1,us-east-1,22,22,1.0
3,4,frontend,a,us-central-1,us-central-1,56,56,1.0
4,4,frontend,a,us-south-1,us-east-1,116,321,0.3613707165109034
5,4,frontend,a,us-south-1,us-south-1,205,321,0.6386292834890965
6,4,SOURCE,frontend,XXXX,us-west-1,309,707,0.43705799151343705
7,4,SOURCE,frontend,XXXX,us-east-1,22,707,0.031117397454031116
8,4,SOURCE,frontend,XXXX,us-central-1,56,707,0.07920792079207921
9,4,SOURCE,frontend,XXXX,us-south-1,320,707,0.4526166902404526
0,5,frontend,a,us-west-1,us-west-1,202,271,0.7453874538745388
1,5,frontend,a,us-west-1,us-central-1,69,271,0.25461254612546125
2,5,frontend,a,us-east-1,us-east-1,58,58,1.0
3,5,frontend,a,us-central-1,us-central-1,57,57,1.0
4,5,frontend,a,us-south-1,us-east-1,84,290,0.2896551724137931
5,5,frontend,a,us-south-1,us-south-1,206,290,0.7103448275862069
