,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,5,frontend,a,us-east-1,us-east-1,59,59,1.0
1,5,frontend,a,us-south-1,us-south-1,217,317,0.6845425867507886
2,5,frontend,a,us-south-1,us-central-1,100,317,0.31545741324921134
3,5,frontend,a,us-west-1,us-west-1,200,301,0.6644518272425249
4,5,frontend,a,us-west-1,us-east-1,101,301,0.33554817275747506
5,5,frontend,a,us-central-1,us-central-1,55,55,1.0
0,6,frontend,a,us-east-1,us-east-1,53,53,1.0
1,6,frontend,a,us-south-1,us-south-1,200,290,0.6896551724137931
2,6,frontend,a,us-south-1,us-central-1,90,290,0.3103448275862069
3,6,frontend,a,us-west-1,us-west-1,200,308,0.6493506493506493
4,6,frontend,a,us-west-1,us-east-1,108,308,0.35064935064935066
5,6,frontend,a,us-central-1,us-central-1,50,50,1.0
0,7,frontend,a,us-east-1,us-east-1,56,56,1.0
1,7,frontend,a,us-south-1,us-south-1,200,315,0.6349206349206349
2,7,frontend,a,us-south-1,us-central-1,115,315,0.36507936507936506
3,7,frontend,a,us-west-1,us-west-1,200,281,0.7117437722419929
4,7,frontend,a,us-west-1,us-east-1,81,281,0.28825622775800713
5,7,frontend,a,us-central-1,us-central-1,49,49,1.0
0,8,frontend,a,us-east-1,us-east-1,42,42,1.0
1,8,frontend,a,us-south-1,us-south-1,200,279,0.7168458781362007
2,8,frontend,a,us-south-1,us-central-1,79,279,0.2831541218637993
3,8,frontend,a,us-west-1,us-west-1,200,291,0.6872852233676976
4,8,frontend,a,us-west-1,us-east-1,91,291,0.3127147766323024
5,8,frontend,a,us-central-1,us-central-1,58,58,1.0
0,9,frontend,a,us-east-1,us-east-1,65,65,1.0
1,9,frontend,a,us-south-1,us-south-1,200,262,0.7633587786259542
2,9,frontend,a,us-south-1,us-central-1,62,262,0.2366412213740458
3,9,frontend,a,us-west-1,us-west-1,200,324,0.6172839506172839
4,9,frontend,a,us-west-1,us-east-1,124,324,0.38271604938271603
5,9,frontend,a,us-central-1,us-central-1,53,53,1.0
0,10,frontend,a,us-east-1,us-east-1,51,51,1.0
1,10,frontend,a,us-south-1,us-south-1,200,306,0.6535947712418301
2,10,frontend,a,us-south-1,us-central-1,106,306,0.3464052287581699
3,10,frontend,a,us-west-1,us-west-1,200,283,0.7067137809187279
4,10,frontend,a,us-west-1,us-east-1,83,283,0.29328621908127206
5,10,frontend,a,us-central-1,us-central-1,53,53,1.0
0,11,frontend,a,us-east-1,us-east-1,50,50,1.0
1,11,frontend,a,us-south-1,us-south-1,200,315,0.6349206349206349
2,11,frontend,a,us-south-1,us-central-1,115,315,0.36507936507936506
3,11,frontend,a,us-west-1,us-west-1,200,307,0.6514657980456026
4,11,frontend,a,us-west-1,us-east-1,107,307,0.3485342019543974
5,11,frontend,a,us-central-1,us-central-1,41,41,1.0
0,12,frontend,a,us-east-1,us-east-1,45,45,1.0
1,12,frontend,a,us-south-1,us-south-1,200,287,0.6968641114982579
2,12,frontend,a,us-south-1,us-central-1,87,287,0.30313588850174217
3,12,frontend,a,us-west-1,us-west-1,200,290,0.6896551724137931
4,12,frontend,a,us-west-1,us-east-1,90,290,0.3103448275862069
5,12,frontend,a,us-central-1,us-central-1,66,66,1.0
0,13,frontend,a,us-east-1,us-east-1,64,64,1.0
1,13,frontend,a,us-south-1,us-south-1,200,307,0.6514657980456026
2,13,frontend,a,us-south-1,us-central-1,107,307,0.3485342019543974
3,13,frontend,a,us-west-1,us-west-1,200,276,0.7246376811594203
4,13,frontend,a,us-west-1,us-east-1,76,276,0.2753623188405797
5,13,frontend,a,us-central-1,us-central-1,65,65,1.0
0,14,frontend,a,us-east-1,us-east-1,60,60,1.0
