counter,region,service,endpoint, rps
0,us-west-1,d,d@POST@/spreadd,4
0,us-west-1,a,a@POST@/spreada,8
0,us-east-1,frontend,frontend@GET@/start,14
0,us-west-1,c,c@POST@/spreadc,30
0,us-west-1,b,b@POST@/spreadb,16
0,us-west-1,d,d@POST@/spreadd,26
0,us-west-1,frontend,frontend@GET@/start,45
0,us-west-1,a,a@POST@/spreada,31
0,us-east-1,d,d@POST@/spreadd,30
0,us-east-1,frontend,frontend@GET@/start,47
0,us-east-1,a,a@POST@/spreada,29
0,us-east-1,b,b@POST@/spreadb,47
0,us-east-1,c,c@POST@/spreadc,23
0,us-west-1,c,c@POST@/spreadc,46
0,us-west-1,b,b@POST@/spreadb,47
0,us-west-1,d,d@POST@/spreadd,46
0,us-west-1,frontend,frontend@GET@/start,47
0,us-west-1,a,a@POST@/spreada,37
0,us-east-1,d,d@POST@/spreadd,46
0,us-east-1,frontend,frontend@GET@/start,45
0,us-east-1,a,a@POST@/spreada,25
0,us-east-1,b,b@POST@/spreadb,45
0,us-east-1,c,c@POST@/spreadc,25
0,us-west-1,c,c@POST@/spreadc,25
0,us-west-1,b,b@POST@/spreadb,46
0,us-west-1,d,d@POST@/spreadd,25
0,us-west-1,frontend,frontend@GET@/start,46
0,us-west-1,a,a@POST@/spreada,33
0,us-east-1,d,d@POST@/spreadd,45
0,us-east-1,frontend,frontend@GET@/start,48
0,us-east-1,a,a@POST@/spreada,31
0,us-east-1,b,b@POST@/spreadb,47
0,us-east-1,c,c@POST@/spreadc,23
0,us-west-1,c,c@POST@/spreadc,47
0,us-west-1,b,b@POST@/spreadb,48
0,us-west-1,d,d@POST@/spreadd,24
0,us-west-1,frontend,frontend@GET@/start,48
0,us-west-1,a,a@POST@/spreada,38
0,us-east-1,d,d@POST@/spreadd,49
0,us-east-1,frontend,frontend@GET@/start,47
0,us-east-1,a,a@POST@/spreada,26
0,us-east-1,b,b@POST@/spreadb,49
0,us-east-1,c,c@POST@/spreadc,26
0,us-west-1,c,c@POST@/spreadc,25
0,us-west-1,b,b@POST@/spreadb,47
0,us-west-1,d,d@POST@/spreadd,47
0,us-west-1,frontend,frontend@GET@/start,48
0,us-west-1,a,a@POST@/spreada,48
0,us-east-1,d,d@POST@/spreadd,47
0,us-east-1,frontend,frontend@GET@/start,49
0,us-east-1,a,a@POST@/spreada,31
