,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-west-1,us-south-1,100,355,0.28169014084507044
1,1,frontend,a,us-west-1,us-central-1,100,355,0.28169014084507044
2,1,frontend,a,us-west-1,us-west-1,141,355,0.3971830985915493
3,1,frontend,a,us-west-1,us-east-1,14,355,0.03943661971830986
4,1,c,d,us-south-1,us-south-1,100,100,1.0
5,1,c,d,us-central-1,us-central-1,100,100,1.0
6,1,c,d,us-west-1,us-west-1,141,141,1.0
7,1,c,d,us-east-1,us-east-1,14,14,1.0
8,1,a,b,us-south-1,us-south-1,100,100,1.0
9,1,a,b,us-central-1,us-central-1,100,100,1.0
10,1,a,b,us-west-1,us-west-1,141,141,1.0
11,1,a,b,us-east-1,us-east-1,14,14,1.0
12,1,b,c,us-south-1,us-south-1,100,100,1.0
13,1,b,c,us-central-1,us-central-1,100,100,1.0
14,1,b,c,us-west-1,us-west-1,141,141,1.0
15,1,b,c,us-east-1,us-east-1,14,14,1.0
16,1,SOURCE,frontend,XXXX,us-west-1,353,353,1.0
0,2,frontend,a,us-central-1,us-central-1,116,116,1.0
1,2,frontend,a,us-west-1,us-south-1,122,356,0.34269662921348315
2,2,frontend,a,us-west-1,us-central-1,6,356,0.016853932584269662
3,2,frontend,a,us-west-1,us-west-1,157,356,0.4410112359550562
4,2,frontend,a,us-west-1,us-east-1,71,356,0.199438202247191
5,2,c,d,us-south-1,us-south-1,122,122,1.0
6,2,c,d,us-central-1,us-central-1,122,122,1.0
7,2,c,d,us-west-1,us-west-1,157,157,1.0
8,2,c,d,us-east-1,us-east-1,71,71,1.0
9,2,a,b,us-south-1,us-south-1,122,122,1.0
10,2,a,b,us-central-1,us-central-1,122,122,1.0
11,2,a,b,us-west-1,us-west-1,157,157,1.0
12,2,a,b,us-east-1,us-east-1,71,71,1.0
13,2,b,c,us-south-1,us-south-1,122,122,1.0
14,2,b,c,us-central-1,us-central-1,122,122,1.0
15,2,b,c,us-west-1,us-west-1,157,157,1.0
16,2,b,c,us-east-1,us-east-1,71,71,1.0
17,2,SOURCE,frontend,XXXX,us-central-1,116,469,0.24733475479744135
18,2,SOURCE,frontend,XXXX,us-west-1,353,469,0.7526652452025586
0,3,frontend,a,us-central-1,us-central-1,197,197,1.0
1,3,frontend,a,us-west-1,us-south-1,175,376,0.4654255319148936
2,3,frontend,a,us-west-1,us-west-1,201,376,0.5345744680851063
3,3,frontend,a,us-east-1,us-east-1,160,160,1.0
4,3,c,d,us-south-1,us-south-1,175,175,1.0
5,3,c,d,us-central-1,us-central-1,197,197,1.0
6,3,c,d,us-west-1,us-west-1,201,201,1.0
7,3,c,d,us-east-1,us-east-1,161,161,1.0
8,3,a,b,us-south-1,us-south-1,175,175,1.0
9,3,a,b,us-central-1,us-central-1,197,197,1.0
10,3,a,b,us-west-1,us-west-1,201,201,1.0
11,3,a,b,us-east-1,us-east-1,161,161,1.0
12,3,b,c,us-south-1,us-south-1,175,175,1.0
13,3,b,c,us-central-1,us-central-1,197,197,1.0
14,3,b,c,us-west-1,us-west-1,201,201,1.0
15,3,b,c,us-east-1,us-east-1,161,161,1.0
16,3,SOURCE,frontend,XXXX,us-central-1,197,732,0.2691256830601093
17,3,SOURCE,frontend,XXXX,us-west-1,375,732,0.5122950819672131
18,3,SOURCE,frontend,XXXX,us-east-1,160,732,0.2185792349726776
0,4,frontend,a,us-south-1,us-south-1,32,32,1.0
1,4,frontend,a,us-central-1,us-south-1,11,240,0.04583333333333333
2,4,frontend,a,us-central-1,us-central-1,228,240,0.95
3,4,frontend,a,us-central-1,us-east-1,1,240,0.004166666666666667
4,4,frontend,a,us-west-1,us-south-1,163,392,0.41581632653061223
5,4,frontend,a,us-west-1,us-west-1,228,392,0.5816326530612245
6,4,frontend,a,us-west-1,us-east-1,1,392,0.002551020408163265
7,4,frontend,a,us-east-1,us-east-1,179,179,1.0
8,4,c,d,us-south-1,us-south-1,205,205,1.0
9,4,c,d,us-central-1,us-central-1,228,228,1.0
10,4,c,d,us-west-1,us-west-1,228,228,1.0
11,4,c,d,us-east-1,us-east-1,180,180,1.0
12,4,a,b,us-south-1,us-south-1,205,205,1.0
13,4,a,b,us-central-1,us-central-1,228,228,1.0
14,4,a,b,us-west-1,us-west-1,228,228,1.0
15,4,a,b,us-east-1,us-east-1,180,180,1.0
16,4,b,c,us-south-1,us-south-1,205,205,1.0
17,4,b,c,us-central-1,us-central-1,228,228,1.0
18,4,b,c,us-west-1,us-west-1,228,228,1.0
19,4,b,c,us-east-1,us-east-1,180,180,1.0
20,4,SOURCE,frontend,XXXX,us-south-1,32,839,0.03814064362336114
21,4,SOURCE,frontend,XXXX,us-central-1,238,839,0.2836710369487485
22,4,SOURCE,frontend,XXXX,us-west-1,390,839,0.464839094159714
23,4,SOURCE,frontend,XXXX,us-east-1,179,839,0.2133492252681764
0,5,frontend,a,us-south-1,us-south-1,55,55,1.0
1,5,frontend,a,us-central-1,us-central-1,203,203,1.0
2,5,frontend,a,us-west-1,us-south-1,182,569,0.31985940246045697
3,5,frontend,a,us-west-1,us-central-1,34,569,0.05975395430579965
4,5,frontend,a,us-west-1,us-west-1,257,569,0.45166959578207383
5,5,frontend,a,us-west-1,us-east-1,96,569,0.1687170474516696
6,5,frontend,a,us-east-1,us-east-1,119,119,1.0
7,5,c,d,us-south-1,us-south-1,237,237,1.0
8,5,c,d,us-central-1,us-central-1,237,237,1.0
9,5,c,d,us-west-1,us-west-1,257,257,1.0
10,5,c,d,us-east-1,us-east-1,215,215,1.0
11,5,a,b,us-south-1,us-south-1,237,237,1.0
12,5,a,b,us-central-1,us-central-1,237,237,1.0
13,5,a,b,us-west-1,us-west-1,257,257,1.0
14,5,a,b,us-east-1,us-east-1,215,215,1.0
15,5,b,c,us-south-1,us-south-1,237,237,1.0
16,5,b,c,us-central-1,us-central-1,237,237,1.0
17,5,b,c,us-west-1,us-west-1,257,257,1.0
18,5,b,c,us-east-1,us-east-1,215,215,1.0
19,5,SOURCE,frontend,XXXX,us-south-1,55,944,0.05826271186440678
20,5,SOURCE,frontend,XXXX,us-central-1,203,944,0.21504237288135594
21,5,SOURCE,frontend,XXXX,us-west-1,567,944,0.600635593220339
22,5,SOURCE,frontend,XXXX,us-east-1,119,944,0.1260593220338983
0,6,frontend,a,us-south-1,us-south-1,55,55,1.0
1,6,frontend,a,us-central-1,us-central-1,192,192,1.0
2,6,frontend,a,us-west-1,us-south-1,200,638,0.31347962382445144
3,6,frontend,a,us-west-1,us-central-1,63,638,0.0987460815047022
4,6,frontend,a,us-west-1,us-west-1,274,638,0.42946708463949845
5,6,frontend,a,us-west-1,us-east-1,101,638,0.15830721003134796
6,6,frontend,a,us-east-1,us-east-1,134,134,1.0
7,6,c,d,us-south-1,us-south-1,255,255,1.0
8,6,c,d,us-central-1,us-central-1,255,255,1.0
9,6,c,d,us-west-1,us-west-1,274,274,1.0
10,6,c,d,us-east-1,us-east-1,235,235,1.0
11,6,a,b,us-south-1,us-south-1,255,255,1.0
12,6,a,b,us-central-1,us-central-1,255,255,1.0
13,6,a,b,us-west-1,us-west-1,274,274,1.0
14,6,a,b,us-east-1,us-east-1,235,235,1.0
15,6,b,c,us-south-1,us-south-1,255,255,1.0
16,6,b,c,us-central-1,us-central-1,255,255,1.0
17,6,b,c,us-west-1,us-west-1,274,274,1.0
18,6,b,c,us-east-1,us-east-1,235,235,1.0
19,6,SOURCE,frontend,XXXX,us-south-1,55,1017,0.05408062930186824
