,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-west-1,us-west-1,99,101,0.9801980198019802
1,1,frontend,a,us-west-1,us-central-1,1,101,0.009900990099009901
2,1,frontend,a,us-west-1,us-south-1,1,101,0.009900990099009901
3,1,frontend,a,us-east-1,us-east-1,66,66,1.0
4,1,c,d,us-west-1,us-west-1,99,99,1.0
5,1,c,d,us-central-1,us-central-1,1,1,1.0
6,1,c,d,us-south-1,us-south-1,1,1,1.0
7,1,c,d,us-east-1,us-east-1,66,66,1.0
8,1,a,b,us-west-1,us-west-1,99,99,1.0
9,1,a,b,us-central-1,us-central-1,1,1,1.0
10,1,a,b,us-south-1,us-south-1,1,1,1.0
11,1,a,b,us-east-1,us-east-1,66,66,1.0
12,1,b,c,us-west-1,us-west-1,99,99,1.0
13,1,b,c,us-central-1,us-central-1,1,1,1.0
14,1,b,c,us-south-1,us-south-1,1,1,1.0
15,1,b,c,us-east-1,us-east-1,66,66,1.0
16,1,SOURCE,frontend,XXXX,us-west-1,99,165,0.6
17,1,SOURCE,frontend,XXXX,us-east-1,66,165,0.4
0,2,frontend,a,us-west-1,us-west-1,99,99,1.0
1,2,frontend,a,us-east-1,us-central-1,9,217,0.041474654377880185
2,2,frontend,a,us-east-1,us-south-1,5,217,0.02304147465437788
3,2,frontend,a,us-east-1,us-east-1,203,217,0.9354838709677419
4,2,c,d,us-west-1,us-west-1,99,99,1.0
5,2,c,d,us-central-1,us-central-1,9,9,1.0
6,2,c,d,us-south-1,us-south-1,5,5,1.0
7,2,c,d,us-east-1,us-east-1,203,203,1.0
8,2,a,b,us-west-1,us-west-1,99,99,1.0
9,2,a,b,us-central-1,us-central-1,9,9,1.0
10,2,a,b,us-south-1,us-south-1,5,5,1.0
11,2,a,b,us-east-1,us-east-1,203,203,1.0
12,2,b,c,us-west-1,us-west-1,99,99,1.0
13,2,b,c,us-central-1,us-central-1,9,9,1.0
14,2,b,c,us-south-1,us-south-1,5,5,1.0
15,2,b,c,us-east-1,us-east-1,203,203,1.0
16,2,SOURCE,frontend,XXXX,us-west-1,99,315,0.3142857142857143
17,2,SOURCE,frontend,XXXX,us-east-1,216,315,0.6857142857142857
0,3,frontend,a,us-west-1,us-west-1,173,267,0.6479400749063671
1,3,frontend,a,us-west-1,us-central-1,47,267,0.1760299625468165
2,3,frontend,a,us-west-1,us-south-1,47,267,0.1760299625468165
3,3,frontend,a,us-east-1,us-central-1,34,273,0.12454212454212454
4,3,frontend,a,us-east-1,us-south-1,34,273,0.12454212454212454
5,3,frontend,a,us-east-1,us-east-1,205,273,0.7509157509157509
6,3,c,d,us-west-1,us-west-1,173,173,1.0
7,3,c,d,us-central-1,us-central-1,80,80,1.0
8,3,c,d,us-south-1,us-south-1,80,80,1.0
9,3,c,d,us-east-1,us-east-1,205,205,1.0
10,3,a,b,us-west-1,us-west-1,173,173,1.0
11,3,a,b,us-central-1,us-central-1,80,80,1.0
12,3,a,b,us-south-1,us-south-1,80,80,1.0
13,3,a,b,us-east-1,us-east-1,205,205,1.0
14,3,b,c,us-west-1,us-west-1,173,173,1.0
15,3,b,c,us-central-1,us-central-1,80,80,1.0
16,3,b,c,us-south-1,us-south-1,80,80,1.0
