counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,40
0,us-west-1,frontend,frontend@GET@/start,228
0,us-west-1,c,c@POST@/spreadc,127
0,us-west-1,d,d@POST@/spreadd,93
0,us-west-1,b,b@POST@/spreadb,101
0,us-west-1,a,a@POST@/spreada,344
0,us-west-1,frontend,frontend@GET@/start,337
0,us-west-1,c,c@POST@/spreadc,370
0,us-west-1,d,d@POST@/spreadd,370
0,us-west-1,b,b@POST@/spreadb,377
0,us-west-1,a,a@POST@/spreada,317
0,us-west-1,frontend,frontend@GET@/start,310
0,us-west-1,c,c@POST@/spreadc,318
0,us-west-1,d,d@POST@/spreadd,311
0,us-west-1,b,b@POST@/spreadb,312
0,us-west-1,a,a@POST@/spreada,303
0,us-west-1,frontend,frontend@GET@/start,278
0,us-west-1,c,c@POST@/spreadc,287
0,us-west-1,d,d@POST@/spreadd,296
0,us-west-1,b,b@POST@/spreadb,297
0,us-west-1,a,a@POST@/spreada,281
0,us-west-1,frontend,frontend@GET@/start,320
0,us-west-1,c,c@POST@/spreadc,315
0,us-west-1,d,d@POST@/spreadd,302
0,us-west-1,b,b@POST@/spreadb,305
0,us-west-1,a,a@POST@/spreada,309
0,us-west-1,frontend,frontend@GET@/start,275
0,us-west-1,c,c@POST@/spreadc,282
0,us-west-1,d,d@POST@/spreadd,297
0,us-west-1,b,b@POST@/spreadb,286
0,us-west-1,a,a@POST@/spreada,282
0,us-west-1,frontend,frontend@GET@/start,274
0,us-west-1,c,c@POST@/spreadc,259
0,us-west-1,d,d@POST@/spreadd,266
0,us-west-1,b,b@POST@/spreadb,265
0,us-west-1,a,a@POST@/spreada,293
0,us-west-1,frontend,frontend@GET@/start,316
0,us-west-1,c,c@POST@/spreadc,312
0,us-west-1,d,d@POST@/spreadd,305
0,us-west-1,b,b@POST@/spreadb,307
0,us-west-1,a,a@POST@/spreada,318
0,us-west-1,frontend,frontend@GET@/start,297
0,us-west-1,c,c@POST@/spreadc,313
0,us-west-1,d,d@POST@/spreadd,317
0,us-west-1,b,b@POST@/spreadb,318
0,us-west-1,a,a@POST@/spreada,284
0,us-west-1,frontend,frontend@GET@/start,293
0,us-west-1,c,c@POST@/spreadc,279
0,us-west-1,d,d@POST@/spreadd,265
0,us-west-1,b,b@POST@/spreadb,272
0,us-west-1,a,a@POST@/spreada,307
0,us-west-1,frontend,frontend@GET@/start,313
0,us-west-1,c,c@POST@/spreadc,314
0,us-west-1,d,d@POST@/spreadd,321
0,us-west-1,b,b@POST@/spreadb,316
0,us-west-1,a,a@POST@/spreada,294
0,us-west-1,frontend,frontend@GET@/start,290
0,us-west-1,c,c@POST@/spreadc,294
0,us-west-1,d,d@POST@/spreadd,294
0,us-west-1,b,b@POST@/spreadb,297
0,us-west-1,a,a@POST@/spreada,275
0,us-west-1,frontend,frontend@GET@/start,283
0,us-west-1,c,c@POST@/spreadc,278
0,us-west-1,d,d@POST@/spreadd,281
0,us-west-1,b,b@POST@/spreadb,280
0,us-west-1,a,a@POST@/spreada,299
0,us-west-1,frontend,frontend@GET@/start,313
0,us-west-1,c,c@POST@/spreadc,312
0,us-west-1,d,d@POST@/spreadd,285
0,us-west-1,b,b@POST@/spreadb,299
0,us-west-1,a,a@POST@/spreada,306
0,us-west-1,frontend,frontend@GET@/start,303
0,us-west-1,c,c@POST@/spreadc,304
0,us-west-1,d,d@POST@/spreadd,325
0,us-west-1,b,b@POST@/spreadb,312
0,us-west-1,a,a@POST@/spreada,321
0,us-west-1,frontend,frontend@GET@/start,289
0,us-west-1,c,c@POST@/spreadc,298
0,us-west-1,d,d@POST@/spreadd,298
0,us-west-1,b,b@POST@/spreadb,296
0,us-west-1,a,a@POST@/spreada,275
0,us-west-1,frontend,frontend@GET@/start,309
0,us-west-1,c,c@POST@/spreadc,305
0,us-west-1,d,d@POST@/spreadd,306
0,us-west-1,b,b@POST@/spreadb,302
0,us-west-1,a,a@POST@/spreada,338
0,us-west-1,frontend,frontend@GET@/start,318
0,us-west-1,c,c@POST@/spreadc,329
0,us-west-1,d,d@POST@/spreadd,324
0,us-west-1,b,b@POST@/spreadb,334
0,us-west-1,a,a@POST@/spreada,295
0,us-west-1,frontend,frontend@GET@/start,292
0,us-west-1,c,c@POST@/spreadc,286
0,us-west-1,d,d@POST@/spreadd,296
0,us-west-1,b,b@POST@/spreadb,287
0,us-west-1,a,a@POST@/spreada,274
0,us-west-1,frontend,frontend@GET@/start,264
0,us-west-1,c,c@POST@/spreadc,269
0,us-west-1,d,d@POST@/spreadd,263
0,us-west-1,b,b@POST@/spreadb,265
0,us-west-1,a,a@POST@/spreada,271
0,us-west-1,frontend,frontend@GET@/start,297
0,us-west-1,c,c@POST@/spreadc,300
0,us-west-1,d,d@POST@/spreadd,295
0,us-west-1,b,b@POST@/spreadb,298
0,us-west-1,a,a@POST@/spreada,288
0,us-west-1,frontend,frontend@GET@/start,273
0,us-west-1,c,c@POST@/spreadc,269
0,us-west-1,d,d@POST@/spreadd,272
0,us-west-1,b,b@POST@/spreadb,272
0,us-west-1,a,a@POST@/spreada,300
