counter,region,service,endpoint, rps
0,us-west-1,d,d@POST@/spreadd,33
0,us-west-1,frontend,frontend@GET@/start,142
0,us-west-1,c,c@POST@/spreadc,94
0,us-west-1,a,a@POST@/spreada,166
0,us-west-1,d,d@POST@/spreadd,221
0,us-west-1,b,b@POST@/spreadb,296
0,us-west-1,frontend,frontend@GET@/start,198
0,us-west-1,c,c@POST@/spreadc,273
0,us-west-1,a,a@POST@/spreada,499
0,us-west-1,d,d@POST@/spreadd,299
0,us-west-1,b,b@POST@/spreadb,296
0,us-west-1,frontend,frontend@GET@/start,121
0,us-west-1,c,c@POST@/spreadc,191
0,us-west-1,a,a@POST@/spreada,223
0,us-west-1,d,d@POST@/spreadd,219
0,us-west-1,b,b@POST@/spreadb,264
0,us-west-1,frontend,frontend@GET@/start,251
0,us-west-1,c,c@POST@/spreadc,180
0,us-west-1,a,a@POST@/spreada,371
0,us-west-1,d,d@POST@/spreadd,264
0,us-west-1,b,b@POST@/spreadb,123
0,us-west-1,frontend,frontend@GET@/start,288
0,us-west-1,c,c@POST@/spreadc,160
0,us-west-1,a,a@POST@/spreada,292
0,us-west-1,d,d@POST@/spreadd,615
0,us-west-1,b,b@POST@/spreadb,169
0,us-west-1,frontend,frontend@GET@/start,538
0,us-west-1,c,c@POST@/spreadc,215
0,us-west-1,a,a@POST@/spreada,599
0,us-west-1,d,d@POST@/spreadd,389
0,us-west-1,b,b@POST@/spreadb,231
0,us-west-1,frontend,frontend@GET@/start,474
0,us-west-1,c,c@POST@/spreadc,371
0,us-west-1,a,a@POST@/spreada,465
0,us-west-1,d,d@POST@/spreadd,554
0,us-west-1,b,b@POST@/spreadb,290
0,us-west-1,frontend,frontend@GET@/start,571
0,us-west-1,c,c@POST@/spreadc,195
0,us-west-1,a,a@POST@/spreada,516
0,us-west-1,d,d@POST@/spreadd,593
0,us-west-1,b,b@POST@/spreadb,314
0,us-west-1,frontend,frontend@GET@/start,579
0,us-west-1,c,c@POST@/spreadc,226
0,us-west-1,a,a@POST@/spreada,593
0,us-west-1,d,d@POST@/spreadd,450
0,us-west-1,b,b@POST@/spreadb,359
0,us-west-1,frontend,frontend@GET@/start,333
0,us-west-1,c,c@POST@/spreadc,415
0,us-west-1,a,a@POST@/spreada,280
0,us-west-1,d,d@POST@/spreadd,264
0,us-west-1,b,b@POST@/spreadb,255
0,us-west-1,frontend,frontend@GET@/start,588
0,us-west-1,c,c@POST@/spreadc,277
0,us-west-1,a,a@POST@/spreada,584
0,us-west-1,d,d@POST@/spreadd,100
0,us-west-1,b,b@POST@/spreadb,343
0,us-west-1,frontend,frontend@GET@/start,361
0,us-west-1,c,c@POST@/spreadc,437
0,us-west-1,a,a@POST@/spreada,394
0,us-west-1,d,d@POST@/spreadd,633
0,us-west-1,b,b@POST@/spreadb,241
0,us-west-1,frontend,frontend@GET@/start,563
0,us-west-1,c,c@POST@/spreadc,519
0,us-west-1,a,a@POST@/spreada,570
0,us-west-1,d,d@POST@/spreadd,367
0,us-west-1,b,b@POST@/spreadb,335
0,us-west-1,frontend,frontend@GET@/start,413
0,us-west-1,c,c@POST@/spreadc,607
0,us-west-1,a,a@POST@/spreada,570
0,us-west-1,d,d@POST@/spreadd,479
0,us-west-1,b,b@POST@/spreadb,299
0,us-west-1,frontend,frontend@GET@/start,446
0,us-west-1,c,c@POST@/spreadc,413
0,us-west-1,a,a@POST@/spreada,1011
0,us-west-1,d,d@POST@/spreadd,613
0,us-west-1,b,b@POST@/spreadb,171
0,us-west-1,frontend,frontend@GET@/start,613
0,us-west-1,c,c@POST@/spreadc,473
0,us-west-1,a,a@POST@/spreada,441
0,us-west-1,d,d@POST@/spreadd,611
0,us-west-1,b,b@POST@/spreadb,166
0,us-west-1,frontend,frontend@GET@/start,381
0,us-west-1,c,c@POST@/spreadc,577
