,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-west-1,us-west-1,82,82,1.0
1,1,c,d,us-west-1,us-west-1,82,82,1.0
2,1,a,b,us-west-1,us-west-1,82,82,1.0
3,1,b,c,us-west-1,us-west-1,82,82,1.0
4,1,SOURCE,frontend,XXXX,us-west-1,81,81,1.0
0,2,frontend,a,us-central-1,us-central-1,90,90,1.0
1,2,frontend,a,us-east-1,us-east-1,11,11,1.0
2,2,frontend,a,us-west-1,us-central-1,12,268,0.04477611940298507
3,2,frontend,a,us-west-1,us-south-1,102,268,0.3805970149253731
4,2,frontend,a,us-west-1,us-east-1,12,268,0.04477611940298507
5,2,frontend,a,us-west-1,us-west-1,142,268,0.5298507462686567
6,2,c,d,us-central-1,us-central-1,102,102,1.0
7,2,c,d,us-south-1,us-south-1,102,102,1.0
8,2,c,d,us-east-1,us-east-1,23,23,1.0
9,2,c,d,us-west-1,us-west-1,142,142,1.0
10,2,a,b,us-central-1,us-central-1,102,102,1.0
11,2,a,b,us-south-1,us-south-1,102,102,1.0
12,2,a,b,us-east-1,us-east-1,23,23,1.0
13,2,a,b,us-west-1,us-west-1,142,142,1.0
14,2,b,c,us-central-1,us-central-1,102,102,1.0
15,2,b,c,us-south-1,us-south-1,102,102,1.0
16,2,b,c,us-east-1,us-east-1,23,23,1.0
17,2,b,c,us-west-1,us-west-1,142,142,1.0
18,2,SOURCE,frontend,XXXX,us-central-1,90,366,0.2459016393442623
19,2,SOURCE,frontend,XXXX,us-east-1,11,366,0.030054644808743168
20,2,SOURCE,frontend,XXXX,us-west-1,265,366,0.7240437158469946
0,3,frontend,a,us-central-1,us-central-1,103,103,1.0
1,3,frontend,a,us-east-1,us-east-1,11,11,1.0
2,3,frontend,a,us-west-1,us-central-1,12,325,0.036923076923076927
3,3,frontend,a,us-west-1,us-south-1,115,325,0.35384615384615387
4,3,frontend,a,us-west-1,us-east-1,47,325,0.14461538461538462
5,3,frontend,a,us-west-1,us-west-1,151,325,0.4646153846153846
6,3,c,d,us-central-1,us-central-1,115,115,1.0
7,3,c,d,us-south-1,us-south-1,115,115,1.0
8,3,c,d,us-east-1,us-east-1,58,58,1.0
9,3,c,d,us-west-1,us-west-1,151,151,1.0
10,3,a,b,us-central-1,us-central-1,115,115,1.0
11,3,a,b,us-south-1,us-south-1,115,115,1.0
12,3,a,b,us-east-1,us-east-1,58,58,1.0
13,3,a,b,us-west-1,us-west-1,151,151,1.0
14,3,b,c,us-central-1,us-central-1,115,115,1.0
15,3,b,c,us-south-1,us-south-1,115,115,1.0
16,3,b,c,us-east-1,us-east-1,58,58,1.0
17,3,b,c,us-west-1,us-west-1,151,151,1.0
18,3,SOURCE,frontend,XXXX,us-central-1,103,436,0.23623853211009174
19,3,SOURCE,frontend,XXXX,us-east-1,11,436,0.02522935779816514
20,3,SOURCE,frontend,XXXX,us-west-1,322,436,0.7385321100917431
0,4,frontend,a,us-central-1,us-central-1,106,106,1.0
1,4,frontend,a,us-south-1,us-south-1,53,53,1.0
2,4,frontend,a,us-east-1,us-central-1,29,313,0.0926517571884984
3,4,frontend,a,us-east-1,us-south-1,35,313,0.11182108626198083
4,4,frontend,a,us-east-1,us-east-1,249,313,0.7955271565495208
5,4,frontend,a,us-west-1,us-central-1,72,420,0.17142857142857143
6,4,frontend,a,us-west-1,us-south-1,119,420,0.2833333333333333
7,4,frontend,a,us-west-1,us-west-1,229,420,0.5452380952380952
8,4,c,d,us-central-1,us-central-1,206,206,1.0
9,4,c,d,us-south-1,us-south-1,206,206,1.0
10,4,c,d,us-east-1,us-east-1,249,249,1.0
11,4,c,d,us-west-1,us-west-1,229,229,1.0
12,4,a,b,us-central-1,us-central-1,206,206,1.0
13,4,a,b,us-south-1,us-south-1,206,206,1.0
14,4,a,b,us-east-1,us-east-1,249,249,1.0
15,4,a,b,us-west-1,us-west-1,229,229,1.0
16,4,b,c,us-central-1,us-central-1,206,206,1.0
17,4,b,c,us-south-1,us-south-1,206,206,1.0
18,4,b,c,us-east-1,us-east-1,249,249,1.0
19,4,b,c,us-west-1,us-west-1,229,229,1.0
20,4,SOURCE,frontend,XXXX,us-central-1,106,888,0.11936936936936937
21,4,SOURCE,frontend,XXXX,us-south-1,53,888,0.059684684684684686
22,4,SOURCE,frontend,XXXX,us-east-1,311,888,0.3502252252252252
23,4,SOURCE,frontend,XXXX,us-west-1,418,888,0.47072072072072074
0,5,frontend,a,us-central-1,us-central-1,100,100,1.0
1,5,frontend,a,us-south-1,us-south-1,59,59,1.0
2,5,frontend,a,us-east-1,us-central-1,2,239,0.008368200836820083
3,5,frontend,a,us-east-1,us-south-1,2,239,0.008368200836820083
4,5,frontend,a,us-east-1,us-east-1,235,239,0.9832635983263598
5,5,frontend,a,us-west-1,us-central-1,88,431,0.20417633410672853
6,5,frontend,a,us-west-1,us-south-1,129,431,0.29930394431554525
7,5,frontend,a,us-west-1,us-west-1,214,431,0.4965197215777262
8,5,c,d,us-central-1,us-central-1,189,189,1.0
9,5,c,d,us-south-1,us-south-1,189,189,1.0
10,5,c,d,us-east-1,us-east-1,235,235,1.0
11,5,c,d,us-west-1,us-west-1,214,214,1.0
12,5,a,b,us-central-1,us-central-1,189,189,1.0
13,5,a,b,us-south-1,us-south-1,189,189,1.0
14,5,a,b,us-east-1,us-east-1,235,235,1.0
15,5,a,b,us-west-1,us-west-1,214,214,1.0
16,5,b,c,us-central-1,us-central-1,189,189,1.0
17,5,b,c,us-south-1,us-south-1,189,189,1.0
18,5,b,c,us-east-1,us-east-1,235,235,1.0
19,5,b,c,us-west-1,us-west-1,214,214,1.0
20,5,SOURCE,frontend,XXXX,us-central-1,100,826,0.12106537530266344
21,5,SOURCE,frontend,XXXX,us-south-1,59,826,0.07142857142857142
22,5,SOURCE,frontend,XXXX,us-east-1,237,826,0.28692493946731235
23,5,SOURCE,frontend,XXXX,us-west-1,430,826,0.5205811138014528
0,6,frontend,a,us-central-1,us-central-1,126,126,1.0
1,6,frontend,a,us-south-1,us-south-1,56,56,1.0
2,6,frontend,a,us-east-1,us-central-1,31,352,0.08806818181818182
3,6,frontend,a,us-east-1,us-south-1,37,352,0.10511363636363637
4,6,frontend,a,us-east-1,us-east-1,284,352,0.8068181818181818
5,6,frontend,a,us-west-1,us-central-1,90,510,0.17647058823529413
6,6,frontend,a,us-west-1,us-south-1,154,510,0.30196078431372547
7,6,frontend,a,us-west-1,us-west-1,266,510,0.5215686274509804
8,6,c,d,us-central-1,us-central-1,247,247,1.0
9,6,c,d,us-south-1,us-south-1,247,247,1.0
10,6,c,d,us-east-1,us-east-1,284,284,1.0
11,6,c,d,us-west-1,us-west-1,266,266,1.0
12,6,a,b,us-central-1,us-central-1,247,247,1.0
13,6,a,b,us-south-1,us-south-1,247,247,1.0
14,6,a,b,us-east-1,us-east-1,284,284,1.0
15,6,a,b,us-west-1,us-west-1,266,266,1.0
16,6,b,c,us-central-1,us-central-1,247,247,1.0
17,6,b,c,us-south-1,us-south-1,247,247,1.0
18,6,b,c,us-east-1,us-east-1,284,284,1.0
19,6,b,c,us-west-1,us-west-1,266,266,1.0
20,6,SOURCE,frontend,XXXX,us-central-1,126,1042,0.12092130518234165
21,6,SOURCE,frontend,XXXX,us-south-1,56,1042,0.053742802303262956
22,6,SOURCE,frontend,XXXX,us-east-1,351,1042,0.33685220729366605
23,6,SOURCE,frontend,XXXX,us-west-1,509,1042,0.4884836852207294
0,7,frontend,a,us-central-1,us-central-1,96,96,1.0
1,7,frontend,a,us-south-1,us-south-1,42,42,1.0
2,7,frontend,a,us-east-1,us-central-1,56,408,0.13725490196078433
3,7,frontend,a,us-east-1,us-south-1,69,408,0.16911764705882354
4,7,frontend,a,us-east-1,us-east-1,283,408,0.6936274509803921
5,7,frontend,a,us-west-1,us-central-1,94,494,0.1902834008097166
6,7,frontend,a,us-west-1,us-south-1,135,494,0.2732793522267207
7,7,frontend,a,us-west-1,us-west-1,265,494,0.5364372469635628
8,7,c,d,us-central-1,us-central-1,246,246,1.0
9,7,c,d,us-south-1,us-south-1,246,246,1.0
10,7,c,d,us-east-1,us-east-1,283,283,1.0
11,7,c,d,us-west-1,us-west-1,265,265,1.0
12,7,a,b,us-central-1,us-central-1,246,246,1.0
13,7,a,b,us-south-1,us-south-1,246,246,1.0
14,7,a,b,us-east-1,us-east-1,283,283,1.0
15,7,a,b,us-west-1,us-west-1,265,265,1.0
16,7,b,c,us-central-1,us-central-1,246,246,1.0
17,7,b,c,us-south-1,us-south-1,246,246,1.0
18,7,b,c,us-east-1,us-east-1,283,283,1.0
19,7,b,c,us-west-1,us-west-1,265,265,1.0
20,7,SOURCE,frontend,XXXX,us-central-1,96,1037,0.09257473481195758
21,7,SOURCE,frontend,XXXX,us-south-1,42,1037,0.040501446480231434
22,7,SOURCE,frontend,XXXX,us-east-1,406,1037,0.39151398264223725
23,7,SOURCE,frontend,XXXX,us-west-1,493,1037,0.47540983606557374
0,8,frontend,a,us-central-1,us-central-1,102,102,1.0
1,8,frontend,a,us-south-1,us-south-1,65,65,1.0
2,8,frontend,a,us-east-1,us-central-1,62,415,0.1493975903614458
3,8,frontend,a,us-east-1,us-south-1,77,415,0.1855421686746988
4,8,frontend,a,us-east-1,us-east-1,276,415,0.6650602409638554
5,8,frontend,a,us-west-1,us-central-1,74,428,0.17289719626168223
6,8,frontend,a,us-west-1,us-south-1,96,428,0.22429906542056074
7,8,frontend,a,us-west-1,us-west-1,258,428,0.602803738317757
8,8,c,d,us-central-1,us-central-1,238,238,1.0
9,8,c,d,us-south-1,us-south-1,238,238,1.0
10,8,c,d,us-east-1,us-east-1,276,276,1.0
11,8,c,d,us-west-1,us-west-1,258,258,1.0
12,8,a,b,us-central-1,us-central-1,238,238,1.0
13,8,a,b,us-south-1,us-south-1,238,238,1.0
14,8,a,b,us-east-1,us-east-1,276,276,1.0
15,8,a,b,us-west-1,us-west-1,258,258,1.0
16,8,b,c,us-central-1,us-central-1,238,238,1.0
17,8,b,c,us-south-1,us-south-1,238,238,1.0
18,8,b,c,us-east-1,us-east-1,276,276,1.0
19,8,b,c,us-west-1,us-west-1,258,258,1.0
20,8,SOURCE,frontend,XXXX,us-central-1,102,1007,0.1012909632571996
21,8,SOURCE,frontend,XXXX,us-south-1,65,1007,0.06454816285998013
22,8,SOURCE,frontend,XXXX,us-east-1,414,1007,0.41112214498510424
23,8,SOURCE,frontend,XXXX,us-west-1,426,1007,0.423038728897716
0,9,frontend,a,us-central-1,us-central-1,98,98,1.0
1,9,frontend,a,us-south-1,us-south-1,50,50,1.0
2,9,frontend,a,us-east-1,us-central-1,89,494,0.18016194331983806
3,9,frontend,a,us-east-1,us-south-1,123,494,0.24898785425101214
4,9,frontend,a,us-east-1,us-east-1,282,494,0.5708502024291497
5,9,frontend,a,us-west-1,us-central-1,59,396,0.14898989898989898
6,9,frontend,a,us-west-1,us-south-1,73,396,0.18434343434343434
7,9,frontend,a,us-west-1,us-west-1,264,396,0.6666666666666666
8,9,c,d,us-central-1,us-central-1,245,245,1.0
9,9,c,d,us-south-1,us-south-1,245,245,1.0
10,9,c,d,us-east-1,us-east-1,282,282,1.0
11,9,c,d,us-west-1,us-west-1,264,264,1.0
12,9,a,b,us-central-1,us-central-1,245,245,1.0
13,9,a,b,us-south-1,us-south-1,245,245,1.0
14,9,a,b,us-east-1,us-east-1,282,282,1.0
15,9,a,b,us-west-1,us-west-1,264,264,1.0
16,9,b,c,us-central-1,us-central-1,245,245,1.0
17,9,b,c,us-south-1,us-south-1,245,245,1.0
18,9,b,c,us-east-1,us-east-1,282,282,1.0
19,9,b,c,us-west-1,us-west-1,264,264,1.0
20,9,SOURCE,frontend,XXXX,us-central-1,98,1035,0.09468599033816426
21,9,SOURCE,frontend,XXXX,us-south-1,50,1035,0.04830917874396135
22,9,SOURCE,frontend,XXXX,us-east-1,492,1035,0.4753623188405797
23,9,SOURCE,frontend,XXXX,us-west-1,395,1035,0.38164251207729466
0,10,frontend,a,us-central-1,us-central-1,84,84,1.0
1,10,frontend,a,us-south-1,us-south-1,51,51,1.0
2,10,frontend,a,us-east-1,us-central-1,98,494,0.19838056680161945
3,10,frontend,a,us-east-1,us-south-1,123,494,0.24898785425101214
4,10,frontend,a,us-east-1,us-east-1,273,494,0.5526315789473685
5,10,frontend,a,us-west-1,us-central-1,54,370,0.14594594594594595
6,10,frontend,a,us-west-1,us-south-1,61,370,0.16486486486486487
7,10,frontend,a,us-west-1,us-west-1,255,370,0.6891891891891891
8,10,c,d,us-central-1,us-central-1,235,235,1.0
9,10,c,d,us-south-1,us-south-1,235,235,1.0
10,10,c,d,us-east-1,us-east-1,273,273,1.0
11,10,c,d,us-west-1,us-west-1,255,255,1.0
12,10,a,b,us-central-1,us-central-1,235,235,1.0
13,10,a,b,us-south-1,us-south-1,235,235,1.0
14,10,a,b,us-east-1,us-east-1,273,273,1.0
15,10,a,b,us-west-1,us-west-1,255,255,1.0
16,10,b,c,us-central-1,us-central-1,235,235,1.0
17,10,b,c,us-south-1,us-south-1,235,235,1.0
18,10,b,c,us-east-1,us-east-1,273,273,1.0
19,10,b,c,us-west-1,us-west-1,255,255,1.0
20,10,SOURCE,frontend,XXXX,us-central-1,84,996,0.08433734939759036
21,10,SOURCE,frontend,XXXX,us-south-1,51,996,0.05120481927710843
22,10,SOURCE,frontend,XXXX,us-east-1,493,996,0.49497991967871485
23,10,SOURCE,frontend,XXXX,us-west-1,368,996,0.36947791164658633
0,11,frontend,a,us-central-1,us-central-1,109,109,1.0
1,11,frontend,a,us-south-1,us-south-1,45,45,1.0
2,11,frontend,a,us-east-1,us-central-1,76,474,0.16033755274261605
3,11,frontend,a,us-east-1,us-south-1,118,474,0.2489451476793249
4,11,frontend,a,us-east-1,us-east-1,280,474,0.5907172995780591
5,11,frontend,a,us-west-1,us-central-1,58,400,0.145
6,11,frontend,a,us-west-1,us-south-1,80,400,0.2
7,11,frontend,a,us-west-1,us-west-1,262,400,0.655
8,11,c,d,us-central-1,us-central-1,243,243,1.0
9,11,c,d,us-south-1,us-south-1,243,243,1.0
10,11,c,d,us-east-1,us-east-1,280,280,1.0
11,11,c,d,us-west-1,us-west-1,262,262,1.0
12,11,a,b,us-central-1,us-central-1,243,243,1.0
13,11,a,b,us-south-1,us-south-1,243,243,1.0
14,11,a,b,us-east-1,us-east-1,280,280,1.0
15,11,a,b,us-west-1,us-west-1,262,262,1.0
16,11,b,c,us-central-1,us-central-1,243,243,1.0
17,11,b,c,us-south-1,us-south-1,243,243,1.0
18,11,b,c,us-east-1,us-east-1,280,280,1.0
19,11,b,c,us-west-1,us-west-1,262,262,1.0
20,11,SOURCE,frontend,XXXX,us-central-1,109,1026,0.10623781676413255
21,11,SOURCE,frontend,XXXX,us-south-1,45,1026,0.043859649122807015
22,11,SOURCE,frontend,XXXX,us-east-1,473,1026,0.46101364522417154
23,11,SOURCE,frontend,XXXX,us-west-1,399,1026,0.3888888888888889
0,12,frontend,a,us-central-1,us-central-1,102,102,1.0
1,12,frontend,a,us-south-1,us-south-1,63,63,1.0
2,12,frontend,a,us-east-1,us-central-1,53,384,0.13802083333333334
3,12,frontend,a,us-east-1,us-south-1,65,384,0.16927083333333334
4,12,frontend,a,us-east-1,us-east-1,266,384,0.6927083333333334
5,12,frontend,a,us-west-1,us-central-1,73,420,0.1738095238095238
6,12,frontend,a,us-west-1,us-south-1,99,420,0.2357142857142857
7,12,frontend,a,us-west-1,us-west-1,248,420,0.5904761904761905
8,12,c,d,us-central-1,us-central-1,227,227,1.0
9,12,c,d,us-south-1,us-south-1,227,227,1.0
10,12,c,d,us-east-1,us-east-1,266,266,1.0
11,12,c,d,us-west-1,us-west-1,248,248,1.0
12,12,a,b,us-central-1,us-central-1,227,227,1.0
13,12,a,b,us-south-1,us-south-1,227,227,1.0
14,12,a,b,us-east-1,us-east-1,266,266,1.0
15,12,a,b,us-west-1,us-west-1,248,248,1.0
16,12,b,c,us-central-1,us-central-1,227,227,1.0
17,12,b,c,us-south-1,us-south-1,227,227,1.0
18,12,b,c,us-east-1,us-east-1,266,266,1.0
19,12,b,c,us-west-1,us-west-1,248,248,1.0
20,12,SOURCE,frontend,XXXX,us-central-1,102,966,0.10559006211180125
