,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,4,frontend,a,us-west-1,us-west-1,300,319,0.9404388714733543
1,4,frontend,a,us-west-1,us-central-1,19,319,0.05956112852664577
2,4,frontend,a,us-east-1,us-east-1,61,61,1.0
3,4,frontend,a,us-central-1,us-central-1,102,102,1.0
4,4,frontend,a,us-south-1,us-south-1,10,10,1.0
5,4,c,d,us-west-1,us-west-1,-1,-1,1.0
6,4,a,b,us-west-1,us-west-1,-1,-1,1.0
7,4,b,c,us-west-1,us-west-1,-1,-1,1.0
8,4,c,d,us-east-1,us-east-1,-1,-1,1.0
9,4,a,b,us-east-1,us-east-1,-1,-1,1.0
10,4,b,c,us-east-1,us-east-1,-1,-1,1.0
11,4,c,d,us-central-1,us-central-1,-1,-1,1.0
12,4,a,b,us-central-1,us-central-1,-1,-1,1.0
13,4,b,c,us-central-1,us-central-1,-1,-1,1.0
14,4,c,d,us-south-1,us-south-1,-1,-1,1.0
15,4,a,b,us-south-1,us-south-1,-1,-1,1.0
16,4,b,c,us-south-1,us-south-1,-1,-1,1.0
0,5,frontend,a,us-west-1,us-west-1,300,363,0.8264462809917356
1,5,frontend,a,us-west-1,us-central-1,63,363,0.17355371900826447
2,5,frontend,a,us-east-1,us-east-1,300,306,0.9803921568627451
3,5,frontend,a,us-east-1,us-west-1,0,306,0.0
4,5,frontend,a,us-east-1,us-central-1,6,306,0.0196078431372549
5,5,frontend,a,us-central-1,us-central-1,103,103,1.0
6,5,frontend,a,us-south-1,us-south-1,57,57,1.0
7,5,c,d,us-west-1,us-west-1,-1,-1,1.0
8,5,a,b,us-west-1,us-west-1,-1,-1,1.0
9,5,b,c,us-west-1,us-west-1,-1,-1,1.0
10,5,c,d,us-east-1,us-east-1,-1,-1,1.0
11,5,a,b,us-east-1,us-east-1,-1,-1,1.0
12,5,b,c,us-east-1,us-east-1,-1,-1,1.0
13,5,c,d,us-central-1,us-central-1,-1,-1,1.0
14,5,a,b,us-central-1,us-central-1,-1,-1,1.0
15,5,b,c,us-central-1,us-central-1,-1,-1,1.0
16,5,c,d,us-south-1,us-south-1,-1,-1,1.0
17,5,a,b,us-south-1,us-south-1,-1,-1,1.0
18,5,b,c,us-south-1,us-south-1,-1,-1,1.0
0,6,frontend,a,us-west-1,us-west-1,300,367,0.8174386920980926
1,6,frontend,a,us-west-1,us-central-1,67,367,0.18256130790190736
2,6,frontend,a,us-east-1,us-east-1,300,369,0.8130081300813008
3,6,frontend,a,us-east-1,us-west-1,0,369,0.0
4,6,frontend,a,us-east-1,us-central-1,69,369,0.18699186991869918
5,6,frontend,a,us-central-1,us-central-1,107,107,1.0
6,6,frontend,a,us-south-1,us-south-1,54,54,1.0
7,6,c,d,us-west-1,us-west-1,-1,-1,1.0
