counter,region,service,endpoint, rps
0,us-west-1,frontend,frontend@GET@/start,6
0,us-west-1,c,c@POST@/spreadc,116
0,us-west-1,d,d@POST@/spreadd,14
0,us-west-1,a,a@POST@/spreada,43
0,us-west-1,b,b@POST@/spreadb,92
0,us-west-1,frontend,frontend@GET@/start,175
0,us-west-1,c,c@POST@/spreadc,288
0,us-west-1,d,d@POST@/spreadd,236
0,us-west-1,a,a@POST@/spreada,303
0,us-west-1,b,b@POST@/spreadb,285
0,us-west-1,frontend,frontend@GET@/start,433
0,us-west-1,c,c@POST@/spreadc,384
0,us-west-1,d,d@POST@/spreadd,318
0,us-west-1,a,a@POST@/spreada,226
0,us-west-1,b,b@POST@/spreadb,416
0,us-west-1,frontend,frontend@GET@/start,145
0,us-west-1,c,c@POST@/spreadc,371
0,us-west-1,d,d@POST@/spreadd,334
0,us-west-1,a,a@POST@/spreada,84
0,us-west-1,b,b@POST@/spreadb,513
0,us-west-1,frontend,frontend@GET@/start,360
0,us-west-1,c,c@POST@/spreadc,499
0,us-west-1,d,d@POST@/spreadd,430
0,us-west-1,a,a@POST@/spreada,265
0,us-west-1,b,b@POST@/spreadb,521
0,us-west-1,frontend,frontend@GET@/start,509
0,us-west-1,c,c@POST@/spreadc,328
0,us-west-1,d,d@POST@/spreadd,466
0,us-west-1,a,a@POST@/spreada,128
0,us-west-1,b,b@POST@/spreadb,445
0,us-west-1,frontend,frontend@GET@/start,456
0,us-west-1,c,c@POST@/spreadc,362
0,us-west-1,d,d@POST@/spreadd,601
0,us-west-1,a,a@POST@/spreada,530
0,us-west-1,b,b@POST@/spreadb,484
0,us-west-1,frontend,frontend@GET@/start,692
0,us-west-1,c,c@POST@/spreadc,671
0,us-west-1,d,d@POST@/spreadd,484
0,us-west-1,a,a@POST@/spreada,672
0,us-west-1,b,b@POST@/spreadb,665
0,us-west-1,frontend,frontend@GET@/start,565
0,us-west-1,c,c@POST@/spreadc,503
0,us-west-1,d,d@POST@/spreadd,718
0,us-west-1,a,a@POST@/spreada,656
0,us-west-1,b,b@POST@/spreadb,492
0,us-west-1,frontend,frontend@GET@/start,692
0,us-west-1,c,c@POST@/spreadc,696
0,us-west-1,d,d@POST@/spreadd,392
0,us-west-1,a,a@POST@/spreada,486
0,us-west-1,b,b@POST@/spreadb,671
0,us-west-1,frontend,frontend@GET@/start,664
0,us-west-1,c,c@POST@/spreadc,686
0,us-west-1,d,d@POST@/spreadd,788
0,us-west-1,a,a@POST@/spreada,712
0,us-west-1,b,b@POST@/spreadb,705
0,us-west-1,frontend,frontend@GET@/start,564
0,us-west-1,c,c@POST@/spreadc,515
0,us-west-1,d,d@POST@/spreadd,780
0,us-west-1,a,a@POST@/spreada,560
0,us-west-1,b,b@POST@/spreadb,510
0,us-west-1,frontend,frontend@GET@/start,650
0,us-west-1,c,c@POST@/spreadc,722
0,us-west-1,d,d@POST@/spreadd,466
0,us-west-1,a,a@POST@/spreada,698
0,us-west-1,b,b@POST@/spreadb,741
0,us-west-1,frontend,frontend@GET@/start,356
0,us-west-1,c,c@POST@/spreadc,513
0,us-west-1,d,d@POST@/spreadd,707
0,us-west-1,a,a@POST@/spreada,617
0,us-west-1,b,b@POST@/spreadb,580
0,us-west-1,frontend,frontend@GET@/start,557
0,us-west-1,c,c@POST@/spreadc,656
0,us-west-1,d,d@POST@/spreadd,591
0,us-west-1,a,a@POST@/spreada,559
0,us-west-1,b,b@POST@/spreadb,568
0,us-west-1,frontend,frontend@GET@/start,451
0,us-west-1,c,c@POST@/spreadc,656
0,us-west-1,d,d@POST@/spreadd,647
0,us-west-1,a,a@POST@/spreada,742
0,us-west-1,b,b@POST@/spreadb,792
0,us-west-1,frontend,frontend@GET@/start,449
0,us-west-1,c,c@POST@/spreadc,725
0,us-west-1,d,d@POST@/spreadd,731
0,us-west-1,a,a@POST@/spreada,514
0,us-west-1,b,b@POST@/spreadb,461
0,us-west-1,frontend,frontend@GET@/start,550
0,us-west-1,c,c@POST@/spreadc,520
0,us-west-1,d,d@POST@/spreadd,552
0,us-west-1,a,a@POST@/spreada,639
0,us-west-1,b,b@POST@/spreadb,667
0,us-west-1,frontend,frontend@GET@/start,368
0,us-west-1,c,c@POST@/spreadc,709
0,us-west-1,d,d@POST@/spreadd,610
0,us-west-1,a,a@POST@/spreada,719
0,us-west-1,b,b@POST@/spreadb,717
0,us-west-1,frontend,frontend@GET@/start,722
0,us-west-1,c,c@POST@/spreadc,709
0,us-west-1,d,d@POST@/spreadd,688
0,us-west-1,a,a@POST@/spreada,684
0,us-west-1,b,b@POST@/spreadb,683
0,us-west-1,frontend,frontend@GET@/start,587
0,us-west-1,c,c@POST@/spreadc,694
0,us-west-1,d,d@POST@/spreadd,722
0,us-west-1,a,a@POST@/spreada,670
0,us-west-1,b,b@POST@/spreadb,624
0,us-west-1,frontend,frontend@GET@/start,723
0,us-west-1,c,c@POST@/spreadc,568
0,us-west-1,d,d@POST@/spreadd,702
0,us-west-1,a,a@POST@/spreada,640
0,us-west-1,b,b@POST@/spreadb,657
0,us-west-1,frontend,frontend@GET@/start,641
0,us-west-1,c,c@POST@/spreadc,709
0,us-west-1,d,d@POST@/spreadd,602
0,us-west-1,a,a@POST@/spreada,656
0,us-west-1,b,b@POST@/spreadb,695
0,us-west-1,frontend,frontend@GET@/start,654
0,us-west-1,c,c@POST@/spreadc,717
0,us-west-1,d,d@POST@/spreadd,649
0,us-west-1,a,a@POST@/spreada,650
0,us-west-1,b,b@POST@/spreadb,673
0,us-west-1,frontend,frontend@GET@/start,669
0,us-west-1,c,c@POST@/spreadc,613
0,us-west-1,d,d@POST@/spreadd,716
0,us-west-1,a,a@POST@/spreada,654
0,us-west-1,b,b@POST@/spreadb,680
0,us-west-1,frontend,frontend@GET@/start,639
0,us-west-1,c,c@POST@/spreadc,613
0,us-west-1,d,d@POST@/spreadd,682
0,us-west-1,a,a@POST@/spreada,675
0,us-west-1,b,b@POST@/spreadb,613
0,us-west-1,frontend,frontend@GET@/start,633
0,us-west-1,c,c@POST@/spreadc,658
0,us-west-1,d,d@POST@/spreadd,679
0,us-west-1,a,a@POST@/spreada,656
0,us-west-1,b,b@POST@/spreadb,677
0,us-west-1,frontend,frontend@GET@/start,635
0,us-west-1,c,c@POST@/spreadc,685
0,us-west-1,d,d@POST@/spreadd,686
0,us-west-1,a,a@POST@/spreada,601
0,us-west-1,b,b@POST@/spreadb,623
0,us-west-1,frontend,frontend@GET@/start,598
0,us-west-1,c,c@POST@/spreadc,628
0,us-west-1,d,d@POST@/spreadd,606
0,us-west-1,a,a@POST@/spreada,601
0,us-west-1,b,b@POST@/spreadb,627
0,us-west-1,frontend,frontend@GET@/start,623
0,us-west-1,c,c@POST@/spreadc,626
0,us-west-1,d,d@POST@/spreadd,614
0,us-west-1,a,a@POST@/spreada,1210
0,us-west-1,b,b@POST@/spreadb,598
0,us-west-1,frontend,frontend@GET@/start,595
0,us-west-1,c,c@POST@/spreadc,630
0,us-west-1,d,d@POST@/spreadd,613
0,us-west-1,a,a@POST@/spreada,609
0,us-west-1,b,b@POST@/spreadb,603
0,us-west-1,frontend,frontend@GET@/start,594
0,us-west-1,c,c@POST@/spreadc,595
0,us-west-1,d,d@POST@/spreadd,594
0,us-west-1,a,a@POST@/spreada,606
0,us-west-1,b,b@POST@/spreadb,578
0,us-west-1,frontend,frontend@GET@/start,580
0,us-west-1,c,c@POST@/spreadc,563
0,us-west-1,d,d@POST@/spreadd,456
0,us-west-1,a,a@POST@/spreada,537
0,us-west-1,b,b@POST@/spreadb,559
0,us-west-1,frontend,frontend@GET@/start,547
0,us-west-1,c,c@POST@/spreadc,519
0,us-west-1,d,d@POST@/spreadd,615
0,us-west-1,a,a@POST@/spreada,564
0,us-west-1,b,b@POST@/spreadb,536
0,us-west-1,frontend,frontend@GET@/start,519
0,us-west-1,c,c@POST@/spreadc,559
0,us-west-1,d,d@POST@/spreadd,455
0,us-west-1,a,a@POST@/spreada,483
0,us-west-1,b,b@POST@/spreadb,483
0,us-west-1,frontend,frontend@GET@/start,562
0,us-west-1,c,c@POST@/spreadc,477
0,us-west-1,d,d@POST@/spreadd,521
0,us-west-1,a,a@POST@/spreada,582
0,us-west-1,b,b@POST@/spreadb,548
0,us-west-1,frontend,frontend@GET@/start,552
0,us-west-1,c,c@POST@/spreadc,537
0,us-west-1,d,d@POST@/spreadd,509
0,us-west-1,a,a@POST@/spreada,559
0,us-west-1,b,b@POST@/spreadb,608
0,us-west-1,frontend,frontend@GET@/start,524
0,us-west-1,c,c@POST@/spreadc,531
0,us-west-1,d,d@POST@/spreadd,507
0,us-west-1,a,a@POST@/spreada,555
0,us-west-1,b,b@POST@/spreadb,528
0,us-west-1,frontend,frontend@GET@/start,532
0,us-west-1,c,c@POST@/spreadc,620
0,us-west-1,d,d@POST@/spreadd,584
0,us-west-1,a,a@POST@/spreada,487
0,us-west-1,b,b@POST@/spreadb,472
0,us-west-1,frontend,frontend@GET@/start,546
0,us-west-1,c,c@POST@/spreadc,470
0,us-west-1,d,d@POST@/spreadd,402
0,us-west-1,a,a@POST@/spreada,557
0,us-west-1,b,b@POST@/spreadb,555
0,us-west-1,frontend,frontend@GET@/start,433
