counter,region,service,endpoint, rps
0,us-west-1,b,b@POST@/spreadb,2
0,us-west-1,a,a@POST@/spreada,37
0,us-west-1,c,c@POST@/spreadc,106
0,us-west-1,frontend,frontend@GET@/start,302
0,us-west-1,b,b@POST@/spreadb,266
0,us-west-1,a,a@POST@/spreada,368
0,us-west-1,c,c@POST@/spreadc,335
0,us-west-1,frontend,frontend@GET@/start,197
0,us-west-1,b,b@POST@/spreadb,410
0,us-west-1,a,a@POST@/spreada,231
0,us-west-1,c,c@POST@/spreadc,398
0,us-west-1,frontend,frontend@GET@/start,117
0,us-west-1,b,b@POST@/spreadb,412
0,us-west-1,a,a@POST@/spreada,297
0,us-west-1,c,c@POST@/spreadc,594
0,us-west-1,frontend,frontend@GET@/start,646
0,us-west-1,b,b@POST@/spreadb,711
0,us-west-1,a,a@POST@/spreada,306
0,us-west-1,c,c@POST@/spreadc,737
0,us-west-1,frontend,frontend@GET@/start,654
0,us-west-1,b,b@POST@/spreadb,624
0,us-west-1,a,a@POST@/spreada,247
0,us-west-1,c,c@POST@/spreadc,538
0,us-west-1,frontend,frontend@GET@/start,508
0,us-west-1,b,b@POST@/spreadb,518
0,us-west-1,a,a@POST@/spreada,281
0,us-west-1,c,c@POST@/spreadc,510
0,us-west-1,frontend,frontend@GET@/start,503
0,us-west-1,b,b@POST@/spreadb,512
0,us-west-1,a,a@POST@/spreada,247
0,us-west-1,c,c@POST@/spreadc,481
0,us-west-1,frontend,frontend@GET@/start,470
0,us-west-1,b,b@POST@/spreadb,465
0,us-west-1,a,a@POST@/spreada,241
0,us-west-1,c,c@POST@/spreadc,506
0,us-west-1,frontend,frontend@GET@/start,522
0,us-west-1,b,b@POST@/spreadb,508
0,us-west-1,a,a@POST@/spreada,248
0,us-west-1,c,c@POST@/spreadc,503
0,us-west-1,frontend,frontend@GET@/start,496
0,us-west-1,b,b@POST@/spreadb,510
0,us-west-1,a,a@POST@/spreada,269
0,us-west-1,c,c@POST@/spreadc,541
0,us-west-1,frontend,frontend@GET@/start,525
0,us-west-1,b,b@POST@/spreadb,523
0,us-west-1,a,a@POST@/spreada,515
0,us-west-1,c,c@POST@/spreadc,456
0,us-west-1,frontend,frontend@GET@/start,449
0,us-west-1,b,b@POST@/spreadb,445
0,us-west-1,a,a@POST@/spreada,224
0,us-west-1,c,c@POST@/spreadc,459
0,us-west-1,frontend,frontend@GET@/start,467
0,us-west-1,b,b@POST@/spreadb,477
0,us-west-1,a,a@POST@/spreada,449
0,us-west-1,c,c@POST@/spreadc,502
0,us-west-1,frontend,frontend@GET@/start,505
0,us-west-1,b,b@POST@/spreadb,509
0,us-west-1,a,a@POST@/spreada,253
0,us-west-1,c,c@POST@/spreadc,521
0,us-west-1,frontend,frontend@GET@/start,526
0,us-west-1,b,b@POST@/spreadb,506
0,us-west-1,a,a@POST@/spreada,502
0,us-west-1,c,c@POST@/spreadc,510
0,us-west-1,frontend,frontend@GET@/start,504
0,us-west-1,b,b@POST@/spreadb,515
0,us-west-1,a,a@POST@/spreada,247
0,us-west-1,c,c@POST@/spreadc,497
0,us-west-1,frontend,frontend@GET@/start,499
0,us-west-1,b,b@POST@/spreadb,503
0,us-west-1,a,a@POST@/spreada,472
0,us-west-1,c,c@POST@/spreadc,482
0,us-west-1,frontend,frontend@GET@/start,507
0,us-west-1,b,b@POST@/spreadb,511
0,us-west-1,a,a@POST@/spreada,273
0,us-west-1,c,c@POST@/spreadc,512
0,us-west-1,frontend,frontend@GET@/start,461
0,us-west-1,b,b@POST@/spreadb,453
0,us-west-1,a,a@POST@/spreada,452
0,us-west-1,c,c@POST@/spreadc,463
0,us-west-1,frontend,frontend@GET@/start,481
0,us-west-1,b,b@POST@/spreadb,467
0,us-west-1,a,a@POST@/spreada,253
0,us-west-1,c,c@POST@/spreadc,474
0,us-west-1,frontend,frontend@GET@/start,492
0,us-west-1,b,b@POST@/spreadb,496
0,us-west-1,a,a@POST@/spreada,466
0,us-west-1,c,c@POST@/spreadc,491
0,us-west-1,frontend,frontend@GET@/start,500
0,us-west-1,b,b@POST@/spreadb,504
0,us-west-1,a,a@POST@/spreada,261
0,us-west-1,c,c@POST@/spreadc,530
0,us-west-1,frontend,frontend@GET@/start,520
0,us-west-1,b,b@POST@/spreadb,523
0,us-west-1,a,a@POST@/spreada,503
0,us-west-1,c,c@POST@/spreadc,483
0,us-west-1,frontend,frontend@GET@/start,458
0,us-west-1,b,b@POST@/spreadb,439
0,us-west-1,a,a@POST@/spreada,210
0,us-west-1,c,c@POST@/spreadc,493
0,us-west-1,frontend,frontend@GET@/start,503
0,us-west-1,b,b@POST@/spreadb,527
0,us-west-1,a,a@POST@/spreada,483
0,us-west-1,c,c@POST@/spreadc,506
0,us-west-1,frontend,frontend@GET@/start,504
0,us-west-1,b,b@POST@/spreadb,492
0,us-west-1,a,a@POST@/spreada,243
0,us-west-1,c,c@POST@/spreadc,499
0,us-west-1,frontend,frontend@GET@/start,539
0,us-west-1,b,b@POST@/spreadb,551
0,us-west-1,a,a@POST@/spreada,514
0,us-west-1,c,c@POST@/spreadc,540
0,us-west-1,frontend,frontend@GET@/start,519
0,us-west-1,b,b@POST@/spreadb,502
0,us-west-1,a,a@POST@/spreada,266
0,us-west-1,c,c@POST@/spreadc,493
0,us-west-1,frontend,frontend@GET@/start,485
0,us-west-1,b,b@POST@/spreadb,509
0,us-west-1,a,a@POST@/spreada,469
0,us-west-1,c,c@POST@/spreadc,533
0,us-west-1,frontend,frontend@GET@/start,519
0,us-west-1,b,b@POST@/spreadb,508
0,us-west-1,a,a@POST@/spreada,252
0,us-west-1,c,c@POST@/spreadc,458
0,us-west-1,frontend,frontend@GET@/start,474
0,us-west-1,b,b@POST@/spreadb,486
0,us-west-1,a,a@POST@/spreada,450
0,us-west-1,c,c@POST@/spreadc,514
0,us-west-1,frontend,frontend@GET@/start,481
0,us-west-1,b,b@POST@/spreadb,460
0,us-west-1,a,a@POST@/spreada,279
0,us-west-1,c,c@POST@/spreadc,444
0,us-west-1,frontend,frontend@GET@/start,465
0,us-west-1,b,b@POST@/spreadb,470
0,us-west-1,a,a@POST@/spreada,457
0,us-west-1,c,c@POST@/spreadc,478
0,us-west-1,frontend,frontend@GET@/start,496
0,us-west-1,b,b@POST@/spreadb,495
0,us-west-1,a,a@POST@/spreada,481
0,us-west-1,c,c@POST@/spreadc,517
0,us-west-1,frontend,frontend@GET@/start,515
0,us-west-1,b,b@POST@/spreadb,523
0,us-west-1,a,a@POST@/spreada,504
0,us-west-1,c,c@POST@/spreadc,492
0,us-west-1,frontend,frontend@GET@/start,497
0,us-west-1,b,b@POST@/spreadb,492
0,us-west-1,a,a@POST@/spreada,512
0,us-west-1,c,c@POST@/spreadc,511
0,us-west-1,frontend,frontend@GET@/start,492
0,us-west-1,b,b@POST@/spreadb,497
0,us-west-1,a,a@POST@/spreada,249
0,us-west-1,c,c@POST@/spreadc,490
0,us-west-1,frontend,frontend@GET@/start,496
0,us-west-1,b,b@POST@/spreadb,483
0,us-west-1,a,a@POST@/spreada,234
0,us-west-1,c,c@POST@/spreadc,504
0,us-west-1,frontend,frontend@GET@/start,493
0,us-west-1,b,b@POST@/spreadb,497
0,us-west-1,a,a@POST@/spreada,503
0,us-west-1,c,c@POST@/spreadc,461
0,us-west-1,frontend,frontend@GET@/start,463
0,us-west-1,b,b@POST@/spreadb,455
0,us-west-1,a,a@POST@/spreada,482
0,us-west-1,c,c@POST@/spreadc,429
0,us-west-1,frontend,frontend@GET@/start,429
0,us-west-1,b,b@POST@/spreadb,432
0,us-west-1,a,a@POST@/spreada,445
0,us-west-1,c,c@POST@/spreadc,477
0,us-west-1,frontend,frontend@GET@/start,491
0,us-west-1,b,b@POST@/spreadb,508
0,us-west-1,a,a@POST@/spreada,448
0,us-west-1,c,c@POST@/spreadc,537
0,us-west-1,frontend,frontend@GET@/start,548
0,us-west-1,b,b@POST@/spreadb,551
0,us-west-1,a,a@POST@/spreada,530
0,us-west-1,c,c@POST@/spreadc,545
0,us-west-1,frontend,frontend@GET@/start,526
0,us-west-1,b,b@POST@/spreadb,521
0,us-west-1,a,a@POST@/spreada,545
0,us-west-1,c,c@POST@/spreadc,496
0,us-west-1,frontend,frontend@GET@/start,510
0,us-west-1,b,b@POST@/spreadb,517
0,us-west-1,a,a@POST@/spreada,520
0,us-west-1,c,c@POST@/spreadc,513
0,us-west-1,frontend,frontend@GET@/start,518
0,us-west-1,b,b@POST@/spreadb,494
0,us-west-1,a,a@POST@/spreada,516
0,us-west-1,c,c@POST@/spreadc,525
0,us-west-1,frontend,frontend@GET@/start,517
0,us-west-1,b,b@POST@/spreadb,539
0,us-west-1,a,a@POST@/spreada,506
0,us-west-1,c,c@POST@/spreadc,519
0,us-west-1,frontend,frontend@GET@/start,526
0,us-west-1,b,b@POST@/spreadb,529
0,us-west-1,a,a@POST@/spreada,531
0,us-west-1,c,c@POST@/spreadc,516
0,us-west-1,frontend,frontend@GET@/start,503
0,us-west-1,b,b@POST@/spreadb,495
0,us-west-1,a,a@POST@/spreada,521
0,us-west-1,c,c@POST@/spreadc,493
0,us-west-1,frontend,frontend@GET@/start,480
0,us-west-1,b,b@POST@/spreadb,482
0,us-west-1,a,a@POST@/spreada,490
0,us-west-1,c,c@POST@/spreadc,475
0,us-west-1,frontend,frontend@GET@/start,490
0,us-west-1,b,b@POST@/spreadb,496
0,us-west-1,a,a@POST@/spreada,469
0,us-west-1,c,c@POST@/spreadc,529
0,us-west-1,frontend,frontend@GET@/start,518
0,us-west-1,b,b@POST@/spreadb,504
0,us-west-1,a,a@POST@/spreada,502
