counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,9
0,us-west-1,c,c@POST@/spreadc,10
0,us-west-1,frontend,frontend@GET@/start,19
0,us-east-1,d,d@POST@/spreadd,2
0,us-east-1,c,c@POST@/spreadc,5
0,us-east-1,frontend,frontend@GET@/start,52
0,us-west-1,d,d@POST@/spreadd,149
0,us-west-1,b,b@POST@/spreadb,207
0,us-west-1,a,a@POST@/spreada,258
0,us-west-1,c,c@POST@/spreadc,258
0,us-west-1,frontend,frontend@GET@/start,314
0,us-east-1,a,a@POST@/spreada,77
0,us-east-1,b,b@POST@/spreadb,109
0,us-east-1,d,d@POST@/spreadd,113
0,us-east-1,c,c@POST@/spreadc,114
0,us-east-1,frontend,frontend@GET@/start,108
0,us-west-1,d,d@POST@/spreadd,360
0,us-west-1,b,b@POST@/spreadb,374
0,us-west-1,a,a@POST@/spreada,315
0,us-west-1,c,c@POST@/spreadc,314
0,us-west-1,frontend,frontend@GET@/start,438
0,us-east-1,a,a@POST@/spreada,102
0,us-east-1,b,b@POST@/spreadb,108
0,us-east-1,d,d@POST@/spreadd,105
0,us-east-1,c,c@POST@/spreadc,104
0,us-east-1,frontend,frontend@GET@/start,100
0,us-west-1,d,d@POST@/spreadd,309
0,us-west-1,b,b@POST@/spreadb,463
0,us-west-1,a,a@POST@/spreada,264
0,us-west-1,c,c@POST@/spreadc,396
0,us-west-1,frontend,frontend@GET@/start,367
0,us-east-1,a,a@POST@/spreada,109
0,us-east-1,b,b@POST@/spreadb,98
0,us-east-1,d,d@POST@/spreadd,101
0,us-east-1,c,c@POST@/spreadc,100
0,us-east-1,frontend,frontend@GET@/start,102
0,us-west-1,d,d@POST@/spreadd,557
0,us-west-1,b,b@POST@/spreadb,538
0,us-west-1,a,a@POST@/spreada,609
0,us-west-1,c,c@POST@/spreadc,584
0,us-west-1,frontend,frontend@GET@/start,624
0,us-east-1,a,a@POST@/spreada,100
0,us-east-1,b,b@POST@/spreadb,108
0,us-east-1,d,d@POST@/spreadd,108
0,us-east-1,c,c@POST@/spreadc,111
0,us-east-1,frontend,frontend@GET@/start,113
0,us-west-1,d,d@POST@/spreadd,628
0,us-west-1,b,b@POST@/spreadb,526
0,us-west-1,a,a@POST@/spreada,549
0,us-west-1,c,c@POST@/spreadc,591
0,us-west-1,frontend,frontend@GET@/start,548
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-east-1,a,a@POST@/spreada,112
0,us-east-1,b,b@POST@/spreadb,99
0,us-east-1,d,d@POST@/spreadd,98
0,us-east-1,c,c@POST@/spreadc,95
0,us-east-1,frontend,frontend@GET@/start,89
0,us-west-1,d,d@POST@/spreadd,506
0,us-west-1,b,b@POST@/spreadb,599
0,us-west-1,a,a@POST@/spreada,522
0,us-west-1,c,c@POST@/spreadc,623
0,us-west-1,frontend,frontend@GET@/start,558
0,us-east-1,a,a@POST@/spreada,87
0,us-east-1,b,b@POST@/spreadb,95
0,us-east-1,d,d@POST@/spreadd,99
0,us-east-1,c,c@POST@/spreadc,99
0,us-east-1,frontend,frontend@GET@/start,93
0,us-west-1,d,d@POST@/spreadd,629
0,us-west-1,b,b@POST@/spreadb,536
0,us-west-1,a,a@POST@/spreada,521
0,us-west-1,c,c@POST@/spreadc,542
0,us-west-1,frontend,frontend@GET@/start,497
0,us-east-1,a,a@POST@/spreada,99
0,us-east-1,b,b@POST@/spreadb,93
0,us-east-1,d,d@POST@/spreadd,95
0,us-east-1,c,c@POST@/spreadc,94
0,us-east-1,frontend,frontend@GET@/start,93
0,us-west-1,d,d@POST@/spreadd,510
0,us-west-1,b,b@POST@/spreadb,519
0,us-west-1,a,a@POST@/spreada,513
0,us-west-1,c,c@POST@/spreadc,516
0,us-west-1,frontend,frontend@GET@/start,496
0,us-east-1,a,a@POST@/spreada,86
0,us-east-1,b,b@POST@/spreadb,90
0,us-east-1,d,d@POST@/spreadd,89
0,us-east-1,c,c@POST@/spreadc,89
0,us-east-1,frontend,frontend@GET@/start,95
0,us-west-1,d,d@POST@/spreadd,511
0,us-west-1,b,b@POST@/spreadb,504
0,us-west-1,a,a@POST@/spreada,502
0,us-west-1,c,c@POST@/spreadc,501
0,us-west-1,frontend,frontend@GET@/start,521
0,us-east-1,a,a@POST@/spreada,109
0,us-east-1,b,b@POST@/spreadb,108
0,us-east-1,d,d@POST@/spreadd,104
0,us-east-1,c,c@POST@/spreadc,105
0,us-east-1,frontend,frontend@GET@/start,108
0,us-west-1,d,d@POST@/spreadd,517
0,us-west-1,b,b@POST@/spreadb,526
0,us-west-1,a,a@POST@/spreada,522
0,us-west-1,c,c@POST@/spreadc,530
