counter,region,service,endpoint, rps
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-east-1,a,a@POST@/spreada,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-east-1,a,a@POST@/spreada,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-east-1,a,a@POST@/spreada,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-east-1,a,a@POST@/spreada,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,5
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-east-1,a,a@POST@/spreada,0
0,us-west-1,d,d@POST@/spreadd,20
0,us-west-1,b,b@POST@/spreadb,68
0,us-west-1,c,c@POST@/spreadc,310
0,us-west-1,frontend,frontend@GET@/start,395
0,us-west-1,a,a@POST@/spreada,133
0,us-east-1,b,b@POST@/spreadb,115
0,us-east-1,frontend,frontend@GET@/start,48
0,us-east-1,c,c@POST@/spreadc,77
0,us-east-1,d,d@POST@/spreadd,88
0,us-east-1,a,a@POST@/spreada,105
0,us-west-1,d,d@POST@/spreadd,419
0,us-west-1,b,b@POST@/spreadb,459
0,us-west-1,c,c@POST@/spreadc,456
0,us-west-1,frontend,frontend@GET@/start,523
0,us-west-1,a,a@POST@/spreada,481
0,us-east-1,b,b@POST@/spreadb,115
0,us-east-1,frontend,frontend@GET@/start,109
0,us-east-1,c,c@POST@/spreadc,103
0,us-east-1,d,d@POST@/spreadd,103
0,us-east-1,a,a@POST@/spreada,105
0,us-west-1,d,d@POST@/spreadd,387
0,us-west-1,b,b@POST@/spreadb,455
0,us-west-1,c,c@POST@/spreadc,462
0,us-west-1,frontend,frontend@GET@/start,510
0,us-west-1,a,a@POST@/spreada,550
0,us-east-1,b,b@POST@/spreadb,104
0,us-east-1,frontend,frontend@GET@/start,101
0,us-east-1,c,c@POST@/spreadc,109
0,us-east-1,d,d@POST@/spreadd,107
0,us-east-1,a,a@POST@/spreada,102
0,us-west-1,d,d@POST@/spreadd,438
0,us-west-1,b,b@POST@/spreadb,513
0,us-west-1,c,c@POST@/spreadc,403
0,us-west-1,frontend,frontend@GET@/start,370
0,us-west-1,a,a@POST@/spreada,461
0,us-east-1,b,b@POST@/spreadb,99
0,us-east-1,frontend,frontend@GET@/start,101
0,us-east-1,c,c@POST@/spreadc,100
0,us-east-1,d,d@POST@/spreadd,98
0,us-east-1,a,a@POST@/spreada,100
0,us-west-1,d,d@POST@/spreadd,303
0,us-west-1,b,b@POST@/spreadb,430
0,us-west-1,c,c@POST@/spreadc,593
0,us-west-1,frontend,frontend@GET@/start,515
0,us-west-1,a,a@POST@/spreada,406
0,us-east-1,b,b@POST@/spreadb,111
0,us-east-1,frontend,frontend@GET@/start,112
0,us-east-1,c,c@POST@/spreadc,122
0,us-east-1,d,d@POST@/spreadd,123
0,us-east-1,a,a@POST@/spreada,134
0,us-west-1,d,d@POST@/spreadd,783
0,us-west-1,b,b@POST@/spreadb,671
0,us-west-1,c,c@POST@/spreadc,652
0,us-west-1,frontend,frontend@GET@/start,761
0,us-west-1,a,a@POST@/spreada,796
2,us-east-1,b,b@POST@/spreadb,123
2,us-east-1,frontend,frontend@GET@/start,127
2,us-east-1,c,c@POST@/spreadc,111
2,us-east-1,d,d@POST@/spreadd,117
2,us-east-1,a,a@POST@/spreada,100
2,us-west-1,d,d@POST@/spreadd,230
2,us-west-1,b,b@POST@/spreadb,692
2,us-west-1,c,c@POST@/spreadc,442
2,us-west-1,frontend,frontend@GET@/start,331
2,us-west-1,a,a@POST@/spreada,511
2,us-east-1,b,b@POST@/spreadb,96
2,us-east-1,frontend,frontend@GET@/start,91
2,us-east-1,c,c@POST@/spreadc,184
2,us-east-1,d,d@POST@/spreadd,216
2,us-east-1,a,a@POST@/spreada,323
2,us-west-1,d,d@POST@/spreadd,473
2,us-west-1,b,b@POST@/spreadb,218
2,us-west-1,c,c@POST@/spreadc,252
2,us-west-1,frontend,frontend@GET@/start,737
2,us-west-1,a,a@POST@/spreada,189
3,us-east-1,b,b@POST@/spreadb,355
3,us-east-1,frontend,frontend@GET@/start,93
3,us-east-1,c,c@POST@/spreadc,326
3,us-east-1,d,d@POST@/spreadd,289
3,us-east-1,a,a@POST@/spreada,203
3,us-west-1,d,d@POST@/spreadd,350
3,us-west-1,b,b@POST@/spreadb,551
3,us-west-1,c,c@POST@/spreadc,755
3,us-west-1,frontend,frontend@GET@/start,764
3,us-west-1,a,a@POST@/spreada,777
4,us-east-1,b,b@POST@/spreadb,195
4,us-east-1,frontend,frontend@GET@/start,92
4,us-east-1,c,c@POST@/spreadc,358
4,us-east-1,d,d@POST@/spreadd,385
4,us-east-1,a,a@POST@/spreada,420
4,us-west-1,d,d@POST@/spreadd,655
4,us-west-1,b,b@POST@/spreadb,674
4,us-west-1,c,c@POST@/spreadc,572
4,us-west-1,frontend,frontend@GET@/start,851
4,us-west-1,a,a@POST@/spreada,507
5,us-east-1,b,b@POST@/spreadb,448
5,us-east-1,frontend,frontend@GET@/start,93
5,us-east-1,c,c@POST@/spreadc,393
5,us-east-1,d,d@POST@/spreadd,390
5,us-east-1,a,a@POST@/spreada,377
5,us-west-1,d,d@POST@/spreadd,341
5,us-west-1,b,b@POST@/spreadb,521
5,us-west-1,c,c@POST@/spreadc,378
5,us-west-1,frontend,frontend@GET@/start,647
5,us-west-1,a,a@POST@/spreada,498
6,us-east-1,b,b@POST@/spreadb,366
6,us-east-1,frontend,frontend@GET@/start,111
6,us-east-1,c,c@POST@/spreadc,340
6,us-east-1,d,d@POST@/spreadd,339
6,us-east-1,a,a@POST@/spreada,352
6,us-west-1,d,d@POST@/spreadd,191
6,us-west-1,b,b@POST@/spreadb,364
6,us-west-1,c,c@POST@/spreadc,363
6,us-west-1,frontend,frontend@GET@/start,607
6,us-west-1,a,a@POST@/spreada,360
7,us-east-1,b,b@POST@/spreadb,347
7,us-east-1,frontend,frontend@GET@/start,96
7,us-east-1,c,c@POST@/spreadc,371
7,us-east-1,d,d@POST@/spreadd,368
7,us-east-1,a,a@POST@/spreada,364
7,us-west-1,d,d@POST@/spreadd,353
7,us-west-1,b,b@POST@/spreadb,364
7,us-west-1,c,c@POST@/spreadc,364
7,us-west-1,frontend,frontend@GET@/start,620
7,us-west-1,a,a@POST@/spreada,370
8,us-east-1,b,b@POST@/spreadb,354
8,us-east-1,frontend,frontend@GET@/start,99
8,us-east-1,c,c@POST@/spreadc,338
8,us-east-1,d,d@POST@/spreadd,337
8,us-east-1,a,a@POST@/spreada,317
