,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-west-1,us-west-1,500,744,0.6720430107526881
1,1,b,c,us-west-1,us-east-1,244,744,0.3279569892473118
2,1,b,c,us-east-1,us-east-1,121,121,1.0
3,1,a,b,us-west-1,us-west-1,-1,-1,1.0
4,1,c,d,us-west-1,us-west-1,-1,-1,1.0
5,1,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,1,a,b,us-east-1,us-east-1,-1,-1,1.0
7,1,c,d,us-east-1,us-east-1,-1,-1,1.0
8,1,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,2,b,c,us-west-1,us-west-1,500,702,0.7122507122507122
1,2,b,c,us-west-1,us-east-1,202,702,0.28774928774928776
2,2,b,c,us-east-1,us-east-1,92,92,1.0
3,2,a,b,us-west-1,us-west-1,-1,-1,1.0
4,2,c,d,us-west-1,us-west-1,-1,-1,1.0
5,2,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,2,a,b,us-east-1,us-east-1,-1,-1,1.0
7,2,c,d,us-east-1,us-east-1,-1,-1,1.0
8,2,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,3,b,c,us-west-1,us-west-1,500,753,0.6640106241699867
1,3,b,c,us-west-1,us-east-1,253,753,0.33598937583001326
2,3,b,c,us-east-1,us-east-1,99,99,1.0
3,3,a,b,us-west-1,us-west-1,-1,-1,1.0
4,3,c,d,us-west-1,us-west-1,-1,-1,1.0
5,3,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,3,a,b,us-east-1,us-east-1,-1,-1,1.0
7,3,c,d,us-east-1,us-east-1,-1,-1,1.0
8,3,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,4,b,c,us-west-1,us-west-1,500,758,0.6596306068601583
1,4,b,c,us-west-1,us-east-1,258,758,0.3403693931398417
2,4,b,c,us-east-1,us-east-1,89,89,1.0
3,4,a,b,us-west-1,us-west-1,-1,-1,1.0
4,4,c,d,us-west-1,us-west-1,-1,-1,1.0
5,4,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,4,a,b,us-east-1,us-east-1,-1,-1,1.0
7,4,c,d,us-east-1,us-east-1,-1,-1,1.0
8,4,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,5,b,c,us-west-1,us-west-1,500,726,0.6887052341597796
1,5,b,c,us-west-1,us-east-1,226,726,0.31129476584022037
2,5,b,c,us-east-1,us-east-1,95,95,1.0
3,5,a,b,us-west-1,us-west-1,-1,-1,1.0
4,5,c,d,us-west-1,us-west-1,-1,-1,1.0
5,5,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,5,a,b,us-east-1,us-east-1,-1,-1,1.0
7,5,c,d,us-east-1,us-east-1,-1,-1,1.0
8,5,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,6,b,c,us-west-1,us-west-1,500,599,0.8347245409015025
1,6,b,c,us-west-1,us-east-1,99,599,0.1652754590984975
2,6,b,c,us-east-1,us-east-1,111,111,1.0
3,6,a,b,us-west-1,us-west-1,-1,-1,1.0
4,6,c,d,us-west-1,us-west-1,-1,-1,1.0
5,6,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,6,a,b,us-east-1,us-east-1,-1,-1,1.0
7,6,c,d,us-east-1,us-east-1,-1,-1,1.0
8,6,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,7,b,c,us-west-1,us-west-1,500,684,0.7309941520467836
1,7,b,c,us-west-1,us-east-1,184,684,0.26900584795321636
2,7,b,c,us-east-1,us-east-1,93,93,1.0
3,7,a,b,us-west-1,us-west-1,-1,-1,1.0
4,7,c,d,us-west-1,us-west-1,-1,-1,1.0
5,7,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,7,a,b,us-east-1,us-east-1,-1,-1,1.0
7,7,c,d,us-east-1,us-east-1,-1,-1,1.0
8,7,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,8,b,c,us-west-1,us-west-1,500,661,0.75642965204236
1,8,b,c,us-west-1,us-east-1,161,661,0.24357034795763993
2,8,b,c,us-east-1,us-east-1,101,101,1.0
3,8,a,b,us-west-1,us-west-1,-1,-1,1.0
4,8,c,d,us-west-1,us-west-1,-1,-1,1.0
5,8,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,8,a,b,us-east-1,us-east-1,-1,-1,1.0
7,8,c,d,us-east-1,us-east-1,-1,-1,1.0
8,8,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,9,b,c,us-west-1,us-west-1,500,664,0.7530120481927711
1,9,b,c,us-west-1,us-east-1,164,664,0.2469879518072289
2,9,b,c,us-east-1,us-east-1,92,92,1.0
3,9,a,b,us-west-1,us-west-1,-1,-1,1.0
4,9,c,d,us-west-1,us-west-1,-1,-1,1.0
5,9,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,9,a,b,us-east-1,us-east-1,-1,-1,1.0
7,9,c,d,us-east-1,us-east-1,-1,-1,1.0
8,9,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,10,b,c,us-west-1,us-west-1,500,639,0.7824726134585289
1,10,b,c,us-west-1,us-east-1,139,639,0.21752738654147105
2,10,b,c,us-east-1,us-east-1,92,92,1.0
3,10,a,b,us-west-1,us-west-1,-1,-1,1.0
4,10,c,d,us-west-1,us-west-1,-1,-1,1.0
5,10,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,10,a,b,us-east-1,us-east-1,-1,-1,1.0
7,10,c,d,us-east-1,us-east-1,-1,-1,1.0
8,10,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,11,b,c,us-west-1,us-west-1,500,675,0.7407407407407407
1,11,b,c,us-west-1,us-east-1,175,675,0.25925925925925924
2,11,b,c,us-east-1,us-east-1,101,101,1.0
3,11,a,b,us-west-1,us-west-1,-1,-1,1.0
4,11,c,d,us-west-1,us-west-1,-1,-1,1.0
5,11,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,11,a,b,us-east-1,us-east-1,-1,-1,1.0
7,11,c,d,us-east-1,us-east-1,-1,-1,1.0
8,11,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,12,b,c,us-west-1,us-west-1,500,591,0.8460236886632826
1,12,b,c,us-west-1,us-east-1,91,591,0.15397631133671744
2,12,b,c,us-east-1,us-east-1,92,92,1.0
3,12,a,b,us-west-1,us-west-1,-1,-1,1.0
4,12,c,d,us-west-1,us-west-1,-1,-1,1.0
5,12,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,12,a,b,us-east-1,us-east-1,-1,-1,1.0
7,12,c,d,us-east-1,us-east-1,-1,-1,1.0
8,12,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,13,b,c,us-west-1,us-west-1,500,610,0.819672131147541
1,13,b,c,us-west-1,us-east-1,110,610,0.18032786885245902
2,13,b,c,us-east-1,us-east-1,103,103,1.0
3,13,a,b,us-west-1,us-west-1,-1,-1,1.0
4,13,c,d,us-west-1,us-west-1,-1,-1,1.0
5,13,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,13,a,b,us-east-1,us-east-1,-1,-1,1.0
7,13,c,d,us-east-1,us-east-1,-1,-1,1.0
8,13,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,14,b,c,us-west-1,us-west-1,500,609,0.8210180623973727
1,14,b,c,us-west-1,us-east-1,109,609,0.17898193760262726
2,14,b,c,us-east-1,us-east-1,101,101,1.0
3,14,a,b,us-west-1,us-west-1,-1,-1,1.0
4,14,c,d,us-west-1,us-west-1,-1,-1,1.0
5,14,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,14,a,b,us-east-1,us-east-1,-1,-1,1.0
7,14,c,d,us-east-1,us-east-1,-1,-1,1.0
8,14,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,15,b,c,us-west-1,us-west-1,500,565,0.8849557522123894
1,15,b,c,us-west-1,us-east-1,65,565,0.11504424778761062
2,15,b,c,us-east-1,us-east-1,97,97,1.0
3,15,a,b,us-west-1,us-west-1,-1,-1,1.0
4,15,c,d,us-west-1,us-west-1,-1,-1,1.0
5,15,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,15,a,b,us-east-1,us-east-1,-1,-1,1.0
7,15,c,d,us-east-1,us-east-1,-1,-1,1.0
8,15,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,16,b,c,us-west-1,us-west-1,500,610,0.819672131147541
1,16,b,c,us-west-1,us-east-1,110,610,0.18032786885245902
2,16,b,c,us-east-1,us-east-1,89,89,1.0
3,16,a,b,us-west-1,us-west-1,-1,-1,1.0
4,16,c,d,us-west-1,us-west-1,-1,-1,1.0
5,16,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,16,a,b,us-east-1,us-east-1,-1,-1,1.0
7,16,c,d,us-east-1,us-east-1,-1,-1,1.0
8,16,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,17,b,c,us-west-1,us-west-1,500,641,0.7800312012480499
1,17,b,c,us-west-1,us-east-1,141,641,0.21996879875195008
2,17,b,c,us-east-1,us-east-1,92,92,1.0
3,17,a,b,us-west-1,us-west-1,-1,-1,1.0
4,17,c,d,us-west-1,us-west-1,-1,-1,1.0
5,17,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,17,a,b,us-east-1,us-east-1,-1,-1,1.0
7,17,c,d,us-east-1,us-east-1,-1,-1,1.0
8,17,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,18,b,c,us-west-1,us-west-1,500,611,0.8183306055646481
1,18,b,c,us-west-1,us-east-1,111,611,0.18166939443535188
2,18,b,c,us-east-1,us-east-1,108,108,1.0
3,18,a,b,us-west-1,us-west-1,-1,-1,1.0
4,18,c,d,us-west-1,us-west-1,-1,-1,1.0
5,18,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,18,a,b,us-east-1,us-east-1,-1,-1,1.0
7,18,c,d,us-east-1,us-east-1,-1,-1,1.0
8,18,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,19,b,c,us-west-1,us-west-1,500,623,0.8025682182985554
1,19,b,c,us-west-1,us-east-1,123,623,0.19743178170144463
2,19,b,c,us-east-1,us-east-1,106,106,1.0
3,19,a,b,us-west-1,us-west-1,-1,-1,1.0
4,19,c,d,us-west-1,us-west-1,-1,-1,1.0
5,19,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,19,a,b,us-east-1,us-east-1,-1,-1,1.0
7,19,c,d,us-east-1,us-east-1,-1,-1,1.0
8,19,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,20,b,c,us-west-1,us-west-1,500,577,0.8665511265164645
1,20,b,c,us-west-1,us-east-1,77,577,0.13344887348353554
2,20,b,c,us-east-1,us-east-1,115,115,1.0
3,20,a,b,us-west-1,us-west-1,-1,-1,1.0
4,20,c,d,us-west-1,us-west-1,-1,-1,1.0
5,20,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,20,a,b,us-east-1,us-east-1,-1,-1,1.0
7,20,c,d,us-east-1,us-east-1,-1,-1,1.0
8,20,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,21,b,c,us-west-1,us-west-1,500,565,0.8849557522123894
1,21,b,c,us-west-1,us-east-1,65,565,0.11504424778761062
2,21,b,c,us-east-1,us-east-1,99,99,1.0
3,21,a,b,us-west-1,us-west-1,-1,-1,1.0
4,21,c,d,us-west-1,us-west-1,-1,-1,1.0
5,21,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,21,a,b,us-east-1,us-east-1,-1,-1,1.0
7,21,c,d,us-east-1,us-east-1,-1,-1,1.0
8,21,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,22,b,c,us-west-1,us-west-1,500,571,0.8756567425569177
1,22,b,c,us-west-1,us-east-1,71,571,0.1243432574430823
2,22,b,c,us-east-1,us-east-1,92,92,1.0
3,22,a,b,us-west-1,us-west-1,-1,-1,1.0
4,22,c,d,us-west-1,us-west-1,-1,-1,1.0
5,22,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,22,a,b,us-east-1,us-east-1,-1,-1,1.0
7,22,c,d,us-east-1,us-east-1,-1,-1,1.0
8,22,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,23,b,c,us-west-1,us-west-1,500,601,0.831946755407654
1,23,b,c,us-west-1,us-east-1,101,601,0.16805324459234608
2,23,b,c,us-east-1,us-east-1,93,93,1.0
3,23,a,b,us-west-1,us-west-1,-1,-1,1.0
4,23,c,d,us-west-1,us-west-1,-1,-1,1.0
5,23,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,23,a,b,us-east-1,us-east-1,-1,-1,1.0
7,23,c,d,us-east-1,us-east-1,-1,-1,1.0
8,23,frontend,a,us-east-1,us-east-1,-1,-1,1.0
0,24,b,c,us-west-1,us-west-1,500,606,0.8250825082508251
1,24,b,c,us-west-1,us-east-1,106,606,0.17491749174917492
2,24,b,c,us-east-1,us-east-1,96,96,1.0
3,24,a,b,us-west-1,us-west-1,-1,-1,1.0
4,24,c,d,us-west-1,us-west-1,-1,-1,1.0
5,24,frontend,a,us-west-1,us-west-1,-1,-1,1.0
6,24,a,b,us-east-1,us-east-1,-1,-1,1.0
7,24,c,d,us-east-1,us-east-1,-1,-1,1.0
