counter,region,service,endpoint, rps
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,a,a@POST@/spreada,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,a,a@POST@/spreada,2
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,a,a@POST@/spreada,5
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,frontend,frontend@GET@/start,113
0,us-west-1,d,d@POST@/spreadd,152
0,us-west-1,b,b@POST@/spreadb,153
0,us-west-1,c,c@POST@/spreadc,205
0,us-west-1,a,a@POST@/spreada,279
0,us-east-1,b,b@POST@/spreadb,38
0,us-east-1,frontend,frontend@GET@/start,89
0,us-east-1,c,c@POST@/spreadc,95
0,us-east-1,a,a@POST@/spreada,5
0,us-east-1,d,d@POST@/spreadd,12
0,us-west-1,frontend,frontend@GET@/start,547
0,us-west-1,d,d@POST@/spreadd,388
0,us-west-1,b,b@POST@/spreadb,409
0,us-west-1,c,c@POST@/spreadc,415
0,us-west-1,a,a@POST@/spreada,551
0,us-east-1,b,b@POST@/spreadb,113
0,us-east-1,frontend,frontend@GET@/start,104
0,us-east-1,c,c@POST@/spreadc,103
0,us-east-1,a,a@POST@/spreada,112
0,us-east-1,d,d@POST@/spreadd,120
0,us-west-1,frontend,frontend@GET@/start,439
0,us-west-1,d,d@POST@/spreadd,378
0,us-west-1,b,b@POST@/spreadb,515
0,us-west-1,c,c@POST@/spreadc,408
0,us-west-1,a,a@POST@/spreada,484
0,us-east-1,b,b@POST@/spreadb,100
0,us-east-1,frontend,frontend@GET@/start,106
0,us-east-1,c,c@POST@/spreadc,109
0,us-east-1,a,a@POST@/spreada,105
0,us-east-1,d,d@POST@/spreadd,101
0,us-west-1,frontend,frontend@GET@/start,434
0,us-west-1,d,d@POST@/spreadd,241
0,us-west-1,b,b@POST@/spreadb,479
0,us-west-1,c,c@POST@/spreadc,403
0,us-west-1,a,a@POST@/spreada,327
0,us-east-1,b,b@POST@/spreadb,100
0,us-east-1,frontend,frontend@GET@/start,98
0,us-east-1,c,c@POST@/spreadc,95
0,us-east-1,a,a@POST@/spreada,101
0,us-east-1,d,d@POST@/spreadd,100
0,us-west-1,frontend,frontend@GET@/start,166
0,us-west-1,d,d@POST@/spreadd,568
0,us-west-1,b,b@POST@/spreadb,226
0,us-west-1,c,c@POST@/spreadc,216
0,us-west-1,a,a@POST@/spreada,332
0,us-east-1,b,b@POST@/spreadb,117
0,us-east-1,frontend,frontend@GET@/start,123
0,us-east-1,c,c@POST@/spreadc,132
0,us-east-1,a,a@POST@/spreada,108
0,us-east-1,d,d@POST@/spreadd,111
0,us-west-1,frontend,frontend@GET@/start,744
0,us-west-1,d,d@POST@/spreadd,421
0,us-west-1,b,b@POST@/spreadb,764
0,us-west-1,c,c@POST@/spreadc,583
0,us-west-1,a,a@POST@/spreada,332
0,us-east-1,b,b@POST@/spreadb,123
0,us-east-1,frontend,frontend@GET@/start,116
0,us-east-1,c,c@POST@/spreadc,107
0,us-east-1,a,a@POST@/spreada,95
0,us-east-1,d,d@POST@/spreadd,124
0,us-west-1,frontend,frontend@GET@/start,572
0,us-west-1,d,d@POST@/spreadd,860
0,us-west-1,b,b@POST@/spreadb,575
0,us-west-1,c,c@POST@/spreadc,555
0,us-west-1,a,a@POST@/spreada,1481
0,us-east-1,b,b@POST@/spreadb,90
0,us-east-1,frontend,frontend@GET@/start,86
0,us-east-1,c,c@POST@/spreadc,89
0,us-east-1,a,a@POST@/spreada,95
0,us-east-1,d,d@POST@/spreadd,92
0,us-west-1,frontend,frontend@GET@/start,729
0,us-west-1,d,d@POST@/spreadd,482
0,us-west-1,b,b@POST@/spreadb,714
0,us-west-1,c,c@POST@/spreadc,770
0,us-west-1,a,a@POST@/spreada,507
0,us-east-1,b,b@POST@/spreadb,99
0,us-east-1,frontend,frontend@GET@/start,96
0,us-east-1,c,c@POST@/spreadc,96
0,us-east-1,a,a@POST@/spreada,101
0,us-east-1,d,d@POST@/spreadd,96
0,us-west-1,frontend,frontend@GET@/start,346
0,us-west-1,d,d@POST@/spreadd,621
0,us-west-1,b,b@POST@/spreadb,390
0,us-west-1,c,c@POST@/spreadc,161
0,us-west-1,a,a@POST@/spreada,551
1,us-east-1,b,b@POST@/spreadb,89
1,us-east-1,frontend,frontend@GET@/start,82
1,us-east-1,c,c@POST@/spreadc,85
1,us-east-1,a,a@POST@/spreada,93
1,us-east-1,d,d@POST@/spreadd,97
1,us-west-1,frontend,frontend@GET@/start,809
1,us-west-1,d,d@POST@/spreadd,494
1,us-west-1,b,b@POST@/spreadb,764
1,us-west-1,c,c@POST@/spreadc,454
1,us-west-1,a,a@POST@/spreada,597
2,us-east-1,b,b@POST@/spreadb,95
2,us-east-1,frontend,frontend@GET@/start,112
2,us-east-1,c,c@POST@/spreadc,108
2,us-east-1,a,a@POST@/spreada,89
2,us-east-1,d,d@POST@/spreadd,91
2,us-west-1,frontend,frontend@GET@/start,555
2,us-west-1,d,d@POST@/spreadd,829
2,us-west-1,b,b@POST@/spreadb,579
2,us-west-1,c,c@POST@/spreadc,313
2,us-west-1,a,a@POST@/spreada,775
2,us-east-1,b,b@POST@/spreadb,111
2,us-east-1,frontend,frontend@GET@/start,101
2,us-east-1,c,c@POST@/spreadc,101
2,us-east-1,a,a@POST@/spreada,104
2,us-east-1,d,d@POST@/spreadd,111
2,us-west-1,frontend,frontend@GET@/start,730
2,us-west-1,d,d@POST@/spreadd,721
2,us-west-1,b,b@POST@/spreadb,747
2,us-west-1,c,c@POST@/spreadc,309
2,us-west-1,a,a@POST@/spreada,637
4,us-east-1,b,b@POST@/spreadb,93
4,us-east-1,frontend,frontend@GET@/start,102
4,us-east-1,c,c@POST@/spreadc,101
4,us-east-1,a,a@POST@/spreada,98
4,us-east-1,d,d@POST@/spreadd,91
4,us-west-1,frontend,frontend@GET@/start,735
4,us-west-1,d,d@POST@/spreadd,713
4,us-west-1,b,b@POST@/spreadb,732
4,us-west-1,c,c@POST@/spreadc,361
4,us-west-1,a,a@POST@/spreada,717
5,us-east-1,b,b@POST@/spreadb,101
5,us-east-1,frontend,frontend@GET@/start,88
5,us-east-1,c,c@POST@/spreadc,86
5,us-east-1,a,a@POST@/spreada,107
5,us-east-1,d,d@POST@/spreadd,107
