counter,region,service,endpoint, rps
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-east-1,c,c@POST@/spreadc,0
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,d,d@POST@/spreadd,0
0,us-west-1,d,d@POST@/spreadd,7
0,us-west-1,a,a@POST@/spreada,72
0,us-west-1,c,c@POST@/spreadc,27
0,us-west-1,frontend,frontend@GET@/start,0
0,us-west-1,b,b@POST@/spreadb,67
0,us-east-1,c,c@POST@/spreadc,61
0,us-east-1,b,b@POST@/spreadb,0
0,us-east-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,64
0,us-east-1,d,d@POST@/spreadd,51
0,us-west-1,d,d@POST@/spreadd,290
0,us-west-1,a,a@POST@/spreada,510
0,us-west-1,c,c@POST@/spreadc,372
0,us-west-1,frontend,frontend@GET@/start,263
0,us-west-1,b,b@POST@/spreadb,445
0,us-east-1,c,c@POST@/spreadc,107
0,us-east-1,b,b@POST@/spreadb,90
0,us-east-1,a,a@POST@/spreada,91
0,us-east-1,frontend,frontend@GET@/start,105
0,us-east-1,d,d@POST@/spreadd,109
0,us-west-1,d,d@POST@/spreadd,376
0,us-west-1,a,a@POST@/spreada,403
0,us-west-1,c,c@POST@/spreadc,351
0,us-west-1,frontend,frontend@GET@/start,528
0,us-west-1,b,b@POST@/spreadb,402
0,us-east-1,c,c@POST@/spreadc,102
0,us-east-1,b,b@POST@/spreadb,104
0,us-east-1,a,a@POST@/spreada,103
0,us-east-1,frontend,frontend@GET@/start,105
0,us-east-1,d,d@POST@/spreadd,101
0,us-west-1,d,d@POST@/spreadd,347
0,us-west-1,a,a@POST@/spreada,424
0,us-west-1,c,c@POST@/spreadc,198
0,us-west-1,frontend,frontend@GET@/start,468
0,us-west-1,b,b@POST@/spreadb,212
0,us-east-1,c,c@POST@/spreadc,102
0,us-east-1,b,b@POST@/spreadb,108
0,us-east-1,a,a@POST@/spreada,109
0,us-east-1,frontend,frontend@GET@/start,103
0,us-east-1,d,d@POST@/spreadd,101
0,us-west-1,d,d@POST@/spreadd,304
0,us-west-1,a,a@POST@/spreada,346
0,us-west-1,c,c@POST@/spreadc,426
0,us-west-1,frontend,frontend@GET@/start,353
0,us-west-1,b,b@POST@/spreadb,134
0,us-east-1,c,c@POST@/spreadc,114
0,us-east-1,b,b@POST@/spreadb,97
0,us-east-1,a,a@POST@/spreada,97
0,us-east-1,frontend,frontend@GET@/start,119
0,us-east-1,d,d@POST@/spreadd,114
0,us-west-1,d,d@POST@/spreadd,597
0,us-west-1,a,a@POST@/spreada,615
0,us-west-1,c,c@POST@/spreadc,490
0,us-west-1,frontend,frontend@GET@/start,391
0,us-west-1,b,b@POST@/spreadb,311
0,us-east-1,c,c@POST@/spreadc,120
0,us-east-1,b,b@POST@/spreadb,126
0,us-east-1,a,a@POST@/spreada,129
0,us-east-1,frontend,frontend@GET@/start,112
0,us-east-1,d,d@POST@/spreadd,124
0,us-west-1,d,d@POST@/spreadd,619
0,us-west-1,a,a@POST@/spreada,743
0,us-west-1,c,c@POST@/spreadc,561
0,us-west-1,frontend,frontend@GET@/start,636
0,us-west-1,b,b@POST@/spreadb,515
0,us-east-1,c,c@POST@/spreadc,94
0,us-east-1,b,b@POST@/spreadb,113
0,us-east-1,a,a@POST@/spreada,110
0,us-east-1,frontend,frontend@GET@/start,93
0,us-east-1,d,d@POST@/spreadd,90
0,us-west-1,d,d@POST@/spreadd,761
0,us-west-1,a,a@POST@/spreada,710
0,us-west-1,c,c@POST@/spreadc,760
0,us-west-1,frontend,frontend@GET@/start,576
0,us-west-1,b,b@POST@/spreadb,234
1,us-east-1,c,c@POST@/spreadc,94
1,us-east-1,b,b@POST@/spreadb,84
1,us-east-1,a,a@POST@/spreada,86
1,us-east-1,frontend,frontend@GET@/start,97
1,us-east-1,d,d@POST@/spreadd,93
1,us-west-1,d,d@POST@/spreadd,436
1,us-west-1,a,a@POST@/spreada,408
1,us-west-1,c,c@POST@/spreadc,413
1,us-west-1,frontend,frontend@GET@/start,776
1,us-west-1,b,b@POST@/spreadb,171
2,us-east-1,c,c@POST@/spreadc,89
2,us-east-1,b,b@POST@/spreadb,100
2,us-east-1,a,a@POST@/spreada,97
2,us-east-1,frontend,frontend@GET@/start,90
2,us-east-1,d,d@POST@/spreadd,93
2,us-west-1,d,d@POST@/spreadd,577
2,us-west-1,a,a@POST@/spreada,676
2,us-west-1,c,c@POST@/spreadc,116
2,us-west-1,frontend,frontend@GET@/start,319
2,us-west-1,b,b@POST@/spreadb,216
3,us-east-1,c,c@POST@/spreadc,99
3,us-east-1,b,b@POST@/spreadb,82
3,us-east-1,a,a@POST@/spreada,84
3,us-east-1,frontend,frontend@GET@/start,100
3,us-east-1,d,d@POST@/spreadd,95
3,us-west-1,d,d@POST@/spreadd,369
3,us-west-1,a,a@POST@/spreada,633
3,us-west-1,c,c@POST@/spreadc,507
3,us-west-1,frontend,frontend@GET@/start,837
3,us-west-1,b,b@POST@/spreadb,328
4,us-east-1,c,c@POST@/spreadc,106
4,us-east-1,b,b@POST@/spreadb,111
4,us-east-1,a,a@POST@/spreada,109
4,us-east-1,frontend,frontend@GET@/start,104
4,us-east-1,d,d@POST@/spreadd,108
4,us-west-1,d,d@POST@/spreadd,737
4,us-west-1,a,a@POST@/spreada,760
4,us-west-1,c,c@POST@/spreadc,347
4,us-west-1,frontend,frontend@GET@/start,588
4,us-west-1,b,b@POST@/spreadb,297
6,us-east-1,c,c@POST@/spreadc,102
6,us-east-1,b,b@POST@/spreadb,102
6,us-east-1,a,a@POST@/spreada,104
6,us-east-1,frontend,frontend@GET@/start,102
6,us-east-1,d,d@POST@/spreadd,101
