,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-east-1,us-east-1,113,113,1.0
1,1,b,c,us-west-1,us-west-1,234,234,1.0
2,1,a,b,us-east-1,us-east-1,-1,-1,1.0
3,1,c,d,us-east-1,us-east-1,-1,-1,1.0
4,1,frontend,a,us-east-1,us-east-1,-1,-1,1.0
5,1,a,b,us-west-1,us-west-1,-1,-1,1.0
6,1,c,d,us-west-1,us-west-1,-1,-1,1.0
7,1,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,2,b,c,us-east-1,us-east-1,84,84,1.0
1,2,b,c,us-west-1,us-west-1,171,171,1.0
2,2,a,b,us-east-1,us-east-1,-1,-1,1.0
3,2,c,d,us-east-1,us-east-1,-1,-1,1.0
4,2,frontend,a,us-east-1,us-east-1,-1,-1,1.0
5,2,a,b,us-west-1,us-west-1,-1,-1,1.0
6,2,c,d,us-west-1,us-west-1,-1,-1,1.0
7,2,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,3,b,c,us-east-1,us-east-1,100,100,1.0
1,3,b,c,us-west-1,us-west-1,216,216,1.0
2,3,a,b,us-east-1,us-east-1,-1,-1,1.0
3,3,c,d,us-east-1,us-east-1,-1,-1,1.0
4,3,frontend,a,us-east-1,us-east-1,-1,-1,1.0
5,3,a,b,us-west-1,us-west-1,-1,-1,1.0
6,3,c,d,us-west-1,us-west-1,-1,-1,1.0
7,3,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,4,b,c,us-east-1,us-east-1,82,82,1.0
1,4,b,c,us-west-1,us-west-1,328,328,1.0
2,4,a,b,us-east-1,us-east-1,-1,-1,1.0
3,4,c,d,us-east-1,us-east-1,-1,-1,1.0
4,4,frontend,a,us-east-1,us-east-1,-1,-1,1.0
5,4,a,b,us-west-1,us-west-1,-1,-1,1.0
6,4,c,d,us-west-1,us-west-1,-1,-1,1.0
7,4,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,5,b,c,us-east-1,us-east-1,111,111,1.0
1,5,b,c,us-west-1,us-west-1,297,297,1.0
2,5,a,b,us-east-1,us-east-1,-1,-1,1.0
3,5,c,d,us-east-1,us-east-1,-1,-1,1.0
4,5,frontend,a,us-east-1,us-east-1,-1,-1,1.0
5,5,a,b,us-west-1,us-west-1,-1,-1,1.0
6,5,c,d,us-west-1,us-west-1,-1,-1,1.0
7,5,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,6,b,c,us-east-1,us-east-1,102,102,1.0
1,6,b,c,us-west-1,us-west-1,366,366,1.0
