,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,b,c,us-west-1,us-west-1,325,325,1.0
1,1,b,c,us-east-1,us-east-1,82,82,1.0
2,1,a,b,us-west-1,us-west-1,325,325,1.0
3,1,a,b,us-east-1,us-east-1,82,82,1.0
4,1,c,d,us-west-1,us-west-1,325,325,1.0
5,1,c,d,us-east-1,us-east-1,82,82,1.0
6,1,frontend,a,us-west-1,us-west-1,325,325,1.0
7,1,frontend,a,us-east-1,us-east-1,82,82,1.0
8,1,SOURCE,frontend,XXXX,us-west-1,325,407,0.7985257985257985
9,1,SOURCE,frontend,XXXX,us-east-1,82,407,0.20147420147420148
0,2,b,c,us-west-1,us-west-1,263,263,1.0
1,2,b,c,us-east-1,us-east-1,107,107,1.0
2,2,a,b,us-west-1,us-west-1,263,263,1.0
3,2,a,b,us-east-1,us-east-1,107,107,1.0
4,2,c,d,us-west-1,us-west-1,263,263,1.0
5,2,c,d,us-east-1,us-east-1,107,107,1.0
6,2,frontend,a,us-west-1,us-west-1,263,263,1.0
7,2,frontend,a,us-east-1,us-east-1,107,107,1.0
8,2,SOURCE,frontend,XXXX,us-west-1,263,370,0.7108108108108108
9,2,SOURCE,frontend,XXXX,us-east-1,107,370,0.2891891891891892
0,3,b,c,us-west-1,us-west-1,500,500,1.0
1,3,b,c,us-east-1,us-east-1,449,449,1.0
2,3,a,b,us-west-1,us-west-1,500,500,1.0
3,3,a,b,us-east-1,us-east-1,449,449,1.0
4,3,c,d,us-west-1,us-west-1,500,500,1.0
5,3,c,d,us-east-1,us-east-1,449,449,1.0
6,3,frontend,a,us-west-1,us-west-1,500,850,0.5882352941176471
7,3,frontend,a,us-west-1,us-east-1,350,850,0.4117647058823529
8,3,frontend,a,us-east-1,us-east-1,99,99,1.0
9,3,SOURCE,frontend,XXXX,us-west-1,849,948,0.8955696202531646
10,3,SOURCE,frontend,XXXX,us-east-1,99,948,0.10443037974683544
0,4,b,c,us-west-1,us-west-1,385,385,1.0
1,4,b,c,us-east-1,us-east-1,118,118,1.0
2,4,a,b,us-west-1,us-west-1,385,385,1.0
3,4,a,b,us-east-1,us-east-1,118,118,1.0
4,4,c,d,us-west-1,us-west-1,385,385,1.0
5,4,c,d,us-east-1,us-east-1,118,118,1.0
6,4,frontend,a,us-west-1,us-west-1,385,395,0.9746835443037974
7,4,frontend,a,us-west-1,us-east-1,10,395,0.02531645569620253
8,4,frontend,a,us-east-1,us-east-1,108,108,1.0
9,4,SOURCE,frontend,XXXX,us-west-1,394,502,0.7848605577689243
10,4,SOURCE,frontend,XXXX,us-east-1,108,502,0.2151394422310757
0,5,b,c,us-west-1,us-west-1,469,469,1.0
1,5,b,c,us-east-1,us-east-1,404,404,1.0
