,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,mc12c6,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,4ddb01b939c7921d,9b365758367515d3,8.0,9.0,1.0,1.0,1.0,-1,mc12c6@POST@/light:18446744073709551524|,mc12c6@POST@/light:108|
1,us-west-1,mc46a6,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,9055ef352630737b,4768fd87c2c94372,6.0,7.0,1.0,1.0,1.0,-1,mc46a6@POST@/light:1|,mc46a6@POST@/light:66|
2,us-west-1,mc660d,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,84005244c4dc9482,41cbf0e3b6a6b456,7.0,8.0,1.0,1.0,1.0,-1,mc660d@POST@/light:18446744073709551512|,mc660d@POST@/light:129|
3,us-west-1,sslateingress,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,5e780d34e4e60c0d,nan,0.0,14.0,14.0,3.0,14.0,-1,sslateingress@POST@/light:18446744073709551570|,sslateingress@POST@/light:66|
4,us-west-1,db10bb,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,4d854c8502f08c66,9b365758367515d3,8.0,10.0,2.0,2.0,2.0,-1,db10bb@POST@/light:18446744073709551524|,db10bb@POST@/light:114|
5,us-west-1,s222f,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,4768fd87c2c94372,7386960d9d256299,4.0,10.0,6.0,4.0,6.0,-1,s222f@POST@/light:1|,s222f@POST@/light:114|
6,us-west-1,sd03b,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,9b365758367515d3,d0bef3c34fb7af50,6.0,11.0,5.0,4.0,5.0,-1,sd03b@POST@/light:1|,sd03b@POST@/light:114|
7,us-west-1,s4dd6,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,d0bef3c34fb7af50,7386960d9d256299,5.0,12.0,7.0,2.0,7.0,-1,s4dd6@POST@/light:1|,s4dd6@POST@/light:99|
8,us-west-1,db3dd1,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,613776d84af5b06f,4768fd87c2c94372,7.0,9.0,2.0,2.0,2.0,-1,db3dd1@POST@/light:1|,db3dd1@POST@/light:117|
9,us-west-1,mc01d6,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,abdf2e076b713484,4768fd87c2c94372,7.0,8.0,1.0,1.0,1.0,-1,mc01d6@POST@/light:18446744073709551524|,mc01d6@POST@/light:126|
10,us-west-1,s6f83,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,7386960d9d256299,5e780d34e4e60c0d,2.0,13.0,11.0,6.0,11.0,-1,s6f83@POST@/light:1|,s6f83@POST@/light:102|
11,us-west-1,saaee,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,41cbf0e3b6a6b456,7386960d9d256299,4.0,9.0,5.0,3.0,5.0,-1,saaee@POST@/light:1|,saaee@POST@/light:90|
12,us-west-1,mc9653,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,8ac238edb9724a7c,7386960d9d256299,4.0,5.0,1.0,1.0,1.0,-1,mc9653@POST@/light:1|,mc9653@POST@/light:99|
13,us-west-1,dbd1b5,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,aeafb35d49d88896,9b365758367515d3,8.0,10.0,2.0,2.0,2.0,-1,dbd1b5@POST@/light:1|,dbd1b5@POST@/light:108|
14,us-west-1,mc59ee,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,02d17b3bd4767145,41cbf0e3b6a6b456,7.0,8.0,1.0,1.0,1.0,-1,mc59ee@POST@/light:18446744073709551538|,mc59ee@POST@/light:114|
15,us-west-1,mcc324,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,30a5f6c1f3b70e72,9b365758367515d3,8.0,9.0,1.0,1.0,1.0,-1,mcc324@POST@/light:18446744073709551532|,mcc324@POST@/light:102|
16,us-west-1,mc676c,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,534ccecaaf4e3d00,4768fd87c2c94372,6.0,7.0,1.0,1.0,1.0,-1,mc676c@POST@/light:1|,mc676c@POST@/light:87|
17,us-west-1,db2af0,POST,/light,2cb8632527b1d78b5e780d34e4e60c0d,b9e74f1440adafad,41cbf0e3b6a6b456,6.0,8.0,2.0,2.0,2.0,-1,db2af0@POST@/light:18446744073709551535|,db2af0@POST@/light:111|
